PayPeriod,JournalID,SalaryExpense,TaxExpense,BenefitsExpense,CashPaid,Currency,DepartmentCode,AllocationRef
2026-PP11,REF-2023-23,11098.38,1036.96,2100.95,8239.95,USD,ADMIN,ALLOC-600
2025-PP21,REF-2023-24,19235.69,1956.36,2723.34,13923.57,USD,IT,ALLOC-100
2025-PP26,REF-2023-25,108395.81,10196.83,19006.94,83305.83,USD,ADMIN,ALLOC-200
2026-PP06,REF-2024-26,74724.24,6064.69,9984.13,53868.23,USD,OPS,ALLOC-400
2025-PP18,REF-2025-27,113235.43,12061.84,12274.13,79834.42,USD,IT,ALLOC-600
2026-PP03,REF-2024-28,18646.0,2059.44,2571.52,13656.38,USD,ADMIN,ALLOC-600
2025-PP15,REF-2024-29,36182.49,4025.28,5976.46,25301.93,USD,HR,ALLOC-100
2025-PP19,REF-2023-30,136171.27,13965.56,16585.18,94966.21,USD,ADMIN,ALLOC-400
2025-PP26,REF-2025-31,33963.98,2752.0,4455.93,25698.75,USD,OPS,ALLOC-100
2025-PP26,REF-2025-32,130718.02,12034.33,22016.3,90811.81,USD,ENG,ALLOC-200
2026-PP07,REF-2023-33,111595.29,10450.81,20640.39,79643.1,USD,ENG,ALLOC-100
2025-PP25,REF-2024-34,15398.33,1826.53,1955.71,10643.33,USD,FIN,ALLOC-300
2026-PP03,REF-2025-35,9495.12,1013.39,1268.92,6715.22,USD,ADMIN,ALLOC-500
2026-PP03,REF-2025-35,17039.46,1584.68,2534.7,12180.95,USD,ADMIN,ALLOC-500
2026-PP03,REF-2025-35,62343.84,5631.77,7977.88,45474.42,USD,ADMIN,ALLOC-500
2026-PP03,REF-2025-35,5597.56,644.86,870.86,3944.08,USD,ADMIN,ALLOC-500
2026-PP03,REF-2025-35,12871.32,1128.07,1597.79,9172.01,USD,ADMIN,ALLOC-500
2025-PP21,REF-2024-36,64491.84,5730.99,10910.65,48908.93,USD,SALES,ALLOC-500
2025-PP26,REF-2024-37,95696.57,8692.76,11975.5,65434.29,USD,MKT,ALLOC-600
2026-PP06,REF-2024-38,16322.58,1690.75,2873.11,12043.52,USD,ADMIN,ALLOC-100
2025-PP16,REF-2025-39,38439.57,4573.22,5971.05,27989.07,USD,FIN,ALLOC-300
2025-PP13,REF-2024-40,15451.36,1392.15,2876.62,10348.51,USD,FIN,ALLOC-600
2026-PP01,REF-2023-41,109351.84,11210.05,14257.68,82229.35,USD,FIN,ALLOC-600
2026-PP01,REF-2023-42,17681.6,1624.84,2808.77,11933.31,USD,ADMIN,ALLOC-100
2026-PP02,JE-PO-2023-739244,6664.56,789.11,732.59,4761.23,USD,HR,ALLOC-300
2025-PP21,REF-2025-43,11805.85,1166.38,1219.12,8210.63,USD,ADMIN,ALLOC-400
2026-PP12,REF-2024-44,39517.71,3423.69,5167.38,30067.91,USD,FIN,ALLOC-400
2026-PP12,REF-2024-44,12245.24,1258.42,1577.93,8446.21,USD,FIN,ALLOC-400
2026-PP12,REF-2024-44,9658.02,1038.69,1641.61,7289.78,USD,FIN,ALLOC-400
2026-PP12,REF-2024-44,27453.65,2745.88,4101.01,18443.4,USD,FIN,ALLOC-400
2026-PP12,REF-2024-44,8525.08,695.6,1220.82,6477.59,USD,FIN,ALLOC-400
2025-PP13,REF-2024-45,85496.62,9449.46,10047.48,60410.99,USD,OPS,ALLOC-500
2026-PP05,JE-DOC-2023-713762,10818.11,1054.07,1962.67,8063.37,USD,ADMIN,ALLOC-300
2026-PP11,REF202446,48850.98,4982.99,7106.97,33397.51,USD,IT,ALLOC-600
2026-PP01,REF-2024-47,42464.75,4277.8,6890.47,32824.52,USD,IT,ALLOC-100
2026-PP06,REF-2023-48,30543.45,3187.36,3785.24,20435.47,USD,SALES,ALLOC-100
2025-PP13,REF-2023-49,44521.57,3835.93,8604.47,31143.94,USD,ENG,ALLOC-200
2025-PP22,REF-2024-50,68159.0,7086.84,11902.56,50042.25,USD,IT,ALLOC-100
2026-PP01,REF-2024-51,111700.66,12677.92,17647.85,77290.25,USD,OPS,ALLOC-200
2025-PP18,REF-2025-52,72864.35,8363.67,14432.79,49015.07,USD,ADMIN,ALLOC-400
2025-PP21,REF-2023-53,78807.84,8396.78,14348.92,57222.58,USD,IT,ALLOC-300
2025-PP13,REF-2023-54,65447.14,7619.2,6645.16,49583.33,USD,ADMIN,ALLOC-400
2026-PP10,REF-2023-55,58709.97,6697.08,10875.09,41056.86,USD,IT,ALLOC-500
2025-PP24,REF-2025-56,51269.03,5505.06,6600.27,38062.94,USD,ENG,ALLOC-200
2025-PP14,REF-2024-57,17545.43,1459.06,3282.47,13152.53,USD,FIN,ALLOC-200
2025-PP14,REF-2024-57,49609.34,4446.64,9489.42,34839.44,USD,FIN,ALLOC-200
2025-PP14,REF-2024-57,4172.94,410.81,523.28,3140.8,USD,FIN,ALLOC-200
2025-PP14,REF-2024-57,52987.82,4258.94,9562.36,39219.29,USD,FIN,ALLOC-200
2025-PP18,REF-2024-58,97491.06,9580.78,12694.52,67793.33,USD,IT,ALLOC-300
2025-PP16,REF-2024-59,111327.17,12602.4,15539.11,85348.21,USD,OPS,ALLOC-400
2026-PP11,REF-2023-60,82414.22,7351.74,14850.48,56636.31,USD,OPS,ALLOC-100
2026-PP09,REF-2023-61,94316.59,9983.75,12345.41,63698.13,USD,ENG,ALLOC-200
2025-PP25,REF-2024-62,4583.65,390.92,705.61,3433.12,USD,IT,ALLOC-400
2025-PP22,REF-2024-63,77617.92,7663.47,8346.25,52203.27,USD,MKT,ALLOC-500
2025-PP01,REF-2025-64,87902.96,8918.89,12788.0,67473.18,USD,IT,ALLOC-100
2025-PP22,REF-2025-65,104469.34,10946.49,20300.16,74926.26,USD,HR,ALLOC-200
2025-PP20,REF-2024-66,121130.26,9910.14,12563.78,91534.07,USD,IT,ALLOC-200
2025-PP21,REF-2024-67,16585.0,1808.83,3126.96,11700.44,USD,IT,ALLOC-300
2025-PP25,REF-2024-68,7701.2,653.73,1423.21,5755.92,USD,OPS,ALLOC-400
2025-PP25,REF-2024-68,124217.57,13230.51,20392.85,89304.54,USD,OPS,ALLOC-400
2025-PP14,REF-2025-69,142362.98,14544.99,22584.22,97112.22,USD,ENG,ALLOC-600
2025-PP18,REF-2023-70,46357.14,5189.24,5145.3,32923.1,USD,FIN,ALLOC-200
2025-PP25,REF-2023-71,2437.04,241.39,433.31,1681.72,USD,ENG,ALLOC-300
2025-PP25,REF-2023-71,5474.84,461.87,823.33,3903.22,USD,ENG,ALLOC-300
2025-PP25,REF-2023-71,11439.43,935.0,2039.91,7682.2,USD,ENG,ALLOC-300
2026-PP12,REF-2025-72,82074.14,7978.26,14716.68,58577.93,USD,ADMIN,ALLOC-600
2026-PP10,REF-2023-73,126031.95,12168.71,23031.32,85293.99,USD,ADMIN,ALLOC-500
2025-PP16,REF-2024-74,59876.81,5926.05,6533.91,41657.37,USD,FIN,ALLOC-100
2025-PP16,REF-2023-75,13011.24,1495.57,2525.65,9579.61,USD,ENG,ALLOC-100
2025-PP23,REF-2025-76,7499.49,667.23,831.11,5239.46,USD,FIN,ALLOC-400
2025-PP22,REF-2025-77,48078.36,4371.8,8473.38,36819.35,USD,OPS,ALLOC-500
2025-PP26,REF-2025-78,77273.04,7936.23,8383.79,53095.22,USD,MKT,ALLOC-600
2026-PP09,REF-2023-79,22234.39,2147.12,2702.74,15642.43,USD,ADMIN,ALLOC-500
2026-PP02,REF-2025,15417.37,1840.49,1626.2,11470.37,USD,SALES,ALLOC-500
2025-PP17,REF-2024-81,137023.47,11924.85,18912.08,94537.88,USD,ADMIN,ALLOC-500
2026-PP07,REF-2025-82,32028.77,3151.32,3452.26,23088.06,USD,SALES,ALLOC-100
2026-PP09,REF-2023-83,117735.14,10564.69,18706.6,80152.08,USD,IT,ALLOC-600
2025-PP23,REF-2025-84,11188.28,981.84,1987.29,7956.84,USD,ENG,ALLOC-300
2025-PP25,JE-PAY-2023-347745,11728.55,986.51,1473.07,7342.36,USD,FIN,ALLOC-600
2026-PP09,REF-2023-85,16854.2,1771.19,1939.85,11443.26,USD,MKT,ALLOC-200
2026-PP09,REF-2023-85,891.71,87.11,116.17,678.8,USD,MKT,ALLOC-200
2026-PP09,REF-2023-85,4844.79,398.47,730.27,3575.66,USD,MKT,ALLOC-200
2026-PP09,REF-2023-85,2532.78,248.41,267.69,1859.49,USD,MKT,ALLOC-200
2026-PP09,REF-2023-85,351.47,29.2,65.52,239.69,USD,MKT,ALLOC-200
2026-PP05,2023-86,83958.45,8314.0,9662.45,61539.34,USD,HR,ALLOC-300
2025-PP25,REF-2024-87,14089.07,1373.83,2028.01,10439.84,USD,SALES,ALLOC-500
2025-PP24,REF-2025-88,45826.53,4734.32,5230.77,33531.47,USD,FIN,ALLOC-100
2026-PP10,REF-2024-89,5678.77,550.48,773.35,3973.38,USD,ENG,ALLOC-100
2026-PP10,REF-2024-89,8564.06,746.88,1039.84,6239.66,USD,ENG,ALLOC-100
2026-PP10,REF-2024-89,10672.58,1061.4,1309.04,7165.05,USD,ENG,ALLOC-100
2026-PP10,REF-2024-89,3490.7,290.03,643.83,2629.5,USD,ENG,ALLOC-100
2026-PP10,REF-2024-89,14634.15,1621.98,2685.54,11084.56,USD,ENG,ALLOC-100
2025-PP24,REF-2025-90,5157.87,584.15,913.51,3870.97,USD,FIN,ALLOC-600
2025-PP14,REF-2023-91,97166.52,8702.89,19099.02,73464.4,USD,ADMIN,ALLOC-500
2026-PP07,REF-2023-92,55022.38,6199.68,9910.96,36847.31,USD,IT,ALLOC-600
2025-PP14,REF-2023-93,118484.69,13095.48,15080.63,87312.89,USD,ENG,ALLOC-100
2026-PP02,REF-2025-94,20495.93,1964.7,2816.06,14820.13,USD,SALES,ALLOC-400
2025-PP26,REF-2024-95,20300.97,2007.73,3717.33,13684.7,USD,OPS,ALLOC-400
2025-PP26,REF-2024-95,94394.75,9322.84,15248.04,65020.54,USD,OPS,ALLOC-400
2025-PP26,REF-2024-95,30731.11,2481.85,3735.84,20747.84,USD,OPS,ALLOC-400
2026-PP08,REF-2023-96,72741.72,6513.12,11922.02,54925.54,USD,OPS,ALLOC-400
2025-PP16,REF-2025-97,66072.27,6055.58,6617.56,45765.65,USD,HR,ALLOC-100
2026-PP01,REF-2024-98,35973.66,3660.8,6426.38,24132.37,USD,ENG,ALLOC-100
2025-PP26,REF-2025-99,76058.58,6290.23,9439.83,54578.69,USD,SALES,ALLOC-300
2025-PP17,REF-2025-100,113247.96,11227.54,13389.06,75692.22,USD,ADMIN,ALLOC-400
2026-PP03,REF-2023-101,9520.28,957.89,1893.7,6403.74,USD,MKT,ALLOC-300
2025-PP13,REF-2025-102,64200.12,7188.72,9225.25,47392.64,USD,MKT,ALLOC-600
2026-PP02,REF-2024-103,105819.43,9853.57,13710.39,80134.69,USD,MKT,ALLOC-600
2026-PP02,REF-2024-104,85807.81,8357.48,14067.93,60301.9,USD,MKT,ALLOC-100
2026-PP09,REF-2023-105,1437.41,128.56,236.48,1084.64,USD,SALES,ALLOC-100
2026-PP09,REF-2023-105,4845.84,571.71,500.28,3530.85,USD,SALES,ALLOC-100
2026-PP09,REF-2023-105,1756.28,172.11,240.78,1319.83,USD,SALES,ALLOC-100
2026-PP09,REF-2023-105,1809.1,150.29,205.82,1302.65,USD,SALES,ALLOC-100
2026-PP09,REF-2023-105,492.55,45.6,62.98,358.64,USD,SALES,ALLOC-100
2025-PP19,REF-2023-106,3912.1,423.14,475.15,2688.74,USD,OPS,ALLOC-200
2026-PP04,REF-2025-107,42363.55,4143.34,4608.27,28629.13,USD,FIN,ALLOC-500
2025-PP24,REF-2025-108,142262.63,15431.56,27418.62,96759.37,USD,OPS,ALLOC-600
2025-PP25,REF-2025-109,640.65,76.44,72.38,459.75,USD,MKT,ALLOC-100
2025-PP25,REF-2025-109,19738.4,1630.98,2759.74,13365.21,USD,MKT,ALLOC-100
2025-PP25,REF-2025-109,5292.51,524.73,746.66,3666.73,USD,MKT,ALLOC-100
2025-PP15,REF-2024,121517.38,13514.01,19926.35,82351.61,USD,FIN,ALLOC-400
2025-PP14,REF-2023-111,59311.99,6977.23,11239.18,43036.53,USD,HR,ALLOC-400
2025-PP22,REF-2025-112,135651.45,14002.74,15887.51,95639.53,USD,FIN,ALLOC-100
2026-PP11,REF-2024-113,66868.79,6591.77,8961.71,48346.19,USD,ADMIN,ALLOC-100
2025-PP24,REF-2023-114,43951.64,3702.81,5457.64,31326.99,USD,MKT,ALLOC-100
2025-PP21,REF2023115,40030.47,4647.23,7259.44,26820.42,USD,HR,ALLOC-200
2026-PP04,REF-2023-116,100611.37,9631.49,14661.4,76335.83,USD,SALES,ALLOC-300
2025-PP25,REF-2023-117,30388.55,3460.86,4348.38,21592.93,USD,OPS,ALLOC-400
2026-PP01,REF-2024-118,102663.98,8515.08,15443.29,72778.06,USD,MKT,ALLOC-600
2026-PP09,REF-2025-119,40915.77,3828.22,7933.36,28044.1,USD,MKT,ALLOC-200
2026-PP05,REF-2023-120,29195.24,2942.1,3354.36,19985.88,USD,MKT,ALLOC-400
2026-PP09,REF-2025-121,19710.34,1978.69,2936.54,14064.12,USD,MKT,ALLOC-100
2025-PP13,REF-2025-122,42651.12,3865.1,7061.28,30049.08,USD,SALES,ALLOC-200
2025-PP14,REF-2025-123,2442.07,238.45,346.48,1824.95,USD,ENG,ALLOC-300
2025-PP14,REF-2025-123,9287.31,818.73,1394.79,6717.32,USD,ENG,ALLOC-300
2025-PP14,REF-2025-123,43817.53,4331.99,8099.13,30807.61,USD,ENG,ALLOC-300
2025-PP14,REF-2025-123,22349.67,2418.93,3394.21,15461.76,USD,ENG,ALLOC-300
2025-PP14,REF-2025-123,4228.12,507.06,625.07,2994.04,USD,ENG,ALLOC-300
2025-PP18,REF-2024-124,44713.68,3920.97,5573.65,31443.88,USD,OPS,ALLOC-300
2025-PP23,REF-2025-125,40983.33,4809.31,7358.17,29920.07,USD,ADMIN,ALLOC-500
2026-PP07,REF-2024-126,39181.13,3585.28,6716.2,28850.16,USD,FIN,ALLOC-500
2026-PP10,REF-2024-127,122668.17,12834.41,19465.36,92408.56,USD,OPS,ALLOC-600
2026-PP06,REF-2023-128,7464.87,627.21,1321.85,5171.47,USD,MKT,ALLOC-600
2025-PP18,REF-2023-129,139974.39,12806.23,17992.52,96455.42,USD,HR,ALLOC-100
2025-PP15,REF-2023-130,134065.85,11667.96,25735.75,90802.9,USD,IT,ALLOC-500
2025-PP01,JE-REF-2025-403528,12455.53,1433.25,1257.1,8534.46,USD,ENG,ALLOC-300
2025-PP23,JE-PAY-2025-649787,8452.19,843.16,1638.51,6150.31,USD,ADMIN,ALLOC-300
2025-PP24,REF-2023-131,117089.22,13070.75,18357.03,80900.51,USD,SALES,ALLOC-600
2025-PP17,REF-2023-132,25001.77,2753.95,4885.43,18559.64,USD,IT,ALLOC-100
2026-PP07,REF2024133,79350.79,7634.87,11922.62,58287.83,USD,ADMIN,ALLOC-300
2025-PP23,REF-2025-134,16455.24,1967.28,2260.33,11829.83,USD,FIN,ALLOC-500
2025-PP25,REF-2024-135,70463.48,8045.48,10159.71,52864.5,USD,FIN,ALLOC-500
2026-PP07,REF-2025-136,27349.62,2642.44,4277.24,20619.61,USD,ADMIN,ALLOC-100
2025-PP23,REF-2025-137,60598.37,5682.99,6446.21,46291.59,USD,ENG,ALLOC-200
2025-PP15,REF-2023-138,128504.05,14861.92,18614.29,94283.72,USD,IT,ALLOC-100
2026-PP06,REF-2025-139,135541.42,14789.51,16572.52,96418.02,USD,IT,ALLOC-400
2025-PP23,REF-2023-140,102079.49,9579.79,13021.77,75642.32,USD,HR,ALLOC-600
2025-PP13,REF-2025-141,100574.7,10435.41,14547.54,76572.44,USD,HR,ALLOC-300
2025-PP23,REF-2023-142,67960.81,7818.91,13494.95,50439.2,USD,MKT,ALLOC-200
2025-PP23,2025143,29044.82,2723.72,4772.98,22182.17,USD,ADMIN,ALLOC-500
2026-PP05,JE-INV-2024-256466,6824.81,627.85,807.97,4645.57,USD,HR,ALLOC-200
2025-PP17,REF-2024-144,115664.8,10193.94,19046.59,87247.74,USD,IT,ALLOC-500
2025-PP19,REF-2023-145,68422.34,7081.94,11436.46,46834.78,USD,HR,ALLOC-500
2025-PP19,REF-2023-145,9101.84,804.2,1735.75,6775.21,USD,HR,ALLOC-500
2025-PP13,REF-2024-146,137733.31,14895.96,19236.28,95706.27,USD,HR,ALLOC-100
2025-PP22,REF-2023-147,75802.8,8741.01,11112.72,55252.72,USD,OPS,ALLOC-100
2025-PP24,REF-2025-148,68070.8,5489.83,10573.52,47002.09,USD,HR,ALLOC-400
2026-PP01,REF-2025-149,81130.84,8614.82,13669.3,57956.38,USD,HR,ALLOC-500
2026-PP04,REF-2024-150,110458.51,10392.71,12591.81,76359.73,USD,FIN,ALLOC-200
2026-PP06,REF-2025-151,72788.33,7768.6,12842.33,48882.8,USD,ENG,ALLOC-400
2026-PP09,2024152,18153.29,1915.34,3510.67,13835.4,USD,MKT,ALLOC-400
2025-PP12,REF-2025-153,63655.08,7162.87,10656.07,48836.65,USD,OPS,ALLOC-600
2025-PP16,REF-2023-154,15743.84,1309.27,3084.69,10922.27,USD,OPS,ALLOC-500
2025-PP14,REF-2024-155,79043.92,7370.91,15629.59,55314.87,USD,IT,ALLOC-100
2025-PP14,REF-2023-156,117169.89,9722.05,22562.06,89489.64,USD,OPS,ALLOC-100
2025-PP13,REF-2025-157,81797.66,8875.74,11437.73,56394.64,USD,FIN,ALLOC-400
2026-PP07,REF-2023-158,43530.41,3726.12,8655.93,29997.76,USD,IT,ALLOC-300
2025-PP25,REF-2025-159,11853.07,1102.99,1936.94,7934.93,USD,IT,ALLOC-600
2025-PP25,REF-2024-160,71429.1,6558.28,8903.28,49111.29,USD,ENG,ALLOC-300
2025-PP18,REF-2023-161,11382.72,952.29,2211.62,8295.6,USD,MKT,ALLOC-300
