StatementLineID,AccountNumber,CustomerName,StatementDate,DocumentNumber,DocumentDate,Currency,StatementAmount
CSL00000059,C29536,Weaver LLC,2025-08-16,REF-2023-22,2025-08-16,GBP,133.69
CSL00000062,C56357,Lozano Inc,2025-07-01,REF-2024-23,2025-07-01,GBP,37955.43
CSL00000064,C13248,Roberts-Davis,2025-10-10,REF-2025-24,2025-10-10,USD,15539.88
CSL00000066,C30866,Lopez-Smith,2026-01-07,REF-2025-25,2026-01-07,USD,92456.28
CSL00000068,C55830,"Bailey, Wilson and Smith",2026-02-06,REF-2024-26,2026-02-06,USD,87229.46
CSL00000070,C46517,Conway-Fischer,2026-05-14,REF-2023-27,2026-05-14,USD,22370.06
CSL00000072,C44795,Mack LLC,2026-02-26,REF-2024-28,2026-02-26,USD,4057.67
CSL00000073,C44795,Mack LLC,2026-02-26,REF-2024-28,2026-02-26,USD,2224.26
CSL00000074,C44795,Mack LLC,2026-02-26,REF-2024-28,2026-02-26,USD,27579.55
CSL00000075,C44795,Mack LLC,2026-02-26,REF-2024-28,2026-02-26,USD,276.73
CSL00000076,C44795,Mack LLC,2026-02-26,REF-2024-28,2026-02-26,USD,1041.29
CSL00000078,C77033,"Martin, Stark and Gray",2025-12-04,REF-2023-29,2025-12-04,USD,59697.47
CSL00000080,C10221,Lucas and Sons,2025-09-16,REF-2024-30,2025-09-16,GBP,89960.52
CSL00000082,C91678,Munoz PLC,2026-05-20,2025-31,2026-05-20,USD,68717.03
CSL00000084,C62743,Johnson-Lopez,2026-02-25,REF-2025-32,2026-02-25,USD,90014.68
CSL00000087,C47606,Gonzalez Group,2025-11-12,REF-2023-33,2025-11-12,USD,61589.94
CSL00000089,C67905,"Ramirez, Brennan and Stein",2026-04-17,REF-2024-34,2026-04-17,EUR,78597.31
CSL00000091,C77561,Scott-Schmidt,2026-02-08,REF-2025-35,2026-02-08,GBP,21448.77
CSL00000093,C36100,"Farley, Snyder and Higgins",2025-10-09,REF-2024-36,2025-10-09,USD,9429.38
CSL00000095,C64321,"Stokes, Medina and Chaney",2026-02-09,REF-2023-37,2026-02-09,GBP,4716.75
CSL00000097,C29342,Morton-Floyd,2025-12-24,REF-2023-38,2025-12-24,USD,71862.76
CSL00000099,C83060,"Hamilton, Yu and Hampton",2025-10-01,REF-2023-39,2025-10-01,USD,77864.2
CSL00000101,C90301,"Richardson, Kelley and Long",2026-02-03,REF-2023-40,2026-02-03,GBP,47249.81
CSL00000103,C42406,"Wang, Medina and Erickson",2025-08-31,REF-2025-41,2025-08-31,USD,44646.77
CSL00000105,C47450,"Hernandez, Taylor and Sherman",2025-10-11,REF-2025-42,2025-10-11,USD,48511.24
CSL00000107,C40311,Luna-Hendricks,2026-03-14,REF-2024-43,2026-03-14,EUR,33651.17
CSL00000109,C53369,Davis Ltd,2025-09-28,REF-2025-44,2025-09-28,GBP,15365.25
CSL00000111,C12560,Wallace PLC,2025-09-24,REF-2024-45,2025-09-24,GBP,41635.85
CSL00000113,C80545,Davis-Castro,2025-12-08,REF-2024-46,2025-12-08,GBP,47750.28
CSL00000116,C91560,"Sellers, Stone and Robertson",2026-05-24,REF-2024-47,2026-05-24,GBP,32445.01
CSL00000117,C83975,Kline Inc,2026-04-13,INV-2025-66179,2026-04-10,USD,49893.48
CSL00000119,C69598,"Rose, Miller and Orr",2025-10-22,REF-2024-48,2025-10-22,USD,18254.73
CSL00000121,C20735,Ewing Inc,2025-12-22,REF-2024-49,2025-12-22,EUR,76146.85
CSL00000124,C91439,Romero-Simon,2025-06-26,REF-2025-50,2025-06-26,USD,4121.79
CSL00000126,C43586,Wheeler Group,2026-05-19,REF-2023-51,2026-05-19,USD,12709.48
CSL00000128,C98781,Mccarthy-Bernard,2025-08-08,REF-2023-52,2025-08-08,EUR,1556.85
CSL00000129,C98781,Mccarthy-Bernard,2025-08-08,REF-2023-52,2025-08-08,EUR,17356.71
CSL00000130,C98781,Mccarthy-Bernard,2025-08-08,REF-2023-52,2025-08-08,EUR,41715.12
CSL00000132,C49529,"Ball, Williams and Lee",2025-09-20,2024-53,2025-09-20,GBP,94152.91
CSL00000134,C23833,"Myers, Galloway and Morgan",2025-12-05,REF-2025-54,2025-12-05,EUR,26713.37
CSL00000135,C23833,"Myers, Galloway and Morgan",2025-12-05,REF-2025-54,2025-12-05,EUR,12895.9
CSL00000136,C23833,"Myers, Galloway and Morgan",2025-12-05,REF-2025-54,2025-12-05,EUR,24767.12
CSL00000137,C23833,"Myers, Galloway and Morgan",2025-12-05,REF-2025-54,2025-12-05,EUR,2132.86
CSL00000138,C23833,"Myers, Galloway and Morgan",2025-12-05,REF-2025-54,2025-12-05,EUR,11776.02
CSL00000140,C95256,"Smith, Velazquez and Ortega",2026-02-01,REF-2024-55,2026-02-01,USD,64913.62
CSL00000142,C69087,"Zamora, Hinton and Jordan",2025-11-23,REF-2025-56,2025-11-23,USD,59288.21
CSL00000144,C33834,Olson-Ward,2026-05-19,REF-2024,2026-05-19,EUR,57027.98
CSL00000146,C11330,Perez and Sons,2025-12-02,REF-2024-58,2025-12-02,GBP,79803.45
CSL00000148,C94659,"Martinez, Ray and Gonzalez",2026-01-05,REF-2023-59,2026-01-05,EUR,8652.73
CSL00000151,C82140,"Johnson, Thompson and Huerta",2025-12-16,REF-2024-60,2025-12-16,USD,66429.61
CSL00000152,C69473,"King, Reid and Larson",2025-12-17,INV-2023-25814,2025-12-08,GBP,20683.27
CSL00000154,C73464,Brown-Nielsen,2026-03-12,REF-2023-61,2026-03-12,USD,32865.98
CSL00000156,C80010,"Williams, Robinson and White",2025-12-12,REF-2023-62,2025-12-12,USD,29695.02
CSL00000158,C93606,"Glass, Davis and Shelton",2025-07-08,REF-2024-63,2025-07-08,EUR,4647.02
CSL00000161,C62521,Gutierrez-Jordan,2025-10-18,REF-2023-64,2025-10-18,EUR,94161.32
CSL00000163,C42530,Allen LLC,2025-08-26,REF-2025-65,2025-08-26,USD,5455.55
CSL00000165,C59856,"Salazar, Bridges and Wilson",2026-04-17,REF-2025-66,2026-04-17,EUR,77592.34
CSL00000167,C23006,"Rogers, Sherman and Love",2025-11-14,REF-2025-67,2025-11-14,USD,99004.12
CSL00000169,C19838,Barton Inc,2026-05-15,2025-68,2026-05-15,USD,21181.42
CSL00000171,C40340,"Wilson, May and Gray",2026-04-11,REF-2024-69,2026-04-11,USD,45105.32
CSL00000173,C91927,Callahan-Robbins,2026-01-29,REF-2025-70,2026-01-29,GBP,28343.57
CSL00000175,C39466,Miranda-Bradley,2025-09-20,REF-2025-71,2025-09-20,USD,80410.18
CSL00000176,C28643,Miller and Sons,2025-10-31,INV-2024-87993,2025-10-25,GBP,5820.03
CSL00000178,C75597,Stone-Stone,2026-01-21,202572,2026-01-21,GBP,92127.13
CSL00000180,C42816,"Morris, James and Green",2025-07-01,REF-2024-73,2025-07-01,USD,8136.14
CSL00000182,C85529,"Thomas, Conner and Walton",2026-05-22,REF-2023-74,2026-05-22,USD,22969.55
CSL00000184,C63523,Fox-Brooks,2026-05-10,REF-2023-75,2026-05-10,USD,20531.5
CSL00000185,C63523,Fox-Brooks,2026-05-10,REF-2023-75,2026-05-10,USD,1607.41
CSL00000186,C63523,Fox-Brooks,2026-05-10,REF-2023-75,2026-05-10,USD,16214.49
CSL00000187,C63523,Fox-Brooks,2026-05-10,REF-2023-75,2026-05-10,USD,7292.03
CSL00000188,C63523,Fox-Brooks,2026-05-10,REF-2023-75,2026-05-10,USD,1457.6
CSL00000190,C47777,Dudley-Clark,2025-09-01,REF-2024-76,2025-09-01,EUR,67046.34
CSL00000192,C77449,Watkins PLC,2026-01-04,INV-2025-81118,2026-01-03,EUR,61957.08
CSL00000194,C36680,Carter Group,2026-03-03,REF-2024,2026-03-03,USD,5514.99
CSL00000196,C50730,Taylor-Miller,2026-06-03,REF-2024-78,2026-06-03,GBP,42820.19
CSL00000198,C73242,Perez Ltd,2025-08-08,REF-2023-79,2025-08-08,EUR,6580.78
CSL00000199,C73242,Perez Ltd,2025-08-08,REF-2023-79,2025-08-08,EUR,2787.53
CSL00000200,C73242,Perez Ltd,2025-08-08,REF-2023-79,2025-08-08,EUR,6537.03
CSL00000201,C73242,Perez Ltd,2025-08-08,REF-2023-79,2025-08-08,EUR,5123.75
CSL00000202,C73242,Perez Ltd,2025-08-08,REF-2023-79,2025-08-08,EUR,1518.51
CSL00000204,C46208,"Parks, Mcdonald and Davidson",2025-08-24,REF202380,2025-08-24,EUR,45732.97
CSL00000206,C68529,Acosta-Rodriguez,2025-06-12,202581,2025-06-12,GBP,26790.55
CSL00000208,C34727,Sanchez-Reynolds,2026-03-16,REF-2024-82,2026-03-16,USD,33310.75
CSL00000210,C59968,Jarvis and Sons,2026-01-07,REF-2025-83,2026-01-07,EUR,38358.79
CSL00000212,C75836,"Parks, Mcintosh and Owens",2026-05-10,REF-2025-84,2026-05-10,GBP,82058.74
CSL00000215,C54375,"Walker, Meyer and Cain",2025-08-29,REF-2024-85,2025-08-29,GBP,87106.2
CSL00000217,C92155,Sanchez-Baker,2025-07-22,REF-2025-86,2025-07-22,EUR,39808.58
CSL00000219,C21846,Wright-Cameron,2025-07-16,REF-2025-87,2025-07-16,EUR,3686.32
CSL00000221,C49251,Johnson-Hawkins,2026-06-06,REF-2023-88,2026-06-06,USD,76060.93
CSL00000223,C66450,"Hayes, Anderson and White",2025-07-09,REF-2023-89,2025-07-09,USD,32505.03
CSL00000225,C32946,Keller-Hicks,2026-03-27,REF-2023-90,2026-03-27,USD,53163.52
CSL00000227,C43466,"Hines, Mcfarland and Gonzalez",2026-04-24,REF-2025-91,2026-04-24,USD,22120.63
CSL00000228,C43466,"Hines, Mcfarland and Gonzalez",2026-04-24,REF-2025-91,2026-04-24,USD,18044.08
CSL00000229,C43466,"Hines, Mcfarland and Gonzalez",2026-04-24,REF-2025-91,2026-04-24,USD,46932.17
CSL00000231,C67898,"Thornton, Davis and Huffman",2026-05-23,REF-2024-92,2026-05-23,USD,90130.82
CSL00000232,C49210,Wells-Woodard,2026-04-21,INV-2025-42780,2026-04-07,EUR,48100.93
CSL00000234,C59986,"Gregory, Torres and Deleon",2025-12-24,REF-2024-93,2025-12-24,GBP,20001.78
CSL00000236,C11061,"Robles, Burgess and Wilkerson",2026-06-04,2024-94,2026-06-04,GBP,57523.71
CSL00000238,C93442,Allen-May,2025-11-04,REF-2025-95,2025-11-04,USD,74542.7
CSL00000240,C92242,Bradford Group,2026-05-14,REF-2025-96,2026-05-14,USD,25137.62
CSL00000242,C21813,Roberts-Simon,2025-06-28,REF-2024-97,2025-06-28,USD,78882.19
CSL00000244,C57953,Diaz-Parker,2025-09-08,REF-2024-98,2025-09-08,GBP,74773.34
CSL00000246,C54396,Flynn Inc,2025-09-03,REF-2025-99,2025-09-03,USD,91357.35
CSL00000248,C11824,Lewis-Hudson,2025-08-22,REF-2024-100,2025-08-22,USD,35221.59
CSL00000249,C11824,Lewis-Hudson,2025-08-22,REF-2024-100,2025-08-22,USD,40915.58
CSL00000250,C11824,Lewis-Hudson,2025-08-22,REF-2024-100,2025-08-22,USD,20155.87
CSL00000252,C59941,Harris and Sons,2025-12-16,REF-2025-101,2025-12-16,USD,12446.51
CSL00000254,C39015,"Brown, Thompson and Bell",2026-02-07,REF-2023-102,2026-02-07,USD,67516.17
CSL00000256,C28320,Best Ltd,2026-06-04,REF-2025-103,2026-06-04,USD,82403.15
CSL00000258,C69459,Munoz-Hawkins,2026-02-18,2023104,2026-02-18,USD,30506.02
CSL00000260,C90694,"Wright, Page and Macias",2025-08-29,REF-2025-105,2025-08-29,EUR,74252.67
CSL00000262,C40947,Campbell LLC,2025-12-17,REF-2024-106,2025-12-17,USD,3368.36
CSL00000264,C62184,Douglas Inc,2025-12-16,REF-2023-107,2025-12-16,USD,98094.68
CSL00000266,C12799,Munoz PLC,2026-01-29,REF-2023-108,2026-01-29,USD,96823.87
CSL00000268,C82641,Powell PLC,2025-08-14,REF-2024-109,2025-08-14,USD,24432.53
CSL00000270,C10371,Simon Ltd,2025-10-08,REF-2025-110,2025-10-08,USD,21673.54
CSL00000273,C32838,"Chen, Arnold and Thomas",2025-10-10,REF-2023-111,2025-10-10,USD,1584.55
CSL00000276,C76039,Henderson-Robinson,2025-12-13,REF-2024-112,2025-12-13,USD,44882.69
CSL00000279,C99928,Williams LLC,2025-07-12,REF-2025-113,2025-07-12,USD,96406.22
CSL00000281,C89730,Martin-Baker,2026-01-24,REF-2024-114,2026-01-24,USD,71268.89
CSL00000283,C88301,"Hill, Acosta and Harris",2026-04-26,REF-2023-115,2026-04-26,GBP,12706.54
CSL00000285,C69186,"Stevens, Kelley and Merritt",2026-04-16,REF-2024-116,2026-04-16,USD,46162.14
CSL00000287,C97177,Ramirez-Guzman,2025-07-29,REF-2024-117,2025-07-29,USD,39933.15
CSL00000289,C82924,Dominguez Inc,2026-05-28,REF-2024-118,2026-05-28,USD,8890.79
CSL00000290,C82924,Dominguez Inc,2026-05-28,REF-2024-118,2026-05-28,USD,317.97
CSL00000291,C82924,Dominguez Inc,2026-05-28,REF-2024-118,2026-05-28,USD,61245.7
CSL00000292,C82924,Dominguez Inc,2026-05-28,REF-2024-118,2026-05-28,USD,6959.02
CSL00000293,C82924,Dominguez Inc,2026-05-28,REF-2024-118,2026-05-28,USD,17950.41
CSL00000294,C83608,Castillo-Baker,2026-04-29,INV-2023-63845,2026-04-07,EUR,42345.41
CSL00000296,C50953,Wood and Sons,2026-01-13,REF-2025-119,2026-01-13,USD,94118.87
CSL00000297,C85748,Nicholson and Sons,2025-08-08,INV-2025-73201,2025-08-03,USD,38302.23
CSL00000299,C83526,"Gonzalez, Miller and Graham",2026-03-22,2023-120,2026-03-22,GBP,35076.39
CSL00000301,C45818,Gibson PLC,2026-06-01,REF-2025-121,2026-06-01,USD,92915.52
CSL00000303,C28595,"Benton, Miller and Floyd",2025-09-11,REF-2024-122,2025-09-11,USD,35167.24
CSL00000305,C54681,Chang Ltd,2025-09-29,REF-2023-123,2025-09-29,USD,74636.57
CSL00000307,C30392,"Gonzalez, Hernandez and Nichols",2025-11-24,REF-2024-124,2025-11-24,USD,31232.57
CSL00000309,C73656,"Brown, Gomez and Moreno",2025-07-22,REF-2025-125,2025-07-22,GBP,5071.27
CSL00000311,C24534,"Merritt, Bautista and Roberts",2025-09-29,REF-2024-126,2025-09-29,USD,42429.67
CSL00000313,C36794,"Cole, Cummings and Vasquez",2025-12-30,REF-2024-127,2025-12-30,USD,4637.19
CSL00000316,C40161,Townsend-Klein,2025-09-08,REF-2024-128,2025-09-08,GBP,74726.71
CSL00000318,C67176,Phillips-Morrison,2025-12-09,REF-2025-129,2025-12-09,USD,83352.08
CSL00000320,C63008,Baker PLC,2025-11-18,REF-2024-130,2025-11-18,EUR,92124.13
CSL00000322,C70305,Williams Group,2025-06-21,REF-2024-131,2025-06-21,USD,11605.82
CSL00000324,C62487,Johns-Fitzpatrick,2025-08-04,REF-2023-132,2025-08-04,GBP,43727.51
CSL00000326,C32037,"Smith, Vega and Rivera",2025-11-16,REF-2023-133,2025-11-16,USD,39637.09
CSL00000328,C56019,"Bush, Khan and Lowe",2026-03-09,REF-2025-134,2026-03-09,USD,63359.14
