ARInvoiceID,CustomerID,CustomerName,InvoiceNumber,InvoiceDate,DueDate,Currency,InvoiceAmount
AR00000125,C24993,"Powers, Turner and Moss",REF-2023-51,2026-05-19,2026-07-03,EUR,12709.48
AR00000127,C50768,"Williams, Pennington and Aguilar",REF-2023-52,2025-08-08,2025-09-07,GBP,60628.68
AR00000131,C92213,Hardin Group,REF-2024-53,2025-09-20,2025-11-04,USD,94152.91
AR00000133,C96706,Lara-Mcfarland,REF-2025-54,2025-12-05,2026-02-03,USD,78285.27
AR00000139,C67080,"Bishop, Melton and Berry",REF-2024-55,2026-02-01,2026-03-18,GBP,63594.95
AR00000141,C42177,"Miller, Jones and Solis",REF-2025-56,2025-11-23,2025-12-23,USD,59288.21
AR00000143,C13761,Griffin PLC,REF-2024-57,2026-05-19,2026-08-17,USD,57027.98
AR00000145,C46655,Pena LLC,REF-2024-58,2025-12-02,2026-01-31,GBP,79803.45
AR00000147,C74038,Jenkins-Collins,REF-2023-59,2026-01-05,2026-02-19,EUR,8652.73
AR00000149,C12260,"Gilmore, Fields and Harris",INV-2023-63005,2026-01-26,2026-03-27,USD,10212.28
AR00000150,C72031,Shannon-Lowery,REF-2024-60,2025-12-16,2026-02-14,EUR,66429.61
AR00000153,C34267,Fernandez-Potter,REF-2023-61,2026-03-12,2026-04-26,USD,31623.24
AR00000155,C33519,Mcclure-Padilla,REF-2023-62,2025-12-12,2026-02-10,USD,29695.02
AR00000157,C82529,Joseph-Brown,REF-2024-63,2025-07-08,2025-09-06,USD,4647.02
AR00000159,C11607,"Willis, Osborn and Robles",INV-2024-72746,2025-08-02,2025-09-16,EUR,57832.36
AR00000160,C72616,Smith Ltd,REF-2023-64,2025-10-18,2025-11-17,USD,96553.21
AR00000162,C83772,Jackson Group,REF-2025-65,2025-08-26,2025-10-25,USD,5455.55
AR00000164,C91057,"Miller, Morales and Barber",REF-2025-66,2026-04-17,2026-06-01,GBP,76467.9
AR00000166,C84531,Hall-Bailey,REF-2025-67,2025-11-14,2025-12-14,GBP,99004.12
AR00000168,C41439,Baker-Hartman,REF-2025-68,2026-05-15,2026-06-29,GBP,21181.42
AR00000170,C71592,Wilson-Bowers,REF-2024-69,2026-04-11,2026-06-10,USD,45105.32
AR00000172,C19329,Phillips PLC,REF-2025-70,2026-01-29,2026-03-15,USD,28343.57
AR00000174,C65723,"Duran, Williams and Rodriguez",REF-2025-71,2025-09-20,2025-10-20,GBP,80410.18
AR00000177,C49857,"Taylor, Huynh and Anderson",REF-2025-72,2026-01-21,2026-04-21,USD,92127.13
AR00000179,C66626,"Campbell, Garcia and Garner",REF-2024-73,2025-07-01,2025-08-30,GBP,8136.14
AR00000181,C85392,Tucker-Sims,REF-2023-74,2026-05-22,2026-06-21,USD,22969.55
AR00000183,C46458,Cox PLC,REF-2023-75,2026-05-10,2026-06-24,GBP,47103.03
AR00000189,C53228,Williams and Sons,REF-2024-76,2025-09-01,2025-11-30,EUR,67046.34
AR00000191,C14809,"Snyder, Vincent and Martin",INV-2024-43082,2026-03-19,2026-05-03,USD,46027.76
AR00000193,C75338,Harris-Taylor,REF-2024-77,2026-03-03,2026-06-01,USD,5514.99
AR00000195,C13783,"Gonzalez, Allen and Colon",REF-2024-78,2026-06-03,2026-07-18,USD,43867.8
AR00000197,C25396,Pennington Inc,REF-2023-79,2025-08-08,2025-09-22,EUR,22547.6
AR00000203,C88561,Fields-Walker,REF-2023-80,2025-08-24,2025-10-08,USD,45732.97
AR00000205,C49132,Delgado-Wong,REF-2025-81,2025-06-12,2025-09-10,USD,26790.55
AR00000207,C59441,Lawson-Gibson,REF-2024-82,2026-03-16,2026-06-14,USD,33310.75
AR00000209,C15720,Brown and Sons,REF-2025-83,2026-01-07,2026-03-08,EUR,38358.79
AR00000211,C74923,"Vargas, Huang and Butler",REF-2025-84,2026-05-10,2026-06-09,USD,79260.13
AR00000213,C23069,"Bender, Hughes and Palmer",INV-2024-12011,2026-01-22,2026-03-23,USD,53069.16
AR00000214,C19807,Miller-Cooper,REF-2024-85,2025-08-29,2025-11-27,USD,87106.2
AR00000216,C53065,Pacheco-Beck,REF-2025-86,2025-07-22,2025-10-20,USD,39808.58
AR00000218,C40771,Graham PLC,REF-2025-87,2025-07-16,2025-09-14,USD,3686.32
AR00000220,C23173,Richard Group,REF-2023-88,2026-06-06,2026-09-04,USD,76060.93
AR00000222,C48452,"Smith, Garner and Byrd",REF-2023-89,2025-07-09,2025-09-07,USD,32505.03
AR00000224,C99364,Turner Inc,REF-2023-90,2026-03-27,2026-05-11,USD,53163.52
AR00000226,C75230,"Horn, Ramirez and Bell",REF-2025-91,2026-04-24,2026-06-08,USD,87096.88
AR00000230,C81643,"Miranda, Wright and Ramirez",REF-2024-92,2026-05-23,2026-07-07,USD,90130.82
AR00000233,C73335,"Cherry, Gill and Johnson",REF-2024-93,2025-12-24,2026-01-23,USD,20001.78
AR00000235,C96275,"Wright, Brewer and Davidson",REF-2024-94,2026-06-04,2026-09-02,USD,57523.71
AR00000237,C40162,Holland Ltd,REF-2025-95,2025-11-04,2026-01-03,USD,74542.7
AR00000239,C99241,"Taylor, Watson and Taylor",REF-2025-96,2026-05-14,2026-06-28,USD,25137.62
AR00000241,C85965,Robles-Ballard,REF-2024-97,2025-06-28,2025-08-27,USD,78882.19
AR00000243,C36318,Carey Group,REF-2024-98,2025-09-08,2025-10-23,GBP,74773.34
AR00000245,C43681,"Carr, Nelson and Robinson",REF-2025-99,2025-09-03,2025-12-02,USD,91357.35
AR00000247,C98647,Thomas Ltd,REF-2024-100,2025-08-22,2025-11-20,GBP,96293.04
AR00000251,C98188,Mcdaniel and Sons,REF-2025-101,2025-12-16,2026-02-14,GBP,12446.51
AR00000253,C13280,Hooper Ltd,REF-2023-102,2026-02-07,2026-04-08,GBP,67516.17
AR00000255,C49608,"Cline, Davis and Anderson",REF-2025-103,2026-06-04,2026-09-02,USD,82403.15
AR00000257,C40775,"Johnson, Jones and Hooper",REF-2023-104,2026-02-18,2026-04-04,EUR,30506.02
AR00000259,C64379,Vaughn Ltd,REF-2025-105,2025-08-29,2025-09-28,EUR,74252.67
AR00000261,C38477,Doyle-Ponce,REF-2024-106,2025-12-17,2026-03-17,EUR,3368.36
AR00000263,C81364,Miller-Maldonado,REF-2023-107,2025-12-16,2026-02-14,USD,98094.68
AR00000265,C22015,"Lane, Hall and Becker",REF-2023-108,2026-01-29,2026-03-15,GBP,96823.87
AR00000267,C84000,Gutierrez Inc,REF-2024-109,2025-08-14,2025-09-28,USD,24432.53
AR00000269,C53064,"Campbell, Nguyen and Carter",REF-2025-110,2025-10-08,2025-11-22,GBP,21673.54
AR00000271,C27038,Kidd LLC,INV-2023-24408,2025-08-24,2025-10-23,USD,54481.33
AR00000272,C87182,"Mitchell, Chavez and White",REF-2023-111,2025-10-10,2025-12-09,USD,1584.55
AR00000274,C26614,Howell-Cole,INV-2025-24896,2025-07-07,2025-09-05,USD,74430.09
AR00000275,C77271,Bright and Sons,REF-2024-112,2025-12-13,2026-01-12,EUR,44882.69
AR00000277,C15683,Burton-Shaw,INV-2025-78347,2026-04-21,2026-06-05,EUR,72997.06
AR00000278,C72781,Steele Inc,REF-2025-113,2025-07-12,2025-10-10,EUR,96406.22
AR00000280,C19632,"Noble, Williams and Mora",REF-2024-114,2026-01-24,2026-02-23,USD,71268.89
AR00000282,C92978,David-Chavez,REF-2023-115,2026-04-26,2026-06-25,EUR,12706.54
AR00000284,C24996,Moore-Jones,REF-2024-116,2026-04-16,2026-05-31,EUR,45426.17
AR00000286,C50966,"Fields, Sawyer and Dunn",REF-2024-117,2025-07-29,2025-10-27,USD,39933.15
AR00000288,C18799,"Young, Wilson and Stephens",REF-2024-118,2026-05-28,2026-06-27,USD,95363.89
AR00000295,C16743,Oliver-Smith,REF-2025-119,2026-01-13,2026-03-14,GBP,94118.87
AR00000298,C46512,Terry PLC,REF-2023-120,2026-03-22,2026-05-06,EUR,35076.39
AR00000300,C45054,Huff LLC,REF-2025-121,2026-06-01,2026-07-01,USD,92915.52
AR00000302,C28776,Little-Young,REF-2024-122,2025-09-11,2025-12-10,USD,35167.24
AR00000304,C59308,"Bender, West and Russell",REF-2023-123,2025-09-29,2025-12-28,EUR,74636.57
AR00000306,C84395,Richardson-Wilson,REF-2024-124,2025-11-24,2025-12-24,USD,31232.57
AR00000308,C45665,Jones PLC,REF-2025-125,2025-07-22,2025-10-20,EUR,5071.27
AR00000310,C24918,Ayers-Klein,REF-2024-126,2025-09-29,2025-11-28,EUR,41476.96
AR00000312,C88554,"Washington, Thompson and Medina",REF-2024-127,2025-12-30,2026-01-29,USD,4637.19
AR00000314,C27987,Rivera-Nelson,INV-2024-53007,2025-09-27,2025-10-27,USD,76651.93
AR00000315,C26932,Welch and Sons,REF-2024-128,2025-09-08,2025-12-07,GBP,74726.71
AR00000317,C19447,Schmidt PLC,REF-2025-129,2025-12-09,2026-03-09,USD,83352.08
AR00000319,C85465,Stevenson Inc,REF-2024-130,2025-11-18,2026-02-16,GBP,92124.13
AR00000321,C52568,Sanford-Burke,REF-2024-131,2025-06-21,2025-08-05,GBP,11605.82
AR00000323,C41891,Singleton Group,REF-2023-132,2025-08-04,2025-11-02,GBP,43727.51
AR00000325,C54500,Green-Flynn,REF-2023-133,2025-11-16,2025-12-31,USD,39637.09
AR00000327,C76840,Rivera-Salinas,REF-2025-134,2026-03-09,2026-04-23,USD,63359.14
