SubledgerTransactionID,MappedAccountCode,Period,TransactionDate,DocumentNumber,Currency,DetailAmount,CostCenter
SL00000038,REF-2025-25,2026-02,2026-02-04,DOC-213349,USD,94780.93,CC418
SL00000039,REF-2025-26,2025-11,2025-11-17,DOC-831059,USD,2665.27,CC204
SL00000040,REF-2024-27,2026-04,2026-04-14,DOC-990844,USD,87187.66,CC112
SL00000041,REF-2023-28,2025-12,2025-12-13,DOC-556732,EUR,43916.97,CC576
SL00000042,REF-2023-29,2025-11,2025-11-24,DOC-300337,USD,34695.43,CC629
SL00000043,REF-2023-29,2025-11,2025-11-24,DOC-189771,USD,8863.88,CC629
SL00000044,REF-2023-29,2025-11,2025-11-24,DOC-353080,USD,5921.91,CC629
SL00000045,REF-2025-30,2026-03,2026-03-22,DOC-332360,USD,40702.17,CC401
SL00000046,REF-2024-31,2025-11,2025-11-14,DOC-836996,USD,69209.54,CC460
SL00000047,REF-2024-32,2025-10,2025-10-17,DOC-326895,USD,27164.55,CC296
SL00000048,REF-2025-33,2026-04,2026-04-08,DOC-114835,USD,48471.44,CC409
SL00000049,REF-2025-34,2025-10,2025-10-29,DOC-112861,USD,53460.1,CC993
SL00000050,REF-2025-35,2026-02,2026-02-11,DOC-950544,USD,1862.65,CC252
SL00000051,REF-2025-35,2026-02,2026-02-11,DOC-690180,USD,1389.46,CC252
SL00000052,REF-2025-35,2026-02,2026-02-11,DOC-418594,USD,10765.37,CC252
SL00000053,REF-2025-35,2026-02,2026-02-11,DOC-189318,USD,2430.8,CC252
SL00000054,REF-2025-35,2026-02,2026-02-11,DOC-360247,USD,12057.22,CC252
SL00000055,REF-2023-36,2026-01,2026-01-10,DOC-717113,USD,56479.57,CC980
SL00000056,REF-2025-37,2025-07,2025-07-31,DOC-722656,EUR,957.51,CC805
SL00000057,REF-2025-37,2025-07,2025-07-31,DOC-592738,EUR,2419.03,CC805
SL00000058,REF-2025-37,2025-07,2025-07-31,DOC-405407,EUR,2740.47,CC805
SL00000059,REF-2023-38,2026-04,2026-04-27,DOC-162535,USD,90144.09,CC173
SL00000060,REF-2025-39,2026-03,2026-03-29,DOC-666211,USD,74920.88,CC612
SL00000061,REF202440,2026-04,2026-04-13,DOC-804938,USD,43832.11,CC883
SL00000062,REF-2025-41,2025-09,2025-09-08,DOC-464863,USD,4119.14,CC581
SL00000063,REF-2024-42,2026-01,2026-01-02,DOC-668950,USD,22321.2,CC773
SL00000064,REF-2024-42,2026-01,2026-01-02,DOC-584417,USD,6571.76,CC773
SL00000065,REF-2024-43,2026-03,2026-03-03,DOC-559398,USD,5514.99,CC394
SL00000066,REF-2025-44,2025-06,2025-06-25,DOC-335615,EUR,48522.71,CC195
SL00000067,131000,2025-08,2025-08-08,DOC-779172,USD,47358.33,CC610
SL00000068,REF-2024-45,2025-12,2025-12-24,DOC-632401,USD,55171.38,CC906
SL00000069,REF-2024-46,2025-11,2025-11-02,DOC-899929,USD,82072.89,CC665
SL00000070,REF-2024-47,2026-01,2026-01-07,DOC-930884,EUR,23432.89,CC779
SL00000071,REF-2025-48,2026-02,2026-02-19,DOC-857537,EUR,96703.75,CC115
SL00000072,REF-2025-49,2025-07,2025-07-19,DOC-757246,EUR,99574.42,CC424
SL00000073,151000,2025-06,2025-06-29,DOC-761820,EUR,3514.2,CC332
SL00000074,REF-2025-50,2025-07,2025-07-31,DOC-493049,USD,2961.18,CC467
SL00000075,REF-2025-50,2025-07,2025-07-31,DOC-551607,USD,6167.72,CC467
SL00000076,REF-2023-51,2026-01,2026-01-07,DOC-711484,USD,24495.32,CC609
SL00000077,REF-2023-52,2026-05,2026-05-03,DOC-673149,USD,23295.63,CC793
SL00000078,REF-2023-53,2025-12,2025-12-04,DOC-503380,USD,7478.8,CC303
SL00000079,REF-2024-54,2025-12,2025-12-23,DOC-693419,USD,10457.97,CC108
SL00000080,REF-2025-55,2025-11,2025-11-04,DOC-777737,USD,49723.06,CC742
SL00000081,REF-2023-56,2026-01,2026-01-22,DOC-310548,EUR,30962.4,CC279
SL00000082,REF-2023-57,2025-12,2025-12-15,DOC-455168,USD,78672.63,CC864
SL00000083,REF-2023-58,2025-07,2025-07-19,DOC-929090,USD,46886.31,CC192
SL00000084,REF-2024-59,2026-03,2026-03-12,DOC-345180,USD,567.91,CC791
SL00000085,REF-2024-59,2026-03,2026-03-12,DOC-594379,USD,922.56,CC791
SL00000086,REF-2023-60,2026-03,2026-03-25,DOC-246566,EUR,61992.73,CC219
SL00000087,REF-2023-61,2025-11,2025-11-13,DOC-803055,EUR,94631.53,CC479
SL00000088,REF-2023-62,2026-04,2026-04-22,DOC-517479,USD,8284.78,CC162
SL00000089,REF-2023-62,2026-04,2026-04-22,DOC-389282,USD,48891.31,CC162
SL00000090,REF-2023-62,2026-04,2026-04-22,DOC-299028,USD,14156.43,CC162
SL00000091,REF-2023-62,2026-04,2026-04-22,DOC-228093,USD,7930.42,CC162
SL00000092,REF-2023-62,2026-04,2026-04-22,DOC-989227,USD,4123.0,CC162
SL00000093,REF-2024-63,2025-09,2025-09-27,DOC-970127,USD,9258.18,CC170
SL00000094,120000,2026-04,2026-04-12,DOC-251716,USD,13936.01,CC653
SL00000095,REF-2024-64,2025-08,2025-08-06,DOC-282710,USD,80224.14,CC116
SL00000096,REF-2025-65,2025-08,2025-08-08,DOC-332311,EUR,42153.96,CC615
SL00000097,REF-2025-66,2026-05,2026-05-14,DOC-847006,USD,4454.26,CC602
SL00000098,REF-2023-67,2025-08,2025-08-25,DOC-656329,EUR,32278.97,CC711
SL00000099,REF-2024-68,2026-04,2026-04-16,DOC-536196,EUR,44906.55,CC508
SL00000100,REF-2024-69,2025-12,2025-12-19,DOC-688866,USD,6425.81,CC700
SL00000101,REF-2024-69,2025-12,2025-12-19,DOC-688967,USD,42736.84,CC700
SL00000102,REF-2024-69,2025-12,2025-12-19,DOC-445658,USD,17381.63,CC700
SL00000103,REF-2025-70,2025-12,2025-12-09,DOC-788637,USD,12310.91,CC258
SL00000104,REF202471,2025-08,2025-08-05,DOC-789786,USD,22502.06,CC723
SL00000105,REF-2023-72,2026-06,2026-06-05,DOC-248766,EUR,18123.57,CC171
SL00000106,2025-73,2025-06,2025-06-26,DOC-440140,USD,63353.88,CC838
SL00000107,REF-2023-74,2026-04,2026-04-23,DOC-386436,EUR,15642.43,CC524
SL00000108,REF-2023-75,2025-08,2025-08-08,DOC-331230,USD,75518.82,CC146
SL00000109,REF-2024-76,2025-07,2025-07-09,DOC-883301,USD,28494.95,CC609
SL00000110,REF-2024-76,2025-07,2025-07-09,DOC-551574,USD,69951.17,CC609
SL00000111,REF-2023-77,2026-03,2026-03-10,DOC-181644,USD,13005.65,CC570
SL00000112,REF-2024-78,2026-03,2026-03-31,DOC-985506,USD,9903.05,CC547
SL00000113,REF-2024-78,2026-03,2026-03-31,DOC-211005,USD,16606.97,CC547
SL00000114,REF-2024-78,2026-03,2026-03-31,DOC-355135,USD,13224.17,CC547
SL00000115,REF-2024-78,2026-03,2026-03-31,DOC-556839,USD,14865.78,CC547
SL00000116,REF-2024-78,2026-03,2026-03-31,DOC-717476,USD,3018.37,CC547
SL00000117,REF-2024-79,2025-12,2025-12-30,DOC-634723,USD,52443.86,CC643
SL00000118,REF-2023-80,2025-12,2025-12-06,DOC-891093,EUR,54578.36,CC575
SL00000119,REF-2023-80,2025-12,2025-12-06,DOC-691119,EUR,4811.86,CC575
SL00000120,REF-2023-80,2025-12,2025-12-06,DOC-896788,EUR,9486.57,CC575
SL00000121,REF-2023-80,2025-12,2025-12-06,DOC-707616,EUR,21724.89,CC575
SL00000122,REF-2024-81,2026-03,2026-03-27,DOC-563688,USD,68145.23,CC580
SL00000123,REF-2025-82,2025-10,2025-10-29,DOC-996840,USD,11191.84,CC760
SL00000124,REF-2025-82,2025-10,2025-10-29,DOC-194682,USD,19159.92,CC760
SL00000125,REF-2025-83,2025-12,2025-12-24,DOC-598733,USD,57732.97,CC719
SL00000126,REF-2024-84,2025-12,2025-12-03,DOC-490963,USD,10439.84,CC472
SL00000127,REF-2024-85,2025-12,2025-12-01,DOC-811332,USD,38802.91,CC671
SL00000128,REF-2024-86,2026-05,2026-05-13,DOC-832409,USD,28486.28,CC771
SL00000129,REF-2025-87,2026-04,2026-04-11,DOC-803024,USD,39256.6,CC761
SL00000130,REF-2024-88,2025-06,2025-06-20,DOC-908320,USD,7886.4,CC619
SL00000131,REF-2024-88,2025-06,2025-06-20,DOC-665990,USD,1886.28,CC619
SL00000132,REF-2024-88,2025-06,2025-06-20,DOC-975686,USD,41124.13,CC619
SL00000133,REF-2024-88,2025-06,2025-06-20,DOC-874524,USD,1.19,CC619
SL00000134,REF-2025-89,2025-11,2025-11-30,DOC-558933,USD,3870.97,CC838
SL00000135,REF-2023-90,2026-05,2026-05-23,DOC-811256,USD,12732.99,CC476
SL00000136,REF-2023-90,2026-05,2026-05-23,DOC-698128,USD,9238.78,CC476
SL00000137,REF-2023-90,2026-05,2026-05-23,DOC-561999,USD,19173.01,CC476
SL00000138,REF-2024-91,2025-12,2025-12-23,DOC-603935,USD,78350.21,CC756
SL00000139,REF-2023-92,2026-03,2026-03-02,DOC-558723,USD,69136.86,CC950
SL00000140,REF-2023-93,2025-12,2025-12-06,DOC-129556,USD,83986.75,CC329
SL00000141,2025-94,2025-08,2025-08-24,DOC-105506,EUR,65031.07,CC730
SL00000142,REF-2023-95,2025-08,2025-08-26,DOC-540218,USD,25666.8,CC344
SL00000143,151000,2026-05,2026-05-04,DOC-216242,EUR,22909.97,CC711
SL00000144,120000,2026-03,2026-03-12,DOC-702980,USD,31634.55,CC835
SL00000145,REF-2023-96,2025-06,2025-06-11,DOC-651613,USD,29198.07,CC169
SL00000146,REF-2025-97,2026-02,2026-02-25,DOC-170841,USD,12880.88,CC907
SL00000147,REF-2025-97,2026-02,2026-02-25,DOC-461551,USD,37901.16,CC907
SL00000148,REF-2024-98,2025-08,2025-08-19,DOC-425138,USD,63210.41,CC423
SL00000149,REF-2025-99,2026-03,2026-03-16,DOC-938171,USD,40472.75,CC227
SL00000150,REF-2024-100,2025-12,2025-12-25,DOC-186624,USD,74356.44,CC920
SL00000151,REF-2025-101,2026-01,2026-01-17,DOC-567576,USD,42507.52,CC413
SL00000152,REF-2025-102,2025-09,2025-09-04,DOC-770532,EUR,71794.52,CC381
SL00000153,REF-2023-103,2026-05,2026-05-03,DOC-737086,USD,7596.61,CC969
SL00000154,REF-2025-104,2025-06,2025-06-28,DOC-260891,USD,78153.07,CC719
SL00000155,REF-2025-105,2025-12,2025-12-17,DOC-781113,EUR,45047.26,CC421
SL00000156,REF-2023-106,2025-10,2025-10-22,DOC-177649,USD,26452.62,CC973
SL00000157,REF-2025-107,2025-07,2025-07-25,DOC-844031,USD,43477.86,CC828
SL00000158,REF-2025-108,2025-09,2025-09-21,DOC-942700,USD,22501.74,CC578
SL00000159,REF-2025-109,2025-07,2025-07-25,DOC-432427,USD,10048.48,CC228
SL00000160,REF-2025-109,2025-07,2025-07-25,DOC-773540,USD,3015.67,CC228
SL00000161,REF-2023-110,2026-05,2026-05-25,DOC-235300,USD,45052.45,CC886
SL00000162,REF-2024-111,2025-07,2025-07-09,DOC-397846,USD,50336.09,CC631
SL00000163,REF-2023-112,2026-05,2026-05-02,DOC-708851,USD,25135.47,CC706
SL00000164,REF-2023-113,2026-04,2026-04-26,DOC-772612,USD,17202.94,CC146
SL00000165,REF-2025-114,2025-09,2025-09-26,DOC-416768,USD,26539.13,CC757
SL00000166,REF-2024-115,2026-05,2026-05-27,DOC-587002,EUR,24563.3,CC595
SL00000167,REF-2023-116,2025-08,2025-08-23,DOC-488539,USD,34085.24,CC878
SL00000168,REF-2025-117,2025-11,2025-11-21,DOC-502810,USD,56208.96,CC397
SL00000169,REF-2025-118,2025-08,2025-08-31,DOC-423528,EUR,41871.66,CC610
SL00000170,REF-2024-119,2025-12,2025-12-29,DOC-726543,USD,2415.31,CC606
SL00000171,REF-2025-120,2025-11,2025-11-04,DOC-520040,USD,66046.93,CC146
SL00000172,REF-2023-121,2025-11,2025-11-05,DOC-201377,USD,36316.13,CC231
SL00000173,REF-2024-122,2025-12,2025-12-01,DOC-140804,USD,37382.51,CC146
SL00000174,REF-2025-123,2025-12,2025-12-29,DOC-955374,USD,31507.91,CC586
SL00000175,REF-2025-124,2026-01,2026-01-10,DOC-787436,EUR,11049.5,CC371
SL00000176,151000,2026-04,2026-04-03,DOC-153849,EUR,11454.41,CC274
SL00000177,REF-2025-125,2026-04,2026-04-24,DOC-562462,USD,62939.62,CC119
SL00000178,REF-2024-126,2026-01,2026-01-08,DOC-601608,USD,21751.58,CC778
SL00000179,REF-2024-126,2026-01,2026-01-08,DOC-651002,USD,7845.92,CC778
SL00000180,REF-2024-126,2026-01,2026-01-08,DOC-495129,USD,12338.65,CC778
SL00000181,REF-2024-127,2026-02,2026-02-01,DOC-685196,USD,58367.78,CC385
SL00000182,REF-2024-127,2026-02,2026-02-01,DOC-412999,USD,3179.45,CC385
SL00000183,REF-2024-127,2026-02,2026-02-01,DOC-335790,USD,4784.05,CC385
SL00000184,REF-2024-127,2026-02,2026-02-01,DOC-412071,USD,29341.6,CC385
SL00000185,REF-2024-128,2026-05,2026-05-30,DOC-701334,USD,70519.6,CC224
SL00000186,REF-2025-129,2025-12,2025-12-30,DOC-368900,EUR,54841.96,CC771
SL00000187,REF-2025-130,2026-03,2026-03-25,DOC-656837,USD,27186.16,CC785
SL00000188,2023131,2025-07,2025-07-07,DOC-784607,USD,63830.66,CC516
SL00000189,REF-2024-132,2025-11,2025-11-05,DOC-874568,USD,65088.82,CC647
SL00000190,REF-2025-133,2025-06,2025-06-30,DOC-885386,EUR,85048.28,CC290
SL00000191,REF-2024-134,2025-06,2025-06-15,DOC-992400,EUR,87686.64,CC237
SL00000192,REF-2025-135,2025-09,2025-09-17,DOC-453487,USD,46855.27,CC854
SL00000193,REF-2024-136,2025-09,2025-09-17,DOC-247442,USD,56821.34,CC289
SL00000194,REF-2024-137,2025-10,2025-10-16,DOC-857997,USD,32427.81,CC696
SL00000195,REF-2025-138,2026-05,2026-05-11,DOC-626930,EUR,1242.43,CC802
SL00000196,REF-2025-139,2026-05,2026-05-30,DOC-836038,USD,36823.41,CC525
SL00000197,REF-2025-139,2026-05,2026-05-30,DOC-675914,USD,40183.71,CC525
SL00000198,REF-2024-140,2026-05,2026-05-17,DOC-837952,EUR,75759.32,CC640
SL00000199,REF-2024,2026-03,2026-03-26,DOC-813341,EUR,7902.46,CC219
SL00000200,130000,2026-02,2026-02-28,DOC-160541,EUR,22894.24,CC788
SL00000201,REF-2024-142,2025-12,2025-12-30,DOC-166857,USD,72355.68,CC817
SL00000202,REF-2025-143,2025-07,2025-07-16,DOC-570325,USD,100719.48,CC491
SL00000203,REF-2025-144,2026-03,2026-03-14,DOC-333507,USD,96418.02,CC845
SL00000204,REF-2023-145,2025-11,2025-11-10,DOC-792267,USD,11733.74,CC928
SL00000205,REF-2023-145,2025-11,2025-11-10,DOC-539605,USD,2523.36,CC928
SL00000206,REF-2023-145,2025-11,2025-11-10,DOC-744793,USD,20585.67,CC928
SL00000207,REF-2023-145,2025-11,2025-11-10,DOC-903265,USD,31360.01,CC928
SL00000208,REF-2023-145,2025-11,2025-11-10,DOC-116405,USD,9439.54,CC928
SL00000209,REF-2023-146,2025-08,2025-08-01,DOC-913761,USD,20547.21,CC872
SL00000210,REF-2024-147,2026-04,2026-04-01,DOC-811721,USD,5192.9,CC741
SL00000211,REF-2024-147,2026-04,2026-04-01,DOC-547952,USD,1866.69,CC741
SL00000212,REF-2024-147,2026-04,2026-04-01,DOC-682851,USD,8450.61,CC741
SL00000213,REF-2024-147,2026-04,2026-04-01,DOC-619696,USD,7982.54,CC741
SL00000214,REF-2023-148,2026-05,2026-05-06,DOC-664058,USD,97231.79,CC872
SL00000215,REF-2024-149,2025-10,2025-10-04,DOC-655736,EUR,24172.72,CC670
SL00000216,REF-2023-150,2025-10,2025-10-19,DOC-859782,USD,38903.06,CC648
SL00000217,REF-2023-151,2025-12,2025-12-21,DOC-319036,USD,5248.51,CC590
SL00000218,REF-2024-152,2026-06,2026-06-02,DOC-780233,EUR,92488.61,CC646
SL00000219,REF-2024-153,2026-02,2026-02-20,DOC-680189,USD,11358.08,CC367
SL00000220,REF-2024-153,2026-02,2026-02-20,DOC-712401,USD,7670.34,CC367
SL00000221,REF-2024-153,2026-02,2026-02-20,DOC-707275,USD,2218.77,CC367
SL00000222,REF-2024-153,2026-02,2026-02-20,DOC-854987,USD,7627.41,CC367
SL00000223,REF-2024-153,2026-02,2026-02-20,DOC-537862,USD,22455.77,CC367
SL00000224,2024154,2025-11,2025-11-26,DOC-961501,USD,15325.9,CC881
SL00000225,REF-2025-155,2026-02,2026-02-17,DOC-135466,USD,62374.14,CC636
SL00000226,REF-2025-156,2025-06,2025-06-14,DOC-747847,USD,5049.48,CC161
SL00000227,REF-2023-157,2026-03,2026-03-20,DOC-952657,USD,760.57,CC614
SL00000228,REF-2025-158,2025-09,2025-09-10,DOC-471658,USD,67435.89,CC934
SL00000229,2024-159,2025-07,2025-07-21,DOC-999908,USD,79514.14,CC769
SL00000230,REF-2023-160,2025-12,2025-12-21,DOC-999636,USD,39484.97,CC679
SL00000231,REF-2023-161,2026-05,2026-05-31,DOC-991737,USD,23053.67,CC283
SL00000232,REF-2024-162,2025-09,2025-09-25,DOC-691353,USD,1664.24,CC266
SL00000233,REF-2023-163,2025-12,2025-12-27,DOC-202430,USD,56712.92,CC154
SL00000234,200000,2026-01,2026-01-20,DOC-457137,EUR,41949.87,CC892
SL00000235,REF-2024-164,2025-10,2025-10-28,DOC-714334,USD,3075.86,CC796
SL00000236,REF-2025-165,2025-10,2025-10-15,DOC-478221,EUR,29608.41,CC424
SL00000237,REF-2023-166,2025-11,2025-11-15,DOC-684041,EUR,9242.89,CC559
SL00000238,REF-2025-167,2025-08,2025-08-02,DOC-533911,USD,16640.95,CC398
SL00000239,REF-2025-167,2025-08,2025-08-02,DOC-506637,USD,34651.89,CC398
SL00000240,REF-2023-168,2026-03,2026-03-24,DOC-253023,USD,71967.0,CC604
SL00000241,REF-2024-169,2026-02,2026-02-13,DOC-212168,USD,42168.12,CC568
SL00000242,REF-2023,2025-12,2025-12-30,DOC-436241,USD,30535.33,CC407
SL00000243,REF-2024-171,2025-12,2025-12-31,DOC-672133,USD,8825.79,CC706
SL00000244,REF-2024-171,2025-12,2025-12-31,DOC-288667,USD,2667.43,CC706
SL00000245,REF-2024-171,2025-12,2025-12-31,DOC-814827,USD,13251.3,CC706
SL00000246,REF-2024-171,2025-12,2025-12-31,DOC-904905,USD,6742.39,CC706
SL00000247,REF-2025-172,2026-02,2026-02-02,DOC-764100,EUR,2788.92,CC242
SL00000248,REF-2024-173,2026-05,2026-05-14,DOC-520274,EUR,24277.91,CC696
SL00000249,REF-2025-174,2026-05,2026-05-31,DOC-778428,USD,5546.19,CC270
SL00000250,REF-2025-174,2026-05,2026-05-31,DOC-742439,USD,24566.78,CC270
SL00000251,REF-2025-174,2026-05,2026-05-31,DOC-146448,USD,11079.1,CC270
SL00000252,REF-2025-174,2026-05,2026-05-31,DOC-690579,USD,5177.77,CC270
SL00000253,REF-2025-174,2026-05,2026-05-31,DOC-776364,USD,4340.76,CC270
SL00000254,REF-2025-175,2025-11,2025-11-27,DOC-812565,EUR,28846.19,CC890
SL00000255,REF-2025-175,2025-11,2025-11-27,DOC-717181,EUR,4725.05,CC890
SL00000256,REF-2025-175,2025-11,2025-11-27,DOC-823975,EUR,3652.06,CC890
SL00000257,REF-2025-175,2025-11,2025-11-27,DOC-624776,EUR,341.85,CC890
SL00000258,REF-2025-175,2025-11,2025-11-27,DOC-258067,EUR,27144.54,CC890
SL00000259,REF-2024-176,2026-02,2026-02-13,DOC-459731,USD,99770.5,CC419
SL00000260,REF-2024-177,2026-03,2026-03-04,DOC-414849,USD,78448.57,CC168
SL00000261,REF-2023-178,2025-08,2025-08-08,DOC-267914,USD,60007.48,CC665
SL00000262,REF-2023-178,2025-08,2025-08-08,DOC-447067,USD,21030.1,CC665
SL00000263,2025-179,2025-12,2025-12-30,DOC-888870,USD,65765.06,CC385
SL00000264,REF-2025-180,2026-03,2026-03-12,DOC-507517,USD,10265.03,CC711
SL00000265,REF-2025-181,2025-08,2025-08-08,DOC-240454,USD,39315.15,CC788
SL00000266,REF-2024-182,2025-11,2025-11-14,DOC-502349,USD,11874.38,CC688
SL00000267,REF-2024-183,2026-05,2026-05-02,DOC-572908,USD,18656.79,CC962
SL00000268,REF-2024-184,2026-02,2026-02-24,DOC-186686,EUR,96386.53,CC271
SL00000269,REF-2025-185,2025-10,2025-10-01,DOC-219754,USD,1455.64,CC686
SL00000270,REF-2025-185,2025-10,2025-10-01,DOC-380901,USD,907.78,CC686
SL00000271,REF-2025-185,2025-10,2025-10-01,DOC-912764,USD,74.49,CC686
SL00000272,REF-2025-185,2025-10,2025-10-01,DOC-669488,USD,745.07,CC686
SL00000273,REF-2023-186,2026-05,2026-05-11,DOC-223088,EUR,72987.18,CC986
SL00000274,REF-2023-187,2025-07,2025-07-11,DOC-700556,USD,81371.63,CC396
SL00000275,REF-2024-188,2026-03,2026-03-01,DOC-239136,USD,95244.49,CC818
SL00000276,122000,2025-10,2025-10-16,DOC-968726,USD,35598.6,CC879
SL00000277,REF-2025-189,2025-08,2025-08-22,DOC-886224,EUR,40186.52,CC627
SL00000278,REF-2024-190,2026-02,2026-02-15,DOC-166407,USD,45524.1,CC970
SL00000279,REF-2025-191,2026-01,2026-01-16,DOC-993829,USD,39831.82,CC679
SL00000280,REF-2024-192,2026-05,2026-05-26,DOC-100708,EUR,9796.29,CC567
SL00000281,REF-2024-192,2026-05,2026-05-26,DOC-548580,EUR,69055.24,CC567
SL00000282,REF-2023-193,2025-08,2025-08-17,DOC-489906,USD,99569.84,CC184
SL00000283,REF-2025-194,2025-09,2025-09-03,DOC-599968,USD,59249.08,CC318
SL00000284,REF-2025-194,2025-09,2025-09-03,DOC-181724,USD,31140.57,CC318
SL00000285,REF-2023-195,2026-03,2026-03-03,DOC-174268,USD,59408.58,CC589
SL00000286,REF-2023-196,2025-08,2025-08-02,DOC-656278,USD,38368.69,CC170
SL00000287,REF-2025-197,2026-05,2026-05-09,DOC-205345,USD,583.2,CC188
SL00000288,REF-2025-197,2026-05,2026-05-09,DOC-246814,USD,287.6,CC188
SL00000289,REF-2025-197,2026-05,2026-05-09,DOC-888996,USD,75.83,CC188
SL00000290,REF-2023-198,2025-12,2025-12-24,DOC-824016,USD,4970.54,CC897
SL00000291,REF-2023-198,2025-12,2025-12-24,DOC-128127,USD,27678.99,CC897
SL00000292,REF-2023-198,2025-12,2025-12-24,DOC-989079,USD,2749.99,CC897
SL00000293,REF-2023-198,2025-12,2025-12-24,DOC-988217,USD,23598.91,CC897
SL00000294,REF-2025-199,2025-09,2025-09-24,DOC-769077,USD,43349.76,CC611
SL00000295,REF-2025-199,2025-09,2025-09-24,DOC-722780,USD,40274.83,CC611
SL00000296,REF-2025-199,2025-09,2025-09-24,DOC-174461,USD,3970.55,CC611
SL00000297,REF-2025-200,2025-06,2025-06-17,DOC-593894,USD,88576.88,CC881
SL00000298,REF-2023-201,2025-09,2025-09-29,DOC-771652,EUR,1133.76,CC184
SL00000299,REF-2023-201,2025-09,2025-09-29,DOC-662628,EUR,344.2,CC184
SL00000300,REF-2025-202,2025-10,2025-10-31,DOC-714923,USD,61643.1,CC500
SL00000301,REF-2025-203,2025-09,2025-09-08,DOC-642347,USD,74195.18,CC635
SL00000302,REF-2025-204,2025-12,2025-12-18,DOC-550179,USD,25998.77,CC926
SL00000303,REF-2024-205,2025-10,2025-10-23,DOC-264951,USD,52433.04,CC476
SL00000304,REF-2024-206,2026-03,2026-03-31,DOC-594681,USD,77355.56,CC147
SL00000305,REF-2024-207,2025-08,2025-08-26,DOC-360322,USD,38359.65,CC429
SL00000306,REF-2024-208,2025-11,2025-11-21,DOC-943409,USD,91593.89,CC328
SL00000307,REF-2025,2026-01,2026-01-02,DOC-486839,EUR,98143.25,CC108
SL00000308,REF-2024-210,2025-11,2025-11-13,DOC-106687,USD,56424.29,CC254
SL00000309,REF-2024-211,2026-03,2026-03-15,DOC-655550,USD,2488.63,CC310
