AccountCode,Period,BeginningBalance,Debits,Credits,EndingBalance,Currency,CostCenter
REF-2024-68,2026-04,231261.91,45426.17,17779.69,258908.39,USD,CC540
REF-2024-69,2025-12,417568.23,66544.28,22444.86,461667.65,USD,CC193
REF-2025-70,2025-12,304200.94,12310.91,5424.91,311086.94,USD,CC394
REF-2024-71,2025-08,383676.76,22502.06,11917.99,394260.83,USD,CC217
REF-2023-72,2026-06,12991.84,18123.57,11743.08,19372.33,USD,CC459
REF-2025-73,2025-06,215717.92,63353.88,27645.0,251426.8,USD,CC485
REF-2023-74,2026-04,227125.36,15642.43,7345.78,235422.01,USD,CC378
REF-2023-75,2025-08,148790.77,75518.82,43151.04,181158.55,EUR,CC213
REF-2024-76,2025-07,386001.27,98446.12,59625.31,424822.08,USD,CC316
REF-2023-77,2026-03,204564.88,13005.65,7761.99,209808.54,USD,CC173
REF-2024-78,2026-03,208465.83,57618.34,39553.83,226530.34,USD,CC217
REF-2024-79,2025-12,173203.63,52443.86,19260.17,206387.32,USD,CC326
REF-2023-80,2025-12,81757.67,90601.68,34329.77,138029.58,USD,CC205
REF-2024-81,2026-03,485776.8,68145.23,29060.91,524861.12,USD,CC984
REF-2025-82,2025-10,236253.82,30351.76,9562.11,257043.47,USD,CC417
REF-2025-83,2025-12,455434.48,59448.57,31428.24,483454.81,USD,CC560
REF-2024-84,2025-12,131394.42,10439.84,4960.0,136874.26,USD,CC140
REF-2024-85,2025-12,319134.42,38802.91,16835.02,341102.31,USD,CC908
REF-2024-86,2026-05,49935.97,28486.28,16107.42,62314.83,USD,CC441
REF-2025-87,2026-04,194572.86,39256.6,24208.16,209621.3,USD,CC672
REF-2024-88,2025-06,177448.85,50898.0,30867.73,197479.12,USD,CC319
REF-2025-89,2025-11,194592.74,3870.97,1412.51,197051.2,USD,CC711
REF-2023-90,2026-05,376782.89,41144.78,19731.85,398195.82,USD,CC870
REF-2024-91,2025-12,107851.89,76966.91,41705.7,143113.1,USD,CC936
REF-2023-92,2026-03,88553.04,71168.96,34141.72,125580.28,USD,CC881
REF-2023-93,2025-12,255983.49,81688.66,32210.76,305461.39,USD,CC505
REF-2025-94,2025-08,417244.14,65031.07,39248.62,443026.59,EUR,CC812
REF-2023-95,2025-08,390324.59,25666.8,10139.83,405851.56,EUR,CC213
REF-2023-96,2025-06,289625.22,29198.07,10947.1,307876.19,USD,CC346
REF-2025-97,2026-02,321478.69,50782.04,35162.29,337098.44,EUR,CC144
121000,2025-10,370241.62,194017.84,84011.17,480248.29,USD,CC460
202000,2026-03,95793.67,204309.67,124967.45,175135.89,EUR,CC812
REF-2024-98,2025-08,153786.86,63210.41,20070.73,196926.54,EUR,CC137
REF-2025-99,2026-03,184917.35,39882.58,24421.56,200378.37,USD,CC392
REF-2024-100,2025-12,349113.56,74356.44,33232.78,390237.22,USD,CC608
REF-2025-101,2026-01,153945.55,42507.52,14496.73,181956.34,USD,CC658
REF-2025-102,2025-09,30754.03,71794.52,46523.92,56024.63,USD,CC557
REF-2023-103,2026-05,402537.03,7596.61,4343.47,405790.17,USD,CC625
REF-2025-104,2025-06,391472.53,78153.07,34897.8,434727.8,USD,CC341
REF-2025-105,2025-12,47673.86,45047.26,15995.29,76725.83,EUR,CC881
200000,2025-10,22697.54,240327.41,89983.2,173041.75,EUR,CC675
REF-2023-106,2025-10,459074.67,26251.49,13033.34,472292.82,USD,CC810
REF-2025-107,2025-07,41820.15,44566.61,23035.08,63351.68,USD,CC826
REF-2025-108,2025-09,252070.75,22501.74,9998.84,264573.65,USD,CC909
REF-2025-109,2025-07,362246.13,13064.15,6666.35,368643.93,EUR,CC834
REF-2023-110,2026-05,440200.47,45052.45,27576.84,457676.08,USD,CC231
REF-2024-111,2025-07,90681.97,50336.09,21597.42,119420.64,USD,CC411
REF-2023-112,2026-05,316260.96,25135.47,13718.22,327678.21,USD,CC228
REF-2023-113,2026-04,462725.57,17202.94,5444.35,474484.16,USD,CC962
REF-2025-114,2025-09,323105.68,26539.13,13248.74,336396.07,EUR,CC732
REF-2024-115,2026-05,45756.78,24563.3,7957.65,62362.43,USD,CC564
REF-2023-116,2025-08,494131.45,34085.24,14934.39,513282.3,USD,CC851
REF-2025-117,2025-11,141061.12,56208.96,22436.79,174833.29,EUR,CC225
REF-2025-118,2025-08,383929.47,41871.66,20906.78,404894.35,USD,CC294
REF-2024-119,2025-12,115420.77,2415.31,1065.53,116770.55,EUR,CC346
REF-2025-120,2025-11,442403.31,67284.81,39765.54,469922.58,EUR,CC237
REF-2023-121,2025-11,230673.65,36316.13,18882.31,248107.47,EUR,CC616
REF-2024-122,2025-12,80691.01,37382.51,20223.38,97850.14,USD,CC873
202000,2025-08,264473.03,201971.63,72624.2,393820.46,USD,CC435
REF-2025-123,2025-12,415861.8,31921.15,16373.5,431409.45,USD,CC619
REF-2025-124,2026-01,450395.88,11049.5,7169.35,454276.03,USD,CC915
REF-2025-125,2026-04,343556.18,62939.62,19676.7,386819.1,USD,CC941
REF-2024-126,2026-01,425704.73,41936.15,24782.62,442858.26,EUR,CC993
REF-2024-127,2026-02,388274.99,95672.88,56291.04,427656.83,USD,CC792
REF-2024-128,2026-05,180913.56,70519.6,47493.55,203939.61,USD,CC591
REF-2025-129,2025-12,150938.87,54364.77,31839.08,173464.56,USD,CC143
REF-2025-130,2026-03,311681.75,27186.16,14537.32,324330.59,USD,CC211
REF-2023-131,2025-07,343784.07,63830.66,22659.04,384955.69,EUR,CC202
REF-2024-132,2025-11,38989.67,65088.82,39540.81,64537.68,USD,CC761
REF-2025-133,2025-06,96136.47,85048.28,56799.83,124384.92,EUR,CC957
REF-2024-134,2025-06,149435.21,87686.64,60998.32,176123.53,USD,CC443
REF-2025-135,2025-09,368248.42,46855.27,26206.81,388896.88,USD,CC266
REF-2024-136,2025-09,219574.59,56821.34,24499.69,251896.24,EUR,CC946
REF-2024-137,2025-10,125405.41,32427.81,19505.41,138327.81,USD,CC492
REF-2025-138,2026-05,337215.2,1242.43,604.02,337853.61,USD,CC163
REF-2025-139,2026-05,118216.13,77007.12,52591.57,142631.68,USD,CC729
REF-2024-140,2026-05,379822.38,75759.32,49187.04,406394.66,USD,CC796
REF-2024-141,2026-03,272963.48,7902.46,2890.84,277975.1,USD,CC686
131000,2026-04,260083.92,27280.7,17008.88,270355.74,EUR,CC235
REF-2024-142,2025-12,116771.64,72355.68,23820.34,165306.98,USD,CC863
REF-2025-143,2025-07,210344.8,99412.95,60402.2,249355.55,USD,CC393
REF-2025-144,2026-03,97452.08,96418.02,49645.97,144224.13,USD,CC221
REF-2023-145,2025-11,195845.47,75642.32,29641.63,241846.16,EUR,CC644
REF-2023-146,2025-08,372865.13,20687.55,9535.02,384017.66,USD,CC350
REF-2024-147,2026-04,157864.57,23492.74,8394.05,172963.26,USD,CC342
REF-2023-148,2026-05,213999.07,97231.79,34973.02,276257.84,USD,CC813
REF-2024-149,2025-10,236882.33,24172.72,7808.99,253246.06,USD,CC925
REF-2023-150,2025-10,48744.51,38903.06,18670.15,68977.42,USD,CC762
REF-2023-151,2025-12,45664.32,5248.51,3263.84,47648.99,USD,CC994
201000,2025-11,17513.52,239469.84,161609.55,95373.81,USD,CC864
REF-2024-152,2026-06,280518.85,91452.69,55804.94,316166.6,EUR,CC345
REF-2024-153,2026-02,421468.28,51330.37,34172.28,438626.37,EUR,CC879
REF-2024-154,2025-11,279814.84,15325.9,10381.55,284759.19,USD,CC611
REF-2025-155,2026-02,362953.63,64205.28,31802.58,395356.33,USD,CC243
REF-2025-156,2025-06,84004.53,4946.59,1916.74,87034.38,USD,CC824
REF-2023-157,2026-03,269414.65,760.57,311.75,269863.47,USD,CC117
REF-2025-158,2025-09,82959.77,67435.89,25408.01,124987.65,USD,CC636
REF-2024-159,2025-07,129171.87,79514.14,46030.3,162655.71,EUR,CC678
REF-2023-160,2025-12,93977.95,40587.3,20291.35,114273.9,USD,CC819
REF-2023-161,2026-05,32815.37,23053.67,7601.7,48267.34,EUR,CC377
REF-2024-162,2025-09,412138.46,1664.24,1045.74,412756.96,USD,CC870
REF-2023-163,2025-12,380248.54,56712.92,20188.68,416772.78,USD,CC493
REF-2024-164,2025-10,184347.49,3059.6,2069.69,185337.4,EUR,CC333
REF-2025-165,2025-10,85568.27,29608.41,17311.17,97865.51,USD,CC374
REF-2023-166,2025-11,142185.56,9242.89,3262.77,148165.68,USD,CC879
REF-2025-167,2025-08,55601.49,51292.84,27658.0,79236.33,USD,CC667
REF-2023-168,2026-03,196558.69,72511.9,25780.59,243290.0,USD,CC801
REF-2024-169,2026-02,472668.92,42168.12,24810.03,490027.01,USD,CC357
REF-2023-170,2025-12,432477.17,30535.33,14537.54,448474.96,EUR,CC923
REF-2024-171,2025-12,393167.44,31486.91,13550.53,411103.82,EUR,CC689
REF-2025-172,2026-02,152752.29,2788.92,1609.58,153931.63,EUR,CC916
REF-2024-173,2026-05,194725.5,24277.91,11644.33,207359.08,EUR,CC908
REF-2025-174,2026-05,484529.74,50710.6,29445.3,505795.04,USD,CC909
REF-2025-175,2025-11,136781.8,64709.69,32631.19,168860.3,USD,CC200
REF-2024-176,2026-02,461068.3,99770.5,33357.46,527481.34,USD,CC525
REF-2024-177,2026-03,57835.29,78448.57,46190.33,90093.53,USD,CC587
REF-2023-178,2025-08,402024.56,81037.58,54454.74,428607.4,USD,CC793
130000,2026-03,123609.22,239823.34,110802.93,252629.63,USD,CC290
REF-2025-179,2025-12,300179.55,65765.06,29958.24,335986.37,USD,CC560
REF-2025-180,2026-03,106566.39,10265.03,3547.41,113284.01,USD,CC433
REF-2025-181,2025-08,234351.69,39315.15,14507.72,259159.12,USD,CC965
REF-2024-182,2025-11,349783.91,11874.38,5988.61,355669.68,USD,CC482
REF-2024-183,2026-05,91764.11,18656.79,7752.53,102668.37,USD,CC668
120000,2026-04,476402.56,217052.95,107190.2,586265.31,USD,CC934
REF-2024-184,2026-02,250945.68,96386.53,56295.22,291036.99,EUR,CC801
REF-2025-185,2025-10,273428.22,3182.98,1169.06,275442.14,USD,CC330
150000,2025-12,30389.16,206539.68,121361.08,115567.76,USD,CC535
REF-2023-186,2026-05,138779.46,73625.27,47479.45,164925.28,USD,CC560
202000,2026-04,309028.28,215956.93,101773.34,423211.87,USD,CC903
REF-2023-187,2025-07,147731.66,81371.63,41947.68,187155.61,USD,CC645
REF-2024-188,2026-03,394988.61,95244.49,63576.41,426656.69,USD,CC868
REF-2025-189,2025-08,231475.94,39330.8,21767.67,249039.07,EUR,CC484
REF-2024-190,2026-02,389326.29,45524.1,26999.87,407850.52,USD,CC989
REF-2025-191,2026-01,168203.92,39831.82,16467.96,191567.78,EUR,CC374
REF-2024-192,2026-05,394105.98,78851.53,38150.95,434806.56,USD,CC741
REF-2023-193,2025-08,467035.53,99569.84,40784.58,525820.79,USD,CC995
REF-2025-194,2025-09,352726.27,90389.65,35582.57,407533.35,USD,CC843
REF-2023-195,2026-03,350842.58,59408.58,37239.89,373011.27,USD,CC108
REF-2023-196,2025-08,441684.61,38368.69,13615.2,466438.1,USD,CC476
REF-2025-197,2026-05,114397.17,946.63,567.32,114776.48,USD,CC839
REF-2023-198,2025-12,78516.79,58998.43,24235.79,113279.43,USD,CC910
REF-2025-199,2025-09,36738.87,87595.14,57739.65,66594.36,USD,CC761
REF-2025-200,2025-06,431798.86,88883.58,46872.95,473809.49,USD,CC496
REF-2023-201,2025-09,150379.02,1477.96,864.68,150992.3,EUR,CC618
REF-2025-202,2025-10,260539.3,61643.1,23503.22,298679.18,USD,CC180
121000,2026-05,224368.16,80991.53,55185.3,250174.39,USD,CC159
121000,2025-10,66833.42,231533.8,126167.1,172200.12,USD,CC416
REF-2025-203,2025-09,77233.78,74195.18,22595.42,128833.54,USD,CC824
REF-2025-204,2025-12,444343.23,25998.77,15822.13,454519.87,USD,CC850
REF-2024-205,2025-10,233046.91,52433.04,23282.87,262197.08,USD,CC608
REF-2024-206,2026-03,259324.19,77355.56,24569.3,312110.45,USD,CC858
REF-2024-207,2025-08,403526.59,38359.65,22463.73,419422.51,USD,CC666
REF-2024-208,2025-11,192676.0,91593.89,45871.72,238398.17,USD,CC685
REF-2025-209,2026-01,423974.79,98143.25,42291.93,479826.11,USD,CC892
REF-2024-210,2025-11,190454.08,56424.29,38861.84,208016.53,USD,CC575
REF-2024-211,2026-03,10716.4,2488.63,1400.9,11804.13,USD,CC443
REF-2023-212,2025-07,31511.13,42039.6,16504.29,57046.44,USD,CC195
REF-2024-213,2025-07,75421.79,97458.02,61202.19,111677.62,USD,CC617
REF-2023-214,2025-10,417630.92,23753.5,10225.9,431158.52,EUR,CC817
REF-2023-215,2026-04,230287.71,13697.57,5829.87,238155.41,USD,CC268
121000,2025-10,405722.48,27153.12,11450.09,421425.51,USD,CC320
REF-2024-216,2026-06,33985.8,14917.55,6258.45,42644.9,EUR,CC625
REF-2025-217,2025-10,398966.77,74833.04,26085.4,447714.41,USD,CC923
REF-2024-218,2026-05,46743.72,68659.9,47983.97,67419.65,USD,CC932
REF-2023-219,2025-11,92314.71,90517.29,47933.76,134898.24,EUR,CC151
REF-2024-220,2025-09,228545.6,17363.44,6241.33,239667.71,USD,CC386
REF-2024-221,2026-03,147090.23,41258.02,14642.24,173706.01,USD,CC189
REF-2025-222,2025-12,392903.2,79505.14,34792.53,437615.81,EUR,CC657
REF-2023-223,2026-04,391483.76,2703.69,874.47,393312.98,USD,CC930
REF-2023-224,2025-08,409979.73,97400.59,64956.82,442423.5,USD,CC646
REF-2023-225,2025-11,353274.79,23731.46,16114.22,360892.03,USD,CC820
131000,2025-09,37522.31,14301.12,7732.12,44091.31,USD,CC639
120000,2026-02,310926.04,86274.83,53712.83,343488.04,EUR,CC834
REF-2023-226,2025-11,297438.5,91886.2,61277.96,328046.74,USD,CC251
130000,2026-06,174914.92,148574.08,63744.41,259744.59,USD,CC849
131000,2026-01,95359.31,164049.17,112783.34,146625.14,EUR,CC328
REF-2025-227,2025-09,347364.24,58936.12,20683.0,385617.36,USD,CC851
REF-2025-228,2026-04,287119.62,3335.04,2250.07,288204.59,USD,CC754
REF-2023-229,2025-11,357393.25,34746.33,19306.49,372833.09,USD,CC941
REF-2023-230,2025-07,62936.95,25029.13,7521.57,80444.51,USD,CC905
REF-2023-231,2026-02,193920.31,88466.74,55868.76,226518.29,USD,CC659
REF-2023-232,2025-06,476314.44,79939.54,26354.48,529899.5,USD,CC367
REF-2023-233,2026-05,36242.31,43189.2,18676.64,60754.87,EUR,CC260
REF-2025-234,2026-03,126398.66,92564.8,29607.24,189356.22,USD,CC404
REF-2024-235,2025-07,57523.58,481.18,184.19,57820.57,EUR,CC304
REF-2024-236,2026-03,443891.42,9204.57,4121.44,448974.55,USD,CC479
REF-2024-237,2025-10,337389.18,26413.74,16462.95,347339.97,USD,CC187
REF-2024-238,2026-05,156437.53,96566.21,44219.77,208783.97,USD,CC587
REF-2024-239,2025-09,30911.19,17370.61,5755.71,42526.09,USD,CC229
REF-2023-240,2025-10,282618.46,83427.4,43450.8,322595.06,USD,CC497
REF-2025-241,2025-08,150185.5,58309.44,29985.83,178509.11,USD,CC904
REF-2025-242,2025-06,80487.81,60935.32,33116.04,108307.09,USD,CC512
REF-2025-243,2026-02,410519.1,23834.17,10039.48,424313.79,USD,CC445
REF-2025-244,2025-07,258329.68,86732.18,30725.74,314336.12,USD,CC826
REF-2023-245,2026-01,107563.79,25024.08,11194.29,121393.58,USD,CC821
REF-2025-246,2025-12,480654.99,3153.26,1544.57,482263.68,EUR,CC281
121000,2025-10,199417.18,74842.0,27329.53,246929.65,USD,CC977
REF-2023-247,2026-05,19825.66,64773.25,39649.1,44949.81,EUR,CC625
REF-2024-248,2026-02,158051.09,85173.46,43289.85,199934.7,USD,CC577
REF-2023-249,2026-05,345362.44,51200.22,25226.11,371336.55,USD,CC405
REF-2024-250,2026-06,263473.86,26188.58,10373.84,279288.6,USD,CC253
REF-2025-251,2025-06,208253.46,14078.96,8372.66,213959.76,USD,CC528
REF-2025-252,2026-05,93293.47,78511.22,44205.42,127599.27,USD,CC965
REF-2024-253,2025-10,184088.86,12881.62,7699.14,189271.34,USD,CC327
REF-2023-254,2026-05,36490.37,50097.69,32147.48,54440.58,USD,CC523
131000,2026-03,432573.03,40089.92,14919.17,457743.78,USD,CC599
REF-2024-255,2025-09,231506.08,63140.17,24230.23,270416.02,USD,CC104
REF-2023-256,2026-01,197825.05,13027.66,4104.89,206747.82,EUR,CC588
REF-2023-257,2025-10,73176.09,62706.02,28432.18,107449.93,USD,CC419
REF-2023-258,2025-11,445107.28,29890.41,20869.15,454128.54,USD,CC544
REF-2023-259,2026-01,366312.73,16571.86,5841.29,377043.3,USD,CC329
REF-2025-260,2025-06,272019.38,65088.98,20791.68,316316.68,USD,CC889
REF-2023-261,2025-08,70561.58,4918.68,1972.86,73507.4,EUR,CC489
REF-2025-262,2026-01,306760.83,1029.52,365.34,307425.01,USD,CC737
REF-2025-263,2025-12,29308.8,97314.66,48515.43,78108.03,USD,CC264
120000,2025-06,454371.22,169550.12,107510.52,516410.82,EUR,CC252
REF-2023-264,2025-07,123268.54,77974.67,54228.76,147014.45,USD,CC759
REF-2023-265,2025-07,341615.6,81336.52,38260.54,384691.58,USD,CC920
REF-2023-266,2025-08,448318.53,1066.27,727.23,448657.57,USD,CC466
REF-2024-267,2026-01,419497.09,18368.66,10579.63,427286.12,EUR,CC378
REF-2023-268,2026-06,213853.58,11394.35,6110.79,219137.14,USD,CC206
REF-2024-269,2026-04,460995.01,77938.51,26902.42,512031.1,USD,CC594
REF-2024-270,2025-06,437840.35,65531.86,33266.58,470105.63,USD,CC785
