CountSessionID,ItemCode,Location,Bin,CountQuantity,UnitCostAtCount,CountValue,UOM
CNT00000069,REF-2024-55,WH03,B25-4,883,94529.04,83469142.32,CS
CNT00000070,REF-2023-56,WH02,E23-2,1567,56636.31,88749097.77,KG
CNT00000071,REF-2024-57,DC01,A38-3,1086,67808.67,73640215.62,EA
CNT00000072,REF-2024-58,DC02,C11-3,3957,32739.24,129549172.68,PC
CNT00000073,REF-2024-59,PLANT01,D36-3,749,74681.28,55936278.72,PC
CNT00000074,REF-2024-60,PLANT01,C07-2,3872,1490.47,5771099.84,EA
CNT00000075,688678,WH02,A41-4,168,457.71,76895.28,LB
CNT00000076,REF-2024-61,WH02,E09-4-1,1242,64959.02,80679102.84,PK
CNT00000077,REF-2024-61,WH02,E09-4-2,1242,64959.02,80679102.84,PK
CNT00000078,REF-2024-61,WH02,E09-4-3,1242,64959.02,80679102.84,PK
CNT00000079,REF-2025-62,WH01,D40-4,2301,94943.14,218464165.14,EA
CNT00000080,REF-2025-63,PLANT01,C04-4,2270,37115.94,84253183.8,CS
CNT00000081,REF-2023-64,WH03,B09-5-1,845,94906.18,80195722.1,EA
CNT00000082,REF-2023-64,WH03,B09-5-2,846,94906.18,80290628.28,EA
CNT00000083,REF-2025-65,WH02,B35-3-1,479,20795.02,9960814.58,EA
CNT00000084,REF-2025-65,WH02,B35-3-2,479,20795.02,9960814.58,EA
CNT00000085,REF-2025-65,WH02,B35-3-3,481,20795.02,10002404.62,EA
CNT00000086,REF-2025-66,WH02,C04-2,3458,86658.14,299663848.12,KG
CNT00000087,REF-2023-67,DC02,B40-1,4281,74591.96,319328180.76,PK
CNT00000088,REF-2025-68,WH03,E41-5,4502,90979.11,409587953.22,LB
CNT00000089,REF-2024-69,WH01,A42-5,1771,38152.35,67567811.85,BX
CNT00000090,REF-2024-70,DC01,C43-3,3076,88820.29,273211212.04,CS
CNT00000091,REF-2025-71,PLANT01,C09-5,501,92306.21,46245411.21,KG
CNT00000092,REF-2025-72,DC02,C23-1,4744,56212.17,266670534.48,KG
CNT00000093,REF-2023-73,WH03,E15-4,4605,15557.54,71642471.7,PC
CNT00000094,REF-2025-74,WH03,C23-1,1496,59150.02,91848371.12,PC
CNT00000095,PRD-172965,WH01,A48-5,73,370.74,27064.02,CS
CNT00000096,REF-2024-75,WH01,A10-2,417,42041.27,17531209.59,LB
CNT00000097,REF-2023-76,WH02,E08-3,3531,27283.07,96336520.17,EA
CNT00000098,REF-2024-77,WH01,A14-3,1740,64646.87,118065907.8,PC
CNT00000099,REF-2025-78,WH01,D05-3,4726,70396.76,332695087.76,BX
CNT00000100,REF-2025-79,DC02,D45-3-1,146,40501.85,5913270.1,BX
CNT00000101,REF-2025-79,DC02,D45-3-2,146,40501.85,5913270.1,BX
CNT00000102,REF-2025-79,DC02,D45-3-3,146,40501.85,5913270.1,BX
CNT00000103,REF-2025-79,DC02,D45-3-4,146,40501.85,5913270.1,BX
CNT00000104,REF-2025-79,DC02,D45-3-5,147,40501.85,5953771.95,BX
CNT00000105,ITM-355135,DC02,A26-3,224,294.85,66046.4,LB
CNT00000106,REF-2024,WH03,C47-2,1945,22235.05,43247172.25,EA
CNT00000107,REF-2024-81,DC02,E29-5,2657,19807.45,52628394.65,PC
CNT00000108,2025-82,DC02,A20-4,3712,31682.28,117604623.36,EA
CNT00000109,REF-2024-83,DC02,A29-5-1,776,83186.49,64552716.24,PK
CNT00000110,REF-2024-83,DC02,A29-5-2,776,83186.49,64552716.24,PK
CNT00000111,REF-2025-84,PLANT01,B03-2,3596,47615.34,171224762.64,BX
CNT00000112,REF-2025-85,WH03,E04-3,549,52322.53,28725068.97,PK
CNT00000113,REF-2023-86,WH01,E43-2,2875,55840.52,160541495.0,PK
CNT00000114,202587,WH03,B43-5,775,69878.15,54155566.25,LB
CNT00000115,REF-2025-88,WH02,B05-3-1,209,36246.63,7575545.67,KG
CNT00000116,REF-2025-88,WH02,B05-3-2,209,36246.63,7575545.67,KG
CNT00000117,REF-2025-88,WH02,B05-3-3,209,36246.63,7575545.67,KG
CNT00000118,REF-2025-88,WH02,B05-3-4,211,36246.63,7648038.93,KG
CNT00000119,REF-2025-89,DC01,B11-2,1366,83528.47,114099890.02,LB
CNT00000120,REF-2024-90,WH02,C31-2-1,1007,4464.87,4496124.09,LB
CNT00000121,REF-2024-90,WH02,C31-2-2,1007,4464.87,4496124.09,LB
CNT00000122,REF-2024-90,WH02,C31-2-3,1009,4464.87,4505053.83,LB
CNT00000123,REF-2025-91,WH02,E09-3,437,98445.54,43020700.98,LB
CNT00000124,REF-2024-92,WH02,C29-5,1217,87424.28,106395348.76,PC
CNT00000125,REF-2025-93,PLANT01,C10-2,323,37458.75,12099176.25,PK
CNT00000126,REF-2024-94,WH01,C14-2,4505,69637.59,313717342.95,LB
CNT00000127,REF-2025-95,DC01,E30-1,918,52824.37,48492771.66,PC
CNT00000128,REF-2024-96,DC01,A40-3,1980,59714.23,118234175.4,KG
CNT00000129,202497,DC02,E02-4,3861,18812.66,72635680.26,EA
CNT00000130,REF-2024-98,DC02,C09-1,2896,25439.66,73673255.36,KG
CNT00000131,REF-2024-99,WH02,A46-4,312,81369.54,25387296.48,PK
CNT00000132,REF-2023-100,WH03,A49-2,2353,4240.11,10532616.25,PK
CNT00000133,REF-2024-101,PLANT01,D24-5,2194,26154.41,60103181.96,PC
CNT00000134,REF-2023-102,PLANT01,C20-4,4946,43117.65,213259896.9,LB
CNT00000135,REF-2024,WH01,A43-4,2986,16747.81,50008960.66,KG
CNT00000136,REF-2023-104,PLANT01,C24-4,4656,13750.78,66877247.52,EA
CNT00000137,REF-2024-105,PLANT01,C16-1,222,37264.14,8272639.08,LB
CNT00000138,REF-2023-106,DC02,C45-4,1649,47354.23,82374954.01,EA
CNT00000139,REF-2024-107,WH01,E35-3,2467,17348.37,42798428.79,PC
CNT00000140,REF-2023-108,WH02,B32-1,2966,73434.32,211208059.18,KG
CNT00000141,REF-2025-109,DC01,E05-2,2607,13064.15,34058239.05,LB
CNT00000142,ITM-571832,WH03,B50-5,239,340.37,81348.43,LB
CNT00000143,REF-2025-110,WH02,C46-2,2844,19222.74,51982973.28,KG
CNT00000144,REF-2024-111,DC02,B38-5,1273,19710.56,25091542.88,CS
CNT00000145,REF-2025-112,PLANT01,E17-2,4696,62485.47,293431767.12,BX
CNT00000146,REF-2025-113,PLANT01,D20-4,607,63005.84,38808678.54,LB
CNT00000147,REF-2024-114,WH02,C33-5-1,219,48476.69,10616395.11,PK
CNT00000148,REF-2024-114,WH02,C33-5-2,219,48476.69,10616395.11,PK
CNT00000149,REF-2024-114,WH02,C33-5-3,219,48476.69,10616395.11,PK
CNT00000150,REF-2024-114,WH02,C33-5-4,222,48476.69,10761825.18,PK
CNT00000151,REF-2024-115,WH02,D33-4-1,1365,86429.97,117976909.05,PK
CNT00000152,REF-2024-115,WH02,D33-4-2,1365,86429.97,117976909.05,PK
CNT00000153,REF-2024-115,WH02,D33-4-3,1365,86429.97,117976909.05,PK
CNT00000154,REF-2024-116,WH01,A19-4,4904,2415.31,11844680.24,PC
CNT00000155,REF-2025-117,DC01,C03-4,429,65563.91,28865183.49,KG
CNT00000156,REF-2024-118,WH01,D24-3,4579,7321.11,34094409.78,PK
CNT00000157,REF-2025-119,DC01,B39-5,1155,40198.57,46429348.35,PK
CNT00000158,REF-2025-120,DC02,E32-5,2465,31921.15,78685634.75,BX
CNT00000159,ITM-486251,DC01,E20-1,170,337.23,57329.1,KG
CNT00000160,REF-2024-121,WH02,E41-5,3124,26626.49,83181154.76,CS
CNT00000161,REF-2025-122,WH02,D45-2,3371,25586.31,81899928.24,KG
CNT00000162,REF-2025-123,DC01,E25-3,1428,72767.47,103911947.16,BX
CNT00000163,REF-2025-124,WH03,E20-2,2448,34298.47,83962654.56,PC
CNT00000164,REF-2025-125,WH01,C46-1,2847,28689.43,78060213.27,BX
CNT00000165,REF-2023-126,DC02,E16-2,425,20286.59,8621800.75,LB
CNT00000166,REF-2025-127,PLANT01,B01-5,1303,22644.6,29505913.8,BX
CNT00000167,REF-2025-128,PLANT01,A50-1,4713,93509.71,440711263.23,CS
CNT00000168,REF-2025-129,PLANT01,C03-1-1,818,73894.78,60445930.04,KG
CNT00000169,REF-2025-129,PLANT01,C03-1-2,818,73894.78,60445930.04,KG
CNT00000170,REF-2025-129,PLANT01,C03-1-3,818,73894.78,60445930.04,KG
CNT00000171,REF-2025-130,WH02,E30-3,1589,10819.34,17191931.26,PC
CNT00000172,REF-2023-131,WH03,C37-2,1447,33135.34,47946836.98,KG
CNT00000173,REF-2023,DC02,E01-3,2955,47797.66,141242085.3,LB
CNT00000174,REF-2023-133,WH01,C24-5,1819,66811.83,121530718.77,CS
CNT00000175,REF-2023-134,DC02,B49-2,4890,47870.37,234086109.3,PC
CNT00000176,REF-2025-135,DC02,D08-2,4787,90298.53,432259063.11,BX
CNT00000177,REF-2023-136,DC02,A36-4,2534,89899.05,227804192.7,LB
CNT00000178,REF-2023-137,WH01,E04-1,3877,40768.75,153743520.56,EA
CNT00000179,REF-2023-138,WH01,E09-3,981,76606.19,75150672.39,CS
CNT00000180,REF-2025-139,PLANT01,E28-5,3117,38604.2,122705567.52,PC
CNT00000181,REF-2024-140,WH02,A07-5,285,15596.63,4445039.55,BX
CNT00000182,REF-2025-141,WH02,A09-5,2379,67235.16,159952445.64,CS
CNT00000183,REF-2025-142,DC02,B27-3,2264,57653.42,130527342.88,EA
CNT00000184,REF-2025-143,WH02,E31-2-1,464,67167.12,31165543.68,PK
CNT00000185,REF-2025-143,WH02,E31-2-2,464,67167.12,31165543.68,PK
CNT00000186,REF-2025-143,WH02,E31-2-3,464,67167.12,31165543.68,PK
CNT00000187,REF-2025-143,WH02,E31-2-4,464,67167.12,31165543.68,PK
CNT00000188,REF-2025-144,WH02,D16-3,1675,14520.74,24322239.5,PK
CNT00000189,REF-2025-145,DC01,E39-1-1,151,7999.14,1207870.14,CS
CNT00000190,REF-2025-145,DC01,E39-1-2,151,7999.14,1207870.14,CS
CNT00000191,REF-2025-145,DC01,E39-1-3,151,7999.14,1207870.14,CS
CNT00000192,REF-2025-145,DC01,E39-1-4,153,7999.14,1223868.42,CS
CNT00000193,REF-2025-146,WH02,B48-1,3933,72458.09,284977667.97,CS
CNT00000194,REF-2025-147,DC02,C20-3-1,591,60479.71,35743508.61,KG
CNT00000195,REF-2025-147,DC02,C20-3-2,591,60479.71,35743508.61,KG
CNT00000196,REF-2025-147,DC02,C20-3-3,591,60479.71,35743508.61,KG
CNT00000197,REF-2025-147,DC02,C20-3-4,591,60479.71,35743508.61,KG
CNT00000198,REF-2025-147,DC02,C20-3-5,592,60479.71,35803988.32,KG
CNT00000199,REF-2024-148,DC02,B48-2,142,46653.81,6624841.02,PK
CNT00000200,REF-2025-149,WH02,D37-2,4100,93482.35,383277635.0,KG
CNT00000201,REF-2025-150,PLANT01,C11-2,4487,94352.11,423357917.57,BX
CNT00000202,REF-2023-151,PLANT01,A49-1,3388,91698.25,310673671.0,CS
CNT00000203,REF-2025-152,WH01,E41-5,3968,23220.2,92137753.6,LB
CNT00000204,REF-2024-153,WH01,E45-4-1,295,1671.6,493122.0,EA
CNT00000205,REF-2024-153,WH01,E45-4-2,295,1671.6,493122.0,EA
CNT00000206,REF-2024-153,WH01,E45-4-3,295,1671.6,493122.0,EA
CNT00000207,REF-2024-153,WH01,E45-4-4,295,1671.6,493122.0,EA
CNT00000208,REF-2024-153,WH01,E45-4-5,298,1671.6,498136.8,EA
CNT00000209,REF-2023-154,DC01,A24-4,3770,52486.1,197872597.0,KG
CNT00000210,2023155,DC02,D04-1,1413,99024.28,139921307.64,EA
CNT00000211,REF-2024-156,PLANT01,E31-3,391,68046.96,25229755.93,EA
CNT00000212,REF-2025-157,PLANT01,D05-3,1340,65845.11,88232447.4,KG
CNT00000213,REF-2025-158,WH01,C39-5,4889,72994.5,354178422.66,BX
CNT00000214,REF-2024-159,WH02,E43-4,712,78376.46,55804039.52,PC
CNT00000215,REF-2025-160,PLANT01,B48-4,2604,29608.41,77100299.64,PK
CNT00000216,REF-2023-161,DC01,D36-5-1,841,9242.89,7773270.49,BX
CNT00000217,REF-2023-161,DC01,D36-5-2,841,9242.89,7773270.49,BX
CNT00000218,REF-2023-161,DC01,D36-5-3,841,9242.89,7773270.49,BX
CNT00000219,REF-2023-161,DC01,D36-5-4,841,9242.89,7773270.49,BX
CNT00000220,REF-2023-161,DC01,D36-5-5,843,9242.89,7791756.27,BX
CNT00000221,REF-2023-162,DC01,D50-1,4593,2606.43,12509311.08,CS
CNT00000222,REF-2023-163,WH03,D20-4,640,13970.12,8940876.8,PK
CNT00000223,REF-2024-164,WH01,D22-5,3122,97239.12,294803622.82,PC
CNT00000224,REF-2024-165,WH02,D21-2,3272,81566.0,266883952.0,PK
CNT00000225,REF-2024-166,DC01,C08-5,1646,73513.95,121003961.7,KG
CNT00000226,REF-2025-167,WH03,A27-4,1150,18074.73,20785939.5,LB
CNT00000227,REF-2024-168,DC01,E26-5-1,1386,24277.91,33649183.26,PC
CNT00000228,REF-2024-168,DC01,E26-5-2,1386,24277.91,33649183.26,PC
CNT00000229,REF-2024-168,DC01,E26-5-3,1388,24277.91,33697739.08,PC
CNT00000230,REF-2025-169,WH02,C11-5-1,93,41888.24,3895606.32,KG
CNT00000231,REF-2025-169,WH02,C11-5-2,93,41888.24,3895606.32,KG
CNT00000232,REF-2025-169,WH02,C11-5-3,93,41888.24,3895606.32,KG
CNT00000233,REF-2025-169,WH02,C11-5-4,93,41888.24,3895606.32,KG
CNT00000234,REF-2025-170,WH02,E48-5,4581,67779.44,310497614.64,KG
CNT00000235,REF-2025-171,WH03,A31-1,2430,57566.02,139885428.6,BX
CNT00000236,REF-2023-172,DC01,C31-1,3599,11695.33,42091492.67,LB
CNT00000237,REF-2025-173,WH03,A44-2,2008,45299.47,90961335.76,KG
CNT00000238,REF-2023-174,WH02,B41-4,3250,55235.84,179516480.0,EA
CNT00000239,REF-2025-175,WH02,B18-1,4739,61449.28,291208137.92,EA
CNT00000240,REF-2025-176,PLANT01,C39-4,3225,18777.29,60556760.25,KG
CNT00000241,REF-2023-177,WH02,C08-2,2511,33945.84,87527609.37,EA
CNT00000242,REF-2023-178,DC01,E45-2,4555,51131.4,232903527.0,CS
CNT00000243,2024179,WH02,B25-5,4150,28954.59,120161548.5,LB
CNT00000244,REF-2024-180,WH01,B19-1,2261,68501.2,154881213.2,CS
CNT00000245,REF-2025-181,WH02,D07-2,2448,11509.24,28174619.52,PC
CNT00000246,REF-2023-182,PLANT01,E45-3,3517,45028.26,158364390.42,CS
CNT00000247,REF-2025-183,DC02,E11-3,2407,14009.57,33721034.99,PK
CNT00000248,REF-2025-184,PLANT01,B45-2,2055,26807.57,55089556.35,CS
CNT00000249,REF-2025-185,PLANT01,C45-3,3734,26944.84,100612032.56,BX
CNT00000250,REF-2024-186,DC02,D14-4,1745,58237.36,101624193.2,BX
CNT00000251,REF-2024,WH01,A07-4,143,32354.23,4626654.89,EA
CNT00000252,REF-2024-188,PLANT01,B04-4,2512,15981.85,40146407.2,LB
CNT00000253,REF-2025-189,DC01,B31-1,1885,22696.47,42782845.95,BX
CNT00000254,2023190,WH03,B41-2,3382,64193.46,217102281.72,KG
CNT00000255,REF-2023-191,WH03,B16-3,700,8760.13,6132091.0,CS
CNT00000256,2025-192,DC02,E13-4,2431,60139.81,146199878.11,LB
CNT00000257,REF-2023,WH03,B25-5,3457,49539.28,171257290.96,PK
CNT00000258,REF-2024-194,WH01,A26-5,2356,95449.85,224879846.6,LB
CNT00000259,REF-2025-195,WH02,C06-3,657,47215.07,32951697.03,KG
CNT00000260,REF-2023-196,WH02,A28-1,3724,52466.63,199924355.12,KG
CNT00000261,SKU-225245,PLANT01,A11-4,7,354.24,2479.68,PK
CNT00000262,REF-2025-197,WH01,C28-3-1,1433,51770.56,74187212.48,EA
CNT00000263,REF-2025-197,WH01,C28-3-2,1433,51770.56,74187212.48,EA
CNT00000264,REF-2025-197,WH01,C28-3-3,1435,51770.56,74290753.6,EA
CNT00000265,MAT-846925,WH01,D30-5,500,288.75,144375.0,PK
CNT00000266,REF-2023-198,PLANT01,A15-5,31,50011.04,1550342.24,EA
CNT00000267,REF-2023-199,PLANT01,D15-3,2043,24530.69,50116199.67,BX
CNT00000268,MAT-384434,WH03,A33-1,423,39.87,16865.01,CS
CNT00000269,REF-2023-200,DC02,D01-3,1653,84149.16,132989420.61,PK
CNT00000270,REF-2023-201,DC01,A15-5-1,569,46446.28,26427933.32,LB
CNT00000271,REF-2023-201,DC01,A15-5-2,569,46446.28,26427933.32,LB
CNT00000272,REF-2023-201,DC01,A15-5-3,569,46446.28,26427933.32,LB
CNT00000273,REF-2023-201,DC01,A15-5-4,569,46446.28,26427933.32,LB
CNT00000274,REF-2023-201,DC01,A15-5-5,571,46446.28,26520825.88,LB
CNT00000275,REF2025202,DC02,B27-4,500,87732.14,43866070.0,CS
CNT00000276,REF-2023-203,WH01,E07-5,1103,4485.64,4947660.92,LB
CNT00000277,REF-2024-204,WH03,C26-3,2615,7575.57,19810115.55,BX
CNT00000278,REF-2024-205,DC01,D21-4,999,23437.76,23414322.24,KG
CNT00000279,REF-2024-206,PLANT01,C46-5-1,68,96467.01,6559756.68,CS
CNT00000280,REF-2024-206,PLANT01,C46-5-2,68,96467.01,6559756.68,CS
CNT00000281,REF-2024-206,PLANT01,C46-5-3,68,96467.01,6559756.68,CS
CNT00000282,REF-2024-206,PLANT01,C46-5-4,68,96467.01,6559756.68,CS
CNT00000283,REF-2024-206,PLANT01,C46-5-5,68,96467.01,6559756.68,CS
CNT00000284,REF-2024-207,WH03,C12-1,3322,14917.55,49556101.1,PC
CNT00000285,REF-2024-208,WH01,A50-2,1080,55639.78,60090962.4,CS
CNT00000286,REF-2024-209,WH01,A05-2,3642,37286.75,135798343.5,PC
CNT00000287,REF-2023-210,DC01,D32-1,3145,9288.67,29212867.15,LB
CNT00000288,REF-2024-211,DC02,E40-2,2427,17363.44,42141068.88,BX
CNT00000289,REF-2024-212,WH02,E16-5,169,88289.58,14920939.02,BX
CNT00000290,REF-2025-213,WH03,B02-3,4901,35975.3,176314945.3,CS
CNT00000291,REF-2023-214,WH01,B43-2-1,1096,89586.9,98187242.4,KG
CNT00000292,REF-2023-214,WH01,B43-2-2,1097,89586.9,98276829.3,KG
CNT00000293,REF-2025-215,DC02,C48-3,4856,5685.27,27607671.12,EA
CNT00000294,REF-2025-216,WH03,B32-1,749,70086.02,52494428.98,EA
CNT00000295,REF-2023-217,WH02,A34-3,604,35427.1,20621665.32,PK
CNT00000296,REF-2024-218,PLANT01,E45-5-1,977,30246.34,29550674.18,CS
CNT00000297,REF-2024-218,PLANT01,E45-5-2,977,30246.34,29550674.18,CS
CNT00000298,REF-2024-218,PLANT01,E45-5-3,979,30246.34,29611166.86,CS
CNT00000299,REF-2025-219,PLANT01,A45-5,3217,58936.12,189597498.04,PC
CNT00000300,REF-2025-220,WH02,C48-1,1959,3335.04,6533343.36,PK
CNT00000301,REF-2024-221,WH02,A23-3,895,16871.95,15100395.25,LB
CNT00000302,REF-2023-222,WH03,E25-1,3937,4909.93,19330394.41,PC
CNT00000303,REF-2025-223,WH01,C17-1,617,65131.86,40186357.62,PK
CNT00000304,REF-2023-224,DC02,D46-1,3543,88804.33,314633741.19,LB
CNT00000305,REF-2023-225,DC01,E47-5,2183,60771.03,132663158.49,LB
