ItemNumber,SKU,Location,Bin,QuantityOnHand,UnitCost,ExtendedValue,UOM
REF-2023-64,SKU-023-64,PLANT01,B42-5,184,94906.18,17462737.12,EA
REF-2025-65,SKU-025-65,WH03,B39-1,2281,20795.02,47433440.62,PC
REF-2025-66,SKU-025-66,WH01,C16-5,2662,86658.14,230683968.68,EA
REF-2023-67,SKU-023-67,DC01,C33-5,903,74591.96,67356539.88,BX
PRD-774591,SKU-774591,DC01,D28-1,265,31.35,8307.75,BX
REF-2025-68,SKU-025-68,WH01,C39-2,548,90979.11,49856552.28,CS
REF-2024-69,SKU-024-69,DC02,C30-5,4969,38152.35,189579027.15,BX
REF-2024-70,SKU-024-70,WH03,D26-4,788,88820.29,69990388.52,PK
REF-2025-71,SKU-025-71,WH01,A06-4,801,92306.21,73937274.21,LB
REF-2025-72,SKU-025-72,WH01,D23-4,431,56212.17,24227445.27,PK
REF-2023-73,SKU-023-73,WH02,A23-5,3021,15557.54,46999328.34,EA
REF-2025-74,SKU-025-74,DC02,C02-2,2248,61395.97,138018140.56,LB
REF-2024-75,SKU-024-75,WH02,C20-3,4659,42041.27,195870276.93,KG
REF-2023-76,SKU-023-76,DC01,D39-4,3402,27283.07,92817004.14,PK
REF-2024-77,SKU-024-77,PLANT01,C03-2,3247,67853.97,220321840.59,KG
MAT-444061,SKU-444061,PLANT01,D12-2,992,4.86,4821.12,BX
REF-2025-78,SKU-025-78,DC02,C05-4,356,70396.76,25061246.56,BX
REF-2025-79,SKU-025-79,WH03,A26-1,2670,40501.85,108139939.5,CS
REF-2024-80,SKU-024-80,PLANT01,A34-5,1598,22235.05,35531609.9,PC
REF-2024-81,SKU-024-81,WH02,A12-4,3810,19807.45,75466384.5,PC
REF-2025-82,SKU-025-82,DC01,C18-5,470,31682.28,14890671.6,PK
REF-2024-83,SKU-024-83,DC02,E33-4,3800,83186.49,316108662.0,KG
REF-2025-84,SKU-025-84,WH01,D07-3,700,47615.34,33330738.0,KG
REF-2025-85,SKU-025-85,WH03,C19-4,3358,52322.53,175699055.74,PC
REF-2023-86,SKU-023-86,WH03,C47-5,1241,55840.52,69298085.32,PK
REF-2025-87,SKU-025-87,PLANT01,A20-5,3095,69878.15,216272874.25,LB
REF-2025-88,SKU-025-88,WH02,B22-4,1582,36246.63,57342168.66,CS
REF-2025-89,SKU-025-89,WH01,C50-5,1083,83528.47,90461333.01,KG
REF-2024-90,SKU-024-90,DC01,E19-4,1926,4464.87,8599339.62,KG
REF-2025-91,SKU-025-91,WH03,D33-5,3439,98445.54,338554212.06,CS
REF-2024-92,SKU-024-92,WH01,E08-3,697,87424.28,60934723.16,PC
PRD-196168,SKU-196168,WH03,A27-1,1828,408.53,746792.84,BX
REF-2025-93,SKU-025-93,WH01,C15-1,2620,37458.75,98141925.0,EA
REF-2024-94,SKU-024-94,PLANT01,D29-5,53,69637.59,3690792.27,EA
REF-2025-95,SKU-025-95,WH03,B20-1,401,52824.37,21182572.37,CS
REF-2024-96,SKU-024-96,PLANT01,E37-2,1186,59714.23,70821076.78,PK
REF-2024-97,SKU-024-97,WH03,A34-5,4166,18812.66,78373541.56,PC
REF-2024-98,SKU-024-98,WH03,A23-2,859,25439.66,21852667.94,PC
REF-2024-99,SKU-024-99,PLANT01,D45-4,1503,81369.54,122298418.62,PC
REF-2023-100,SKU-23-100,WH03,C33-4,4458,4476.25,19955122.5,BX
REF-2024-101,SKU-24-101,DC01,D25-3,1540,27394.34,42187283.6,BX
REF-2023-102,SKU-23-102,DC02,C21-1,665,43117.65,28673237.25,PK
REF-2024-103,SKU-24-103,WH01,C40-4,2259,16747.81,37833302.79,LB
REF-2023-104,SKU-23-104,DC01,A09-1,1943,14363.67,27908610.81,PC
REF-2024-105,SKU-24-105,DC02,B34-3,3270,37264.14,121853737.8,PK
REF-2023-106,SKU-23-106,WH01,C50-3,3665,49954.49,183083205.85,CS
REF-2024-107,SKU-24-107,DC01,A44-3,2856,17348.37,49546944.72,LB
REF-2023-108,SKU-23-108,WH03,E15-1,1656,71209.73,117923312.88,PC
REF-2025-109,SKU-25-109,WH01,C26-4,4316,13064.15,56384871.4,BX
REF-2025-110,SKU-25-110,WH01,A34-2,2501,18278.12,45713578.12,CS
REF-2024-111,SKU-24-111,WH03,B41-3,4380,19710.56,86332252.8,EA
REF-2025-112,SKU-25-112,WH03,E03-1,675,62485.47,42177692.25,EA
REF-2025-113,SKU-25-113,DC02,C42-3,3966,63935.22,253567082.52,CS
REF-2024-114,SKU-24-114,DC02,B21-3,2839,48476.69,137625322.91,BX
SKU-589131,SKU-589131,WH02,B07-1,1013,134.47,136218.11,PK
REF-2024-115,SKU-24-115,WH02,C37-3,1565,86429.97,135262903.05,PC
REF-2024-116,SKU-24-116,DC02,D16-2,4788,2415.31,11564504.28,PK
REF-2025-117,SKU-25-117,WH01,D09-3,3006,67284.81,202258138.86,PC
REF-2024-118,SKU-24-118,DC02,C40-5,983,7445.82,7319241.06,CS
REF-2025-119,SKU-25-119,WH01,A09-3,3890,40198.57,156372437.3,KG
REF-2025-120,SKU-25-120,DC02,C38-3,4165,31921.15,132951589.75,PC
REF-2024-121,SKU-24-121,DC02,E15-1,4790,26626.49,127540887.1,BX
REF-2025-122,SKU-25-122,WH01,B02-4,2579,24295.44,62657939.76,BX
REF-2025-123,SKU-25-123,WH02,E14-5,2672,72767.47,194434679.84,LB
REF-2025-124,SKU-25-124,PLANT01,C40-4,1585,34298.47,54363074.95,CS
MAT-839142,SKU-839142,DC01,C31-3,1708,345.43,589994.44,KG
REF-2025-125,SKU-25-125,DC02,D26-3,1209,27418.41,33148857.69,PK
REF-2023-126,SKU-23-126,WH03,E45-3,1134,20286.59,23004993.06,EA
REF-2025-127,SKU-25-127,WH01,A27-3,3879,22644.6,87838403.4,EA
REF-2025-128,SKU-25-128,DC01,B49-3,2641,93509.71,246959144.11,PK
REF-2025-129,SKU-25-129,DC01,B03-4,4068,73894.78,300603965.04,CS
REF-2025-130,SKU-25-130,WH03,D42-5,4305,10819.34,46577258.7,BX
REF-2023-131,SKU-23-131,PLANT01,C46-2,125,33135.34,4141917.5,LB
PRD-967161,SKU-967161,WH01,D43-1,3513,258.13,906810.69,CS
REF-2023-132,SKU-23-132,DC01,B29-3,2710,47797.66,129531658.6,PK
REF-2023-133,SKU-23-133,WH03,B26-5,2557,66811.83,170837849.31,LB
REF-2023-134,SKU-23-134,PLANT01,E24-4,4509,47870.37,215847498.33,BX
ITM-651033,SKU-651033,WH03,A37-1,3669,264.56,970670.64,EA
REF-2025-135,SKU-25-135,DC02,E10-2,2697,90298.53,243535135.41,PC
REF-2023-136,SKU-23-136,WH01,D09-5,3413,89899.05,306825457.65,BX
REF-2023-137,SKU-23-137,DC02,A03-4,2832,39655.28,112303752.96,LB
REF-2023-138,SKU-23-138,DC01,C25-4,3102,76606.19,237632401.38,BX
REF-2025-139,SKU-25-139,WH02,A49-1,2454,39366.56,96605538.24,BX
REF-2024-140,SKU-24-140,PLANT01,A03-4,138,15596.63,2152334.94,CS
REF-2025-141,SKU-25-141,WH02,A26-4,1929,67235.16,129696623.64,KG
REF-2025-142,SKU-25-142,DC02,C16-3,1183,57653.42,68203995.86,LB
720407,SKU-720407,DC01,E32-1,1444,313.37,452506.28,PK
REF-2025-143,SKU-25-143,PLANT01,D27-2,2466,67167.12,165634117.92,BX
REF-2025-144,SKU-25-144,WH01,E27-4,4575,14520.74,66432385.5,KG
REF-2025-145,SKU-25-145,WH01,E47-2,432,7999.14,3455628.48,PK
REF-2025-146,SKU-25-146,WH02,D14-3,2493,72458.09,180638018.37,EA
REF-2025-147,SKU-25-147,WH02,E21-3,3128,60479.71,189180532.88,BX
REF-2024-148,SKU-24-148,WH03,B24-3,3400,46653.81,158622954.0,EA
REF-2025-149,SKU-25-149,PLANT01,D19-2,1617,93482.35,151160959.95,PK
REF-2025-150,SKU-25-150,WH03,D47-4,3785,94352.11,357122736.35,CS
REF-2023-151,SKU-23-151,PLANT01,A34-1,618,91698.25,56669518.5,PC
REF-2025-152,SKU-25-152,WH02,A14-5,3745,23220.2,86959649.0,PK
REF-2024-153,SKU-24-153,WH01,A34-3,4398,1671.6,7351696.8,PK
REF-2023-154,SKU-23-154,WH02,E34-3,2913,52486.1,152892009.3,PK
REF-2023-155,SKU-23-155,WH01,A06-4,3116,99024.28,308559656.48,BX
REF-2024-156,SKU-24-156,WH01,E03-2,1741,64526.23,112340166.43,PC
REF-2025-157,SKU-25-157,WH03,A14-5,1191,65845.11,78421526.01,PC
SKU-694223,SKU-694223,DC02,C25-2,3197,338.84,1083271.48,PC
REF-2025-158,SKU-25-158,WH03,A07-4,1911,72443.94,138440369.34,PC
REF-2024-159,SKU-24-159,DC01,B23-5,3085,78376.46,241791379.1,BX
REF-2025-160,SKU-25-160,PLANT01,A06-3,1273,29608.41,37691505.93,BX
REF-2023-161,SKU-23-161,WH03,C07-2,725,9242.89,6701095.25,CS
REF-2023-162,SKU-23-162,DC02,E21-4,111,2723.56,302315.16,PK
REF-2023-163,SKU-23-163,WH03,D10-1,1379,13970.12,19264795.48,BX
REF-2024-164,SKU-24-164,DC02,B30-1,1119,94427.81,105664719.39,PK
REF-2024-165,SKU-24-165,DC02,B20-3,4951,81566.0,403833266.0,LB
REF-2024-166,SKU-24-166,DC01,E16-3,3090,73513.95,227158105.5,PK
REF-2025-167,SKU-25-167,WH01,D46-2,3601,18074.73,65087102.73,PC
REF-2024-168,SKU-24-168,PLANT01,D25-1,3688,24277.91,89536932.08,KG
REF-2025-169,SKU-25-169,PLANT01,E39-1,905,41888.24,37908857.2,PC
REF-2025-170,SKU-25-170,WH03,D07-1,817,67779.44,55375802.48,PK
REF-2025-171,SKU-25-171,WH03,D30-5,4109,57566.02,236538776.18,CS
REF-2023-172,SKU-23-172,WH03,C22-4,1704,11695.33,19928842.32,KG
REF-2025-173,SKU-25-173,WH03,A46-1,195,45299.47,8833396.65,PC
REF-2023-174,SKU-23-174,DC02,D30-2,3328,55235.84,183824875.52,LB
REF-2025-175,SKU-25-175,DC01,E28-4,46,61449.28,2826666.88,LB
REF-2025-176,SKU-25-176,WH02,D08-3,4019,18777.29,75465928.51,KG
REF-2023-177,SKU-23-177,PLANT01,C40-5,704,34857.67,24539799.68,LB
REF-2023-178,SKU-23-178,DC02,B37-4,3475,51131.4,177681615.0,CS
REF-2024-179,SKU-24-179,DC01,E04-3,88,28954.59,2548003.92,BX
REF-2024-180,SKU-24-180,PLANT01,D32-2,687,68501.2,47060324.4,KG
402692,SKU-402692,DC02,D36-5,1387,390.59,541748.33,EA
REF-2025-181,SKU-25-181,WH03,E49-1,3625,11509.24,41720995.0,KG
REF-2023-182,SKU-23-182,WH01,D08-2,1729,45028.26,77853861.54,PC
REF-2025-183,SKU-25-183,WH02,A37-3,4370,14009.57,61221820.9,PK
REF-2025-184,SKU-25-184,PLANT01,A09-4,495,26807.57,13269747.15,PK
MAT-968726,SKU-968726,PLANT01,D32-2,2037,380.98,776056.26,KG
REF-2025-185,SKU-25-185,DC01,D05-1,3310,26944.84,89187420.4,KG
REF-2024-186,SKU-24-186,PLANT01,D41-3,528,58237.36,30749326.08,PC
REF-2024-187,SKU-24-187,DC02,B37-4,2825,32354.23,91400699.75,LB
PRD-578693,SKU-578693,DC01,B45-2,15,495.93,7438.95,LB
REF-2024-188,SKU-24-188,WH01,C17-1,3056,15981.85,48840533.6,LB
SKU-550081,SKU-550081,WH01,B31-1,757,352.15,266577.55,CS
REF-2025-189,SKU-25-189,DC01,A01-3,997,22696.47,22628380.59,PC
ITM-866260,SKU-866260,WH03,C09-4,849,52.5,44572.5,PC
REF-2023-190,SKU-23-190,DC02,E01-5,1354,64193.46,86917944.84,BX
REF-2023-191,SKU-23-191,WH02,A38-4,2889,8760.13,25308015.57,BX
REF-2025-192,SKU-25-192,PLANT01,A43-3,1693,60139.81,101816698.33,KG
REF-2023-193,SKU-23-193,PLANT01,E05-5,108,49539.28,5350242.24,PK
REF-2024-194,SKU-24-194,WH01,E05-1,2157,95449.85,205885326.45,CS
REF-2025-195,SKU-25-195,DC01,A41-5,4414,50154.79,221383243.06,KG
REF-2023-196,SKU-23-196,PLANT01,A20-4,1964,53685.38,105438086.32,EA
REF-2025-197,SKU-25-197,WH03,B48-3,977,51770.56,50579837.12,PC
REF-2023-198,SKU-23-198,WH02,C11-3,852,50011.04,42609406.08,KG
REF-2023-199,SKU-23-199,WH03,D10-2,299,24530.69,7334676.31,KG
REF-2023-200,SKU-23-200,WH01,D19-3,2691,80453.37,216500018.67,EA
REF-2023-201,SKU-23-201,WH02,E49-2,1243,46446.28,57732726.04,EA
REF-2025-202,SKU-25-202,PLANT01,D48-3,861,87732.14,75537372.54,CS
REF-2023-203,SKU-23-203,DC02,D45-3,3765,4485.64,16888434.6,LB
REF-2024-204,SKU-24-204,WH01,D43-2,1949,7575.57,14764785.93,PK
REF-2024-205,SKU-24-205,WH02,E07-2,875,23437.76,20508040.0,CS
REF-2024-206,SKU-24-206,WH03,D17-1,750,96467.01,72350257.5,CS
REF-2024-207,SKU-24-207,WH02,C26-5,411,14917.55,6131113.05,LB
REF-2024-208,SKU-24-208,WH02,A30-1,1155,55639.78,64263945.9,EA
REF-2024-209,SKU-24-209,PLANT01,A38-5,2130,37286.75,79420777.5,PC
REF-2023-210,SKU-23-210,WH01,A30-1,1386,9288.67,12874096.62,KG
REF-2024-211,SKU-24-211,WH02,C18-4,1227,17363.44,21304940.88,EA
REF-2024-212,SKU-24-212,WH01,A18-4,1134,88289.58,100120383.72,BX
REF-2025-213,SKU-25-213,DC01,C37-5,2644,35975.3,95118693.2,BX
REF-2023-214,SKU-23-214,DC01,E23-5,1916,89586.9,171648500.4,CS
REF-2025-215,SKU-25-215,DC02,D23-2,1452,5685.27,8255012.04,CS
REF-2025-216,SKU-25-216,DC02,B37-2,4042,70086.02,283287692.84,KG
SKU-730889,SKU-730889,DC01,A22-5,1802,10.94,19713.88,CS
REF-2023-217,SKU-23-217,WH03,A02-2,4815,34141.83,164392911.45,LB
REF-2024-218,SKU-24-218,PLANT01,D41-4,2609,30246.34,78912701.06,CS
REF-2025-219,SKU-25-219,DC01,C47-3,1053,58936.12,62059734.36,CS
REF-2025-220,SKU-25-220,WH03,E15-5,862,3335.04,2874804.48,BX
REF-2024-221,SKU-24-221,PLANT01,C29-1,2182,16871.95,36814594.9,CS
REF-2023-222,SKU-23-222,PLANT01,D11-4,4049,4909.93,19880306.57,BX
REF-2025-223,SKU-25-223,WH02,B29-1,283,65131.86,18432316.38,PK
REF-2023-224,SKU-23-224,PLANT01,A36-1,2778,88804.33,246698428.74,KG
REF-2023-225,SKU-23-225,WH02,A07-3,1693,60771.03,102885353.79,CS
