ICTransactionID,PartnerEntityCode,PostingDate,DocumentNumber,Currency,ICAmount,AccountCode,Description,AllocationCode
ICA00000054,3000,2025-11-04,REF-2024-23,EUR,7840.59,131100,IC Loan Interest,ALLOC-100
ICA00000056,3000,2025-09-28,REF-2025-24,JPY,15365.25,131000,IC Recharge,ALLOC-300
ICA00000058,3000,2025-06-14,REF-2025-25,GBP,38100.06,131100,IC Inventory Transfer,ALLOC-400
ICA00000060,6000,2025-11-30,REF-2024-26,USD,2999.58,211100,IC Recharge,ALLOC-400
ICA00000062,3000,2026-02-02,REF-2025-27,GBP,42918.42,211100,IC Loan Interest,ALLOC-600
ICA00000066,7000,2025-12-07,REF-2025-28,USD,53987.96,211100,IC Management Fee,ALLOC-100
ICA00000068,8000,2026-03-26,REF-2024-29,EUR,66978.94,211100,IC Loan Interest,ALLOC-100
ICA00000070,4000,2025-11-17,REF-2025-30,USD,2665.27,131100,IC Royalty,ALLOC-600
ICA00000072,1000,2026-01-16,IC-DOC-2023-990844,JPY,257920.79,131000,IC Royalty,ALLOC-400
ICA00000073,2000,2026-02-01,REF-2024-31,JPY,63594.95,131100,IC Dividend,ALLOC-600
ICA00000075,7000,2026-01-27,REF-2023-32,GBP,27964.93,211200,IC Inventory Transfer,ALLOC-600
ICA00000077,8000,2025-10-21,REF-2023-33,EUR,35547.01,131100,IC Management Fee,ALLOC-100
ICA00000082,6000,2025-10-02,REF-2023-34,USD,9396.03,131200,IC Dividend,ALLOC-200
ICA00000084,3000,2025-12-08,REF-2025-35,EUR,55083.81,211000,IC Cost Allocation,ALLOC-500
ICA00000086,1000,2026-03-06,REF-2024-36,USD,72486.04,211100,IC Dividend,ALLOC-500
ICA00000088,5000,2025-07-04,REF-2025-37,EUR,12745.64,131200,IC Service Charge,ALLOC-100
ICA00000090,3000,2025-09-13,REF-2024-38,GBP,44102.83,211000,IC Royalty,ALLOC-100
ICA00000092,1000,2025-11-13,REF-2023-39,JPY,81133.09,131100,IC Inventory Transfer,ALLOC-100
ICA00000095,8000,2026-01-16,REF-2024-40,JPY,86030.65,131100,IC Management Fee,ALLOC-600
ICA00000097,5000,2025-10-11,REF-2025-41,USD,8210.63,211000,IC Service Charge,ALLOC-200
ICA00000099,6000,2026-06-07,REF-2023-42,GBP,23224.48,131200,IC Royalty,ALLOC-100
ICA00000101,8000,2026-05-08,REF-2023-43,USD,54501.78,211000,IC Royalty,ALLOC-200
ICA00000103,8000,2025-11-13,REF-2023-44,JPY,46922.93,131000,IC Recharge,ALLOC-300
ICA00000109,5000,2025-09-08,REF-2024-45,GBP,57667.07,211100,IC Dividend,ALLOC-500
ICA00000111,7000,2025-11-22,REF-2024-46,USD,40893.97,131000,IC Loan Interest,ALLOC-600
ICA00000113,8000,2025-11-23,REF-2023-47,JPY,31520.26,131200,IC Management Fee,ALLOC-600
ICA00000116,7000,2026-04-27,REF-2025-48,USD,75668.67,211200,IC Cost Allocation,ALLOC-300
ICA00000119,6000,2026-05-08,REF-2024-49,EUR,94711.37,131000,IC Dividend,ALLOC-300
ICA00000121,3000,2025-08-19,REF-2025-50,GBP,50873.27,131100,IC Loan Interest,ALLOC-200
ICA00000123,7000,2026-04-03,REF-2024-51,USD,83763.84,131100,IC Recharge,ALLOC-200
ICA00000125,5000,2026-06-03,REF-2024-52,GBP,86973.21,131000,IC Cost Allocation,ALLOC-300
ICA00000127,4000,2026-05-10,REF-2025-53,USD,79260.13,131100,IC Service Charge,ALLOC-500
ICA00000129,4000,2025-06-18,REF-2025-54,USD,91053.12,131000,IC Royalty,ALLOC-600
ICA00000131,3000,2026-05-22,REF-2023-55,GBP,85191.35,131100,IC Management Fee,ALLOC-500
ICA00000133,4000,2025-07-31,REF-2023-56,USD,43453.75,211000,IC Dividend,ALLOC-600
ICA00000135,2000,2025-10-14,REF-2024-57,USD,43125.61,131100,IC Royalty,ALLOC-200
ICA00000141,5000,2025-08-30,REF-2024-58,EUR,67793.33,131200,IC Inventory Transfer,ALLOC-300
ICA00000143,5000,2026-03-30,REF-2023-59,EUR,23796.85,211000,IC Dividend,ALLOC-300
ICA00000145,5000,2025-11-04,REF-2025-60,EUR,49723.06,131200,IC Cost Allocation,ALLOC-300
ICA00000147,5000,2026-01-22,REF-2025-61,EUR,4038.32,211000,IC Service Charge,ALLOC-400
ICA00000149,7000,2025-12-15,REF-2023-62,USD,78672.63,131000,IC Dividend,ALLOC-300
ICA00000151,1000,2026-05-22,REF-2023-63,GBP,86028.05,211200,IC Management Fee,ALLOC-400
ICA00000157,6000,2026-04-19,REF-2025-64,GBP,32867.83,131200,IC Dividend,ALLOC-100
ICA00000161,5000,2025-12-17,REF-2023-65,USD,38925.72,131200,IC Inventory Transfer,ALLOC-600
ICA00000163,1000,2025-10-09,REF-2023-66,EUR,44393.97,211000,IC Loan Interest,ALLOC-100
ICA00000165,8000,2026-05-05,REF-2023-67,EUR,66310.6,211100,IC Cost Allocation,ALLOC-200
ICA00000167,3000,2025-09-29,IC-PO-2023-390743,EUR,389440.6,211100,IC Dividend,ALLOC-200
ICA00000168,1000,2025-06-24,REF-2023-68,EUR,66139.66,131100,IC Cost Allocation,ALLOC-300
ICA00000170,6000,2026-03-07,REF-2023-69,USD,74197.63,131000,IC Recharge,ALLOC-400
ICA00000172,5000,2026-02-23,IC-PAY-2025-416282,JPY,31248.87,131200,IC Management Fee,ALLOC-100
ICA00000173,6000,2026-01-15,REF-2024-70,GBP,84745.12,211000,IC Royalty,ALLOC-300
ICA00000175,5000,2025-11-24,REF-2025-71,JPY,54880.81,131000,IC Dividend,ALLOC-500
ICA00000177,7000,2026-01-08,REF-2024-72,GBP,88820.29,131000,IC Inventory Transfer,ALLOC-500
ICA00000179,1000,2025-08-28,REF-2024-73,USD,37492.67,211000,IC Royalty,ALLOC-600
ICA00000181,3000,2026-05-20,REF-2025-74,GBP,56212.17,211200,IC Management Fee,ALLOC-200
ICA00000184,7000,2025-08-05,REF-2024-75,JPY,22502.06,211000,IC Loan Interest,ALLOC-200
ICA00000186,1000,2026-05-06,REF-2025-76,USD,61395.97,131200,IC Dividend,ALLOC-400
ICA00000188,6000,2026-05-01,REF-2024-77,JPY,7051.58,131000,IC Cost Allocation,ALLOC-400
ICA00000191,2000,2025-07-07,REF-2025-78,JPY,59662.75,131200,IC Management Fee,ALLOC-600
ICA00000193,3000,2025-10-28,REF-2025-79,GBP,44260.21,211200,IC Royalty,ALLOC-100
ICA00000195,7000,2025-09-23,REF-2025-80,USD,5572.72,211200,IC Dividend,ALLOC-500
ICA00000200,4000,2025-07-02,REF-2023-81,USD,39767.41,131100,IC Loan Interest,ALLOC-400
ICA00000206,5000,2025-10-13,REF-2024-82,USD,84463.99,211200,IC Inventory Transfer,ALLOC-600
ICA00000212,7000,2025-10-20,REF-2023-83,USD,10370.17,131200,IC Service Charge,ALLOC-600
ICA00000214,6000,2026-01-22,REF-2025-84,EUR,31682.28,131100,IC Dividend,ALLOC-300
ICA00000216,1000,2025-12-16,REF-2024-85,USD,3856.96,131000,IC Inventory Transfer,ALLOC-300
ICA00000218,1000,2025-08-27,REF-2025-86,EUR,47615.34,131100,IC Royalty,ALLOC-500
ICA00000221,4000,2025-12-18,REF-2025-87,EUR,15958.75,131200,IC Management Fee,ALLOC-600
ICA00000223,8000,2026-04-15,REF-2025-88,USD,85171.47,211200,IC Service Charge,ALLOC-100
ICA00000225,3000,2026-06-08,IC-PAY-2024-952686,EUR,283871.81,131200,IC Royalty,ALLOC-600
ICA00000226,3000,2025-12-13,REF-2025-89,EUR,42398.3,211100,IC Service Charge,ALLOC-200
ICA00000228,5000,2025-11-09,REF-2023-90,JPY,15579.02,131200,IC Management Fee,ALLOC-400
ICA00000230,6000,2025-09-11,REF-2024-91,GBP,15509.85,131000,IC Management Fee,ALLOC-600
ICA00000232,5000,2026-01-26,REF-2024-92,USD,75263.88,131000,IC Dividend,ALLOC-100
ICA00000234,7000,2026-02-23,REF-2024-93,USD,77834.59,211200,IC Service Charge,ALLOC-200
ICA00000236,7000,2025-11-03,REF-2025-94,USD,85131.49,131000,IC Dividend,ALLOC-400
ICA00000238,1000,2025-06-24,REF-2024-95,GBP,88474.51,211100,IC Loan Interest,ALLOC-400
ICA00000240,7000,2025-11-21,IC-DOC-2023-244283,USD,360205.09,211200,IC Recharge,ALLOC-600
ICA00000241,8000,2026-02-06,REF-2023-96,USD,75908.23,211100,IC Dividend,ALLOC-400
ICA00000247,1000,2026-01-31,REF-2025-97,GBP,79410.52,131200,IC Management Fee,ALLOC-100
ICA00000249,2000,2025-06-11,IC-REF-2025-800674,USD,289625.22,131100,IC Loan Interest,ALLOC-100
ICA00000250,4000,2026-02-25,REF-2025-98,GBP,54453.79,131200,IC Management Fee,ALLOC-200
ICA00000252,7000,2026-05-13,REF-2023-99,JPY,34545.77,211100,IC Loan Interest,ALLOC-100
ICA00000254,6000,2026-05-27,REF-2023-100,GBP,83055.33,211100,IC Service Charge,ALLOC-200
ICA00000256,3000,2025-09-21,REF-2023-101,EUR,4476.25,131100,IC Inventory Transfer,ALLOC-300
ICA00000258,7000,2025-12-10,IC-DOC-2023-938171,GBP,331308.37,131000,IC Inventory Transfer,ALLOC-600
ICA00000259,2000,2025-12-25,REF-2024-102,GBP,89474.29,211200,IC Recharge,ALLOC-500
ICA00000261,3000,2025-09-11,REF-2024-103,USD,60285.08,211200,IC Royalty,ALLOC-600
ICA00000263,3000,2026-05-30,IC-PAY-2024-744718,JPY,229093.53,211200,IC Management Fee,ALLOC-100
ICA00000264,2000,2025-12-14,REF-2025-104,JPY,63787.5,211000,IC Recharge,ALLOC-200
ICA00000268,5000,2025-12-18,REF-2024-105,USD,94887.47,131000,IC Loan Interest,ALLOC-200
ICA00000271,1000,2026-02-17,IC-TXN-2024-281043,JPY,76506.92,211000,IC Loan Interest,ALLOC-600
ICA00000272,7000,2026-03-19,REF-2024-106,USD,70983.09,211200,IC Service Charge,ALLOC-300
ICA00000274,5000,2026-02-05,REF-2025-107,USD,57270.51,211200,IC Royalty,ALLOC-500
ICA00000276,4000,2025-11-20,REF-2025-108,JPY,7467.7,211100,IC Loan Interest,ALLOC-600
ICA00000279,2000,2025-11-13,REF-2023-109,EUR,51858.4,211200,IC Cost Allocation,ALLOC-500
ICA00000281,6000,2025-10-29,REF-2025-110,EUR,95639.53,131100,IC Royalty,ALLOC-500
ICA00000283,7000,2026-04-16,REF-2025-111,JPY,62485.47,211000,IC Management Fee,ALLOC-600
ICA00000285,6000,2026-01-10,REF-2023-112,JPY,76719.2,131200,IC Dividend,ALLOC-500
ICA00000289,2000,2025-12-04,REF-2025-113,EUR,31999.71,211200,IC Royalty,ALLOC-200
ICA00000291,4000,2025-07-06,REF-2023-114,JPY,14173.68,211100,IC Inventory Transfer,ALLOC-100
ICA00000293,4000,2026-03-01,REF-2023-115,EUR,49876.73,211000,IC Recharge,ALLOC-200
ICA00000295,3000,2025-07-05,REF-2023-116,GBP,58376.08,211200,IC Recharge,ALLOC-300
ICA00000297,1000,2026-01-03,REF-2024-117,GBP,72778.06,131100,IC Management Fee,ALLOC-500
ICA00000299,7000,2026-03-19,REF-2024-118,JPY,50475.13,211100,IC Royalty,ALLOC-600
ICA00000301,5000,2025-09-20,REF-2024-119,USD,75521.02,211000,IC Management Fee,ALLOC-100
ICA00000303,8000,2026-03-01,REF-2024-120,JPY,14979.17,211100,IC Loan Interest,ALLOC-500
ICA00000305,4000,2026-06-08,REF-2025-121,USD,53280.75,211200,IC Loan Interest,ALLOC-100
ICA00000307,6000,2026-04-12,REF-2025-122,USD,62963.12,211100,IC Recharge,ALLOC-200
ICA00000309,8000,2025-08-27,REF-2024-123,JPY,31437.88,131200,IC Recharge,ALLOC-200
ICA00000311,4000,2025-11-18,REF-2024-124,JPY,52595.17,131100,IC Loan Interest,ALLOC-300
ICA00000313,8000,2025-10-15,IC-DOC-2024-839142,EUR,156264.59,131200,IC Recharge,ALLOC-300
ICA00000314,4000,2025-10-29,REF-2024-125,EUR,34945.44,211200,IC Service Charge,ALLOC-400
ICA00000316,8000,2025-09-22,REF-2025-126,EUR,47960.02,211000,IC Service Charge,ALLOC-600
ICA00000318,8000,2026-01-08,REF-2023-127,GBP,5343.86,131200,IC Royalty,ALLOC-500
ICA00000320,7000,2026-02-09,REF-2025-128,EUR,93509.71,211200,IC Loan Interest,ALLOC-200
ICA00000322,7000,2025-09-09,REF-2023-129,GBP,41846.71,211100,IC Recharge,ALLOC-100
ICA00000324,4000,2025-11-29,REF-2025-130,JPY,10819.34,211100,IC Recharge,ALLOC-100
ICA00000326,1000,2026-05-08,REF-2023-131,EUR,73138.81,131100,IC Dividend,ALLOC-600
ICA00000328,2000,2025-07-29,REF-2023-132,GBP,40143.24,211100,IC Loan Interest,ALLOC-100
ICA00000330,3000,2025-11-12,REF-2024-133,EUR,95408.08,211000,IC Cost Allocation,ALLOC-300
ICA00000332,6000,2026-06-06,REF-2025-134,EUR,50301.8,131100,IC Loan Interest,ALLOC-500
ICA00000337,6000,2025-09-30,REF-2025-135,JPY,80219.3,131100,IC Royalty,ALLOC-600
ICA00000339,5000,2026-03-18,REF-2023-136,JPY,6269.63,211100,IC Service Charge,ALLOC-500
ICA00000341,1000,2026-04-05,REF-2025-137,JPY,20619.61,211000,IC Recharge,ALLOC-200
ICA00000343,4000,2026-02-02,REF-2025-138,EUR,5867.9,131200,IC Management Fee,ALLOC-300
ICA00000348,3000,2026-05-05,REF-2023-139,GBP,76920.31,131000,IC Recharge,ALLOC-200
ICA00000350,5000,2026-03-13,REF-2024-140,USD,11951.45,211000,IC Cost Allocation,ALLOC-100
ICA00000352,3000,2025-10-15,REF-2024-141,USD,82353.71,211100,IC Dividend,ALLOC-200
ICA00000354,1000,2025-09-24,IC-INV-2025-804667,USD,301032.63,211100,IC Management Fee,ALLOC-400
ICA00000355,2000,2025-09-30,REF-2024-142,JPY,23510.49,211100,IC Dividend,ALLOC-300
ICA00000357,8000,2026-05-15,REF-2024-143,EUR,87638.21,211000,IC Dividend,ALLOC-400
ICA00000359,8000,2026-05-20,REF-2024-144,JPY,94164.48,131200,IC Loan Interest,ALLOC-500
ICA00000361,7000,2026-02-08,REF-2023-145,USD,75466.17,131200,IC Dividend,ALLOC-500
ICA00000363,5000,2026-01-08,IC-INV-2023-367382,EUR,269695.99,211200,IC Royalty,ALLOC-400
ICA00000365,8000,2026-04-07,REF-2023-146,USD,80484.6,211200,IC Loan Interest,ALLOC-600
ICA00000367,6000,2026-02-11,IC-REF-2024-350956,GBP,306156.75,211200,IC Inventory Transfer,ALLOC-400
ICA00000368,3000,2025-11-15,REF-2025-147,JPY,64907.26,131000,IC Recharge,ALLOC-300
ICA00000370,6000,2025-07-04,REF-2024-148,USD,31360.91,211200,IC Management Fee,ALLOC-300
ICA00000372,3000,2026-05-12,REF-2023-149,GBP,49980.22,131000,IC Recharge,ALLOC-300
ICA00000374,2000,2026-03-17,IC-PO-2025-161585,USD,459280.7,211000,IC Management Fee,ALLOC-100
ICA00000375,1000,2026-04-29,REF-2024-150,USD,13835.4,211100,IC Management Fee,ALLOC-200
ICA00000377,1000,2026-03-10,REF-2024-151,USD,1671.6,131100,IC Dividend,ALLOC-300
ICA00000379,2000,2026-03-06,REF-2023-152,USD,91813.08,211200,IC Dividend,ALLOC-300
ICA00000381,3000,2025-10-13,REF-2024-153,USD,45953.87,211000,IC Management Fee,ALLOC-500
ICA00000383,5000,2026-01-19,REF-2023-154,USD,50035.85,211100,IC Management Fee,ALLOC-500
ICA00000385,8000,2026-05-27,REF-2023-155,JPY,92423.51,211100,IC Management Fee,ALLOC-600
ICA00000387,5000,2025-11-11,REF-2024-156,USD,92894.61,131200,IC Inventory Transfer,ALLOC-200
ICA00000389,8000,2025-12-05,IC-TXN-2024-734565,JPY,224173.24,211200,IC Management Fee,ALLOC-600
ICA00000390,5000,2026-01-27,REF-2024-157,GBP,78376.46,211100,IC Inventory Transfer,ALLOC-300
ICA00000392,3000,2026-05-01,REF-2023-158,EUR,38062.0,211000,IC Royalty,ALLOC-300
ICA00000394,8000,2025-08-17,IC-PO-2025-637333,JPY,221179.96,211000,IC Management Fee,ALLOC-100
ICA00000395,7000,2026-04-12,REF-2024-159,GBP,55466.56,211200,IC Management Fee,ALLOC-500
ICA00000397,8000,2025-12-22,REF-2025-160,EUR,17041.33,131000,IC Dividend,ALLOC-400
ICA00000402,8000,2025-11-26,REF-2025-161,JPY,38051.01,211200,IC Service Charge,ALLOC-500
ICA00000404,3000,2026-06-01,REF-2024-162,GBP,29215.67,131000,IC Dividend,ALLOC-500
ICA00000410,6000,2025-07-16,REF-2024-163,GBP,83145.05,131200,IC Service Charge,ALLOC-600
ICA00000412,5000,2025-07-18,REF-2024-164,GBP,78928.77,131100,IC Inventory Transfer,ALLOC-100
ICA00000414,7000,2025-07-24,REF-2025-165,USD,59422.61,211100,IC Loan Interest,ALLOC-300
ICA00000416,5000,2025-10-21,REF-2023-166,JPY,1153.72,131000,IC Cost Allocation,ALLOC-200
ICA00000418,1000,2025-11-09,REF-2023-167,USD,48328.83,211200,IC Service Charge,ALLOC-300
ICA00000420,6000,2025-07-30,REF-2024-168,GBP,34895.2,211000,IC Loan Interest,ALLOC-500
ICA00000422,5000,2025-09-03,REF-2025-169,USD,11025.33,211200,IC Service Charge,ALLOC-100
ICA00000424,8000,2025-06-25,REF-2025-170,JPY,43270.23,131000,IC Inventory Transfer,ALLOC-500
ICA00000426,8000,2025-07-13,REF-2025-171,EUR,80892.11,131000,IC Cost Allocation,ALLOC-600
ICA00000430,8000,2025-10-11,REF-2023-172,USD,31387.26,131000,IC Inventory Transfer,ALLOC-500
ICA00000432,5000,2026-05-07,REF-2025-173,USD,53784.19,211200,IC Recharge,ALLOC-200
ICA00000434,1000,2025-07-08,IC-REF-2024-688861,JPY,247458.37,131000,IC Recharge,ALLOC-400
ICA00000435,1000,2026-02-16,REF-2025-174,JPY,84005.19,211100,IC Management Fee,ALLOC-300
ICA00000437,5000,2026-01-31,REF-2024-175,JPY,16904.08,131100,IC Royalty,ALLOC-300
ICA00000439,8000,2026-01-22,REF-2023-176,USD,76024.41,211200,IC Cost Allocation,ALLOC-300
ICA00000441,2000,2025-08-10,REF-2024-177,JPY,86542.52,131200,IC Loan Interest,ALLOC-500
ICA00000443,5000,2025-09-24,IC-DOC-2025-664939,EUR,181899.58,211200,IC Dividend,ALLOC-300
ICA00000444,8000,2026-03-01,REF-2025-178,GBP,26807.57,211200,IC Management Fee,ALLOC-100
ICA00000446,4000,2025-10-15,REF-2025-179,USD,32277.46,131200,IC Dividend,ALLOC-200
ICA00000448,4000,2025-10-31,REF-2023-180,GBP,40344.79,131100,IC Loan Interest,ALLOC-400
