ICTransactionRef,CounterpartyEntityCode,PostingDate,VoucherNumber,Currency,CorrespondingAmount,AccountNumber,Memo,AllocationRef
ICB00000052,7000,2025-08-12,REF-2025-22,JPY,24994.91,211100,IC Recharge,ALLOC-100
ICB00000053,8000,2026-02-09,IC-PAY-2024-903013,JPY,378370.63,131200,IC Cost Allocation,ALLOC-300
ICB00000055,2000,2025-11-04,REF-2024-23,USD,7840.59,131000,IC Cost Allocation,ALLOC-100
ICB00000057,1000,2025-09-28,2025-24,GBP,15365.25,131100,IC Inventory Transfer,ALLOC-300
ICB00000059,4000,2025-06-14,REF-2025-25,USD,38100.06,131000,IC Dividend,ALLOC-400
ICB00000061,1000,2025-11-30,REF-2024-26,JPY,2999.58,211000,IC Management Fee,ALLOC-400
ICB00000063,7000,2026-02-02,REF-2025-27,GBP,14484.99,211000,IC Dividend,ALLOC-600
ICB00000064,7000,2026-02-02,REF-2025-27,GBP,5029.99,131000,IC Dividend,ALLOC-600
ICB00000065,7000,2026-02-02,REF-2025-27,GBP,23403.44,211000,IC Dividend,ALLOC-600
ICB00000067,4000,2025-12-07,REF-2025,USD,53987.96,211100,IC Service Charge,ALLOC-100
ICB00000069,2000,2026-03-26,REF-2024-29,USD,66978.94,211000,IC Dividend,ALLOC-100
ICB00000071,4000,2025-11-17,REF-2025-30,EUR,2610.3,131100,IC Royalty,ALLOC-600
ICB00000074,8000,2026-02-01,REF-2024-31,GBP,60899.61,211200,IC Dividend,ALLOC-600
ICB00000076,1000,2026-01-27,REF-2023-32,EUR,27964.93,131000,IC Service Charge,ALLOC-600
ICB00000078,8000,2025-10-21,REF-2023-33,USD,3043.28,131200,IC Recharge,ALLOC-100
ICB00000079,8000,2025-10-21,REF-2023-33,USD,22553.22,131200,IC Recharge,ALLOC-100
ICB00000080,8000,2025-10-21,REF-2023-33,USD,8104.29,131000,IC Recharge,ALLOC-100
ICB00000081,8000,2025-10-21,REF-2023-33,USD,1846.22,131000,IC Recharge,ALLOC-100
ICB00000083,6000,2025-10-02,REF-2023-34,JPY,9396.03,131000,IC Loan Interest,ALLOC-200
ICB00000085,4000,2025-12-08,REF-2025-35,USD,52977.56,211100,IC Service Charge,ALLOC-500
ICB00000087,6000,2026-03-06,REF-2024-36,EUR,72486.04,131200,IC Management Fee,ALLOC-500
ICB00000089,8000,2025-07-04,REF-2025-37,USD,12745.64,131000,IC Dividend,ALLOC-100
ICB00000091,7000,2025-09-13,REF-2024-38,USD,44102.83,211100,IC Management Fee,ALLOC-100
ICB00000093,4000,2025-11-13,REF-2023-39,JPY,48365.61,131000,IC Inventory Transfer,ALLOC-100
ICB00000094,4000,2025-11-13,REF-2023-39,JPY,32767.48,131000,IC Inventory Transfer,ALLOC-100
ICB00000096,2000,2026-01-16,REF-2024-40,USD,86030.65,211200,IC Cost Allocation,ALLOC-600
ICB00000098,7000,2025-10-11,REF-2025-41,JPY,8210.63,211200,IC Recharge,ALLOC-200
ICB00000100,4000,2026-06-07,REF-2023-42,JPY,23224.48,131000,IC Cost Allocation,ALLOC-100
ICB00000102,3000,2026-05-08,REF-2023-43,EUR,54501.78,131000,IC Dividend,ALLOC-200
ICB00000104,5000,2025-11-13,REF-2023-44,USD,1870.38,131200,IC Cost Allocation,ALLOC-300
ICB00000105,5000,2025-11-13,REF-2023-44,USD,1904.18,131100,IC Cost Allocation,ALLOC-300
ICB00000106,5000,2025-11-13,REF-2023-44,USD,11349.71,131100,IC Cost Allocation,ALLOC-300
ICB00000107,5000,2025-11-13,REF-2023-44,USD,5147.78,211000,IC Cost Allocation,ALLOC-300
ICB00000108,5000,2025-11-13,REF-2023-44,USD,26650.88,131200,IC Cost Allocation,ALLOC-300
ICB00000110,7000,2025-09-08,REF-2024-45,GBP,57667.07,131000,IC Royalty,ALLOC-500
ICB00000112,8000,2025-11-22,REF-2024-46,GBP,40893.97,131000,IC Management Fee,ALLOC-600
ICB00000114,8000,2025-11-23,REF-2023-47,USD,27402.69,131100,IC Cost Allocation,ALLOC-600
ICB00000115,8000,2025-11-23,REF-2023-47,USD,4117.57,211200,IC Cost Allocation,ALLOC-600
ICB00000117,3000,2026-04-27,REF-2025-48,GBP,75668.67,211000,IC Recharge,ALLOC-300
ICB00000118,4000,2025-06-25,IC-PO-2023-679077,JPY,87605.3,211000,IC Cost Allocation,ALLOC-100
ICB00000120,8000,2026-05-08,REF-2024-49,USD,92602.97,131100,IC Recharge,ALLOC-300
ICB00000122,5000,2025-08-19,REF-2025-50,USD,50873.27,131200,IC Dividend,ALLOC-200
ICB00000124,8000,2026-04-03,REF-2024-51,EUR,83763.84,131000,IC Inventory Transfer,ALLOC-200
ICB00000126,1000,2026-06-03,REF-2024-52,GBP,86973.21,131000,IC Inventory Transfer,ALLOC-300
ICB00000128,6000,2026-05-10,REF-2025-53,USD,79260.13,211000,IC Recharge,ALLOC-500
ICB00000130,5000,2025-06-18,REF-2025-54,JPY,91053.12,131200,IC Inventory Transfer,ALLOC-600
ICB00000132,2000,2026-05-22,REF-2023-55,EUR,85191.35,131200,IC Cost Allocation,ALLOC-500
ICB00000134,1000,2025-07-31,REF-2023-56,USD,43453.75,211200,IC Dividend,ALLOC-600
ICB00000136,3000,2025-10-14,REF-2024-57,GBP,10385.93,131000,IC Dividend,ALLOC-200
ICB00000137,3000,2025-10-14,REF-2024-57,GBP,16339.46,211200,IC Dividend,ALLOC-200
ICB00000138,3000,2025-10-14,REF-2024-57,GBP,10830.1,131200,IC Dividend,ALLOC-200
ICB00000139,3000,2025-10-14,REF-2024-57,GBP,1810.82,211000,IC Dividend,ALLOC-200
ICB00000140,3000,2025-10-14,REF-2024-57,GBP,3759.3,131000,IC Dividend,ALLOC-200
ICB00000142,5000,2025-08-30,202458,EUR,67793.33,131000,IC Cost Allocation,ALLOC-300
ICB00000144,7000,2026-03-30,REF-2023-59,USD,23796.85,131100,IC Management Fee,ALLOC-300
ICB00000146,4000,2025-11-04,REF-2025-60,EUR,47453.04,131200,IC Service Charge,ALLOC-300
ICB00000148,5000,2026-01-22,REF-2025-61,GBP,4038.32,211100,IC Service Charge,ALLOC-400
ICB00000150,5000,2025-12-15,REF-2023-62,EUR,77780.95,131000,IC Royalty,ALLOC-300
ICB00000152,7000,2026-05-22,REF-2023-63,EUR,39124.36,131200,IC Royalty,ALLOC-400
ICB00000153,7000,2026-05-22,REF-2023-63,EUR,7035.91,211100,IC Royalty,ALLOC-400
ICB00000154,7000,2026-05-22,REF-2023-63,EUR,11679.9,131000,IC Royalty,ALLOC-400
ICB00000155,7000,2026-05-22,REF-2023-63,EUR,41.95,211000,IC Royalty,ALLOC-400
ICB00000156,7000,2026-05-22,REF-2023-63,EUR,28145.93,131100,IC Royalty,ALLOC-400
ICB00000158,1000,2026-04-19,REF-2025-64,GBP,4594.17,211000,IC Royalty,ALLOC-100
ICB00000159,1000,2026-04-19,REF-2025-64,GBP,8825.63,211100,IC Royalty,ALLOC-100
ICB00000160,1000,2026-04-19,REF-2025-64,GBP,19448.03,131100,IC Royalty,ALLOC-100
ICB00000162,2000,2025-12-17,REF-2023-65,GBP,37521.96,211200,IC Inventory Transfer,ALLOC-600
ICB00000164,7000,2025-10-09,REF-2023-66,USD,44393.97,131000,IC Royalty,ALLOC-100
ICB00000166,4000,2026-05-05,REF-2023-67,JPY,66310.6,131100,IC Cost Allocation,ALLOC-200
ICB00000169,6000,2025-06-24,REF-2023-68,USD,66139.66,211000,IC Dividend,ALLOC-300
ICB00000171,6000,2026-03-07,REF-2023-69,JPY,74197.63,131000,IC Royalty,ALLOC-400
ICB00000174,6000,2026-01-15,REF-2024-70,USD,87549.7,211100,IC Royalty,ALLOC-300
ICB00000176,7000,2025-11-24,REF-2025-71,USD,54880.81,131000,IC Cost Allocation,ALLOC-500
ICB00000178,2000,2026-01-08,REF-2024-72,GBP,88820.29,131200,IC Loan Interest,ALLOC-500
ICB00000180,7000,2025-08-28,REF-2024-73,EUR,36315.74,131100,IC Service Charge,ALLOC-600
ICB00000182,6000,2026-05-20,REF-2025-74,JPY,33750.35,211100,IC Cost Allocation,ALLOC-200
ICB00000183,6000,2026-05-20,REF-2025-74,JPY,22461.82,131200,IC Cost Allocation,ALLOC-200
ICB00000185,5000,2025-08-05,REF-2024-75,USD,22502.06,131100,IC Inventory Transfer,ALLOC-200
ICB00000187,5000,2026-05-06,REF-2025-76,EUR,59524.35,211100,IC Management Fee,ALLOC-400
ICB00000189,6000,2026-05-01,REF-2024-77,EUR,2960.48,131200,IC Dividend,ALLOC-400
ICB00000190,6000,2026-05-01,REF-2024-77,EUR,4091.1,211200,IC Dividend,ALLOC-400
ICB00000192,2000,2025-07-07,REF-2025-78,GBP,59662.75,131000,IC Inventory Transfer,ALLOC-600
ICB00000194,8000,2025-10-28,202579,EUR,44260.21,211100,IC Management Fee,ALLOC-100
ICB00000196,3000,2025-09-23,REF-2025-80,GBP,43.08,131100,IC Cost Allocation,ALLOC-500
ICB00000197,3000,2025-09-23,REF-2025-80,GBP,1785.46,131100,IC Cost Allocation,ALLOC-500
ICB00000198,3000,2025-09-23,REF-2025-80,GBP,2334.37,131200,IC Cost Allocation,ALLOC-500
ICB00000199,3000,2025-09-23,REF-2025-80,GBP,1409.81,211200,IC Cost Allocation,ALLOC-500
ICB00000201,7000,2025-07-02,REF-2023-81,EUR,11513.27,131100,IC Service Charge,ALLOC-400
ICB00000202,7000,2025-07-02,REF-2023-81,EUR,4569.58,131000,IC Service Charge,ALLOC-400
ICB00000203,7000,2025-07-02,REF-2023-81,EUR,988.67,131200,IC Service Charge,ALLOC-400
ICB00000204,7000,2025-07-02,REF-2023-81,EUR,8385.25,211200,IC Service Charge,ALLOC-400
ICB00000205,7000,2025-07-02,REF-2023-81,EUR,14310.64,211000,IC Service Charge,ALLOC-400
ICB00000207,2000,2025-10-13,REF-2024-82,JPY,6451.31,211200,IC Cost Allocation,ALLOC-600
ICB00000208,2000,2025-10-13,REF-2024-82,JPY,12263.55,211200,IC Cost Allocation,ALLOC-600
ICB00000209,2000,2025-10-13,REF-2024-82,JPY,44278.79,131200,IC Cost Allocation,ALLOC-600
ICB00000210,2000,2025-10-13,REF-2024-82,JPY,2813.75,131200,IC Cost Allocation,ALLOC-600
ICB00000211,2000,2025-10-13,REF-2024-82,JPY,18656.59,211100,IC Cost Allocation,ALLOC-600
ICB00000213,8000,2025-10-20,REF202383,JPY,10370.17,131200,IC Recharge,ALLOC-600
ICB00000215,1000,2026-01-22,202584,JPY,31682.28,211200,IC Royalty,ALLOC-300
ICB00000217,1000,2025-12-16,REF-2024-85,JPY,3856.96,211200,IC Cost Allocation,ALLOC-300
ICB00000219,1000,2025-08-27,REF-2025-86,GBP,30765.56,131100,IC Recharge,ALLOC-500
ICB00000220,1000,2025-08-27,REF-2025-86,GBP,16849.78,131100,IC Recharge,ALLOC-500
ICB00000222,6000,2025-12-18,REF-2025-87,EUR,16242.6,131100,IC Royalty,ALLOC-600
ICB00000224,5000,2026-04-15,REF-2025-88,GBP,85171.47,131100,IC Service Charge,ALLOC-100
ICB00000227,6000,2025-12-13,REF-2025-89,GBP,42398.3,211100,IC Cost Allocation,ALLOC-200
ICB00000229,6000,2025-11-09,REF-2023-90,JPY,15579.02,131100,IC Service Charge,ALLOC-400
ICB00000231,6000,2025-09-11,REF-2024-91,USD,15509.85,131100,IC Recharge,ALLOC-600
ICB00000233,4000,2026-01-26,REF-2024-92,JPY,75263.88,131000,IC Recharge,ALLOC-100
ICB00000235,1000,2026-02-23,REF-2024-93,GBP,74953.69,131100,IC Loan Interest,ALLOC-200
ICB00000237,3000,2025-11-03,REF-2025-94,GBP,85131.49,211100,IC Royalty,ALLOC-400
ICB00000239,7000,2025-06-24,REF-2024-95,EUR,88474.51,211000,IC Cost Allocation,ALLOC-400
ICB00000242,2000,2026-02-06,REF-2023-96,EUR,40062.2,211200,IC Cost Allocation,ALLOC-400
ICB00000243,2000,2026-02-06,REF-2023-96,EUR,1596.56,211000,IC Cost Allocation,ALLOC-400
ICB00000244,2000,2026-02-06,REF-2023-96,EUR,13544.35,211000,IC Cost Allocation,ALLOC-400
ICB00000245,2000,2026-02-06,REF-2023-96,EUR,8177.47,211100,IC Cost Allocation,ALLOC-400
ICB00000246,2000,2026-02-06,REF-2023-96,EUR,12527.65,131000,IC Cost Allocation,ALLOC-400
ICB00000248,4000,2026-01-31,REF-2025-97,USD,79410.52,131000,IC Dividend,ALLOC-100
ICB00000251,7000,2026-02-25,REF-2025-98,EUR,54453.79,211200,IC Management Fee,ALLOC-200
ICB00000253,1000,2026-05-13,REF-2023-99,JPY,34545.77,131200,IC Loan Interest,ALLOC-100
ICB00000255,2000,2026-05-27,REF-2023-100,GBP,83055.33,211200,IC Management Fee,ALLOC-200
ICB00000257,8000,2025-09-21,REF-2023-101,USD,4476.25,211200,IC Cost Allocation,ALLOC-300
ICB00000260,5000,2025-12-25,REF-2024-102,USD,89474.29,211000,IC Inventory Transfer,ALLOC-500
ICB00000262,5000,2025-09-11,REF-2024-103,GBP,60285.08,211100,IC Inventory Transfer,ALLOC-600
ICB00000265,6000,2025-12-14,REF-2025-104,GBP,8051.9,131100,IC Management Fee,ALLOC-200
ICB00000266,6000,2025-12-14,REF-2025-104,GBP,7001.66,211100,IC Management Fee,ALLOC-200
ICB00000267,6000,2025-12-14,REF-2025-104,GBP,48733.94,131200,IC Management Fee,ALLOC-200
ICB00000269,6000,2025-12-18,REF-2024-105,EUR,91271.75,211000,IC Cost Allocation,ALLOC-200
ICB00000270,7000,2026-02-21,IC-DOC-2025-567951,EUR,67702.89,131100,IC Dividend,ALLOC-600
ICB00000273,4000,2026-03-19,REF-2024-106,USD,71421.96,211100,IC Service Charge,ALLOC-300
ICB00000275,7000,2026-02-05,REF-2025-107,GBP,57270.51,131000,IC Inventory Transfer,ALLOC-500
ICB00000277,3000,2025-11-20,REF-2025-108,USD,6556.34,131100,IC Inventory Transfer,ALLOC-600
ICB00000278,3000,2025-11-20,REF-2025-108,USD,911.36,211000,IC Inventory Transfer,ALLOC-600
ICB00000280,5000,2025-11-13,REF-2023-109,USD,51858.4,211100,IC Dividend,ALLOC-500
ICB00000282,3000,2025-10-29,REF-2025-110,JPY,95639.53,211100,IC Service Charge,ALLOC-500
ICB00000284,2000,2026-04-16,REF-2025-111,JPY,62485.47,131200,IC Dividend,ALLOC-600
ICB00000286,8000,2026-01-10,REF-2023-112,GBP,73393.44,131000,IC Dividend,ALLOC-500
ICB00000287,8000,2026-01-10,REF-2023-112,GBP,3325.76,211000,IC Dividend,ALLOC-500
ICB00000288,1000,2026-05-29,IC-INV-2024-313933,GBP,225406.69,131100,IC Service Charge,ALLOC-300
ICB00000290,4000,2025-12-04,REF-2025-113,USD,31999.71,131000,IC Dividend,ALLOC-200
ICB00000292,3000,2025-07-06,REF-2023-114,EUR,14173.68,211100,IC Loan Interest,ALLOC-100
ICB00000294,2000,2026-03-01,REF-2023-115,JPY,49876.73,211100,IC Recharge,ALLOC-200
ICB00000296,1000,2025-07-05,REF-2023-116,USD,58376.08,211100,IC Inventory Transfer,ALLOC-300
ICB00000298,4000,2026-01-03,REF-2024-117,JPY,72778.06,211000,IC Dividend,ALLOC-500
ICB00000300,2000,2026-03-19,REF-2024-118,EUR,50475.13,131100,IC Loan Interest,ALLOC-600
ICB00000302,3000,2025-09-20,REF-2024-119,EUR,75521.02,131100,IC Recharge,ALLOC-100
ICB00000304,7000,2026-03-01,REF-2024-120,EUR,14979.17,131100,IC Loan Interest,ALLOC-500
ICB00000306,2000,2026-06-08,REF-2025-121,JPY,53280.75,131200,IC Dividend,ALLOC-100
ICB00000308,7000,2026-04-12,REF-2025-122,USD,62107.75,131100,IC Management Fee,ALLOC-200
ICB00000310,1000,2025-08-27,REF-2024-123,USD,33007.12,131100,IC Cost Allocation,ALLOC-200
ICB00000312,6000,2025-11-18,REF-2024-124,EUR,52595.17,211100,IC Recharge,ALLOC-300
ICB00000315,1000,2025-10-29,REF2024125,USD,34945.44,131000,IC Loan Interest,ALLOC-400
ICB00000317,4000,2025-09-22,REF-2025-126,USD,47960.02,131200,IC Cost Allocation,ALLOC-600
ICB00000319,3000,2026-01-08,REF-2023-127,JPY,5343.86,131000,IC Service Charge,ALLOC-500
ICB00000321,1000,2026-02-09,REF-2025-128,USD,89199.35,131100,IC Cost Allocation,ALLOC-200
ICB00000323,5000,2025-09-09,REF-2023-129,USD,41846.71,131100,IC Dividend,ALLOC-100
ICB00000325,8000,2025-11-29,REF-2025-130,USD,10819.34,211200,IC Royalty,ALLOC-100
ICB00000327,4000,2026-05-08,REF2023131,JPY,73138.81,131000,IC Inventory Transfer,ALLOC-600
ICB00000329,1000,2025-07-29,REF-2023-132,GBP,40143.24,131000,IC Cost Allocation,ALLOC-100
ICB00000331,2000,2025-11-12,REF-2024-133,EUR,95408.08,131000,IC Service Charge,ALLOC-300
ICB00000333,8000,2026-06-06,REF-2025-134,JPY,11109.11,131000,IC Loan Interest,ALLOC-500
ICB00000334,8000,2026-06-06,REF-2025-134,JPY,12944.3,131200,IC Loan Interest,ALLOC-500
ICB00000335,8000,2026-06-06,REF-2025-134,JPY,24103.55,131100,IC Loan Interest,ALLOC-500
ICB00000336,8000,2026-06-06,REF-2025-134,JPY,2144.84,131000,IC Loan Interest,ALLOC-500
ICB00000338,8000,2025-09-30,REF-2025-135,EUR,80219.3,131100,IC Royalty,ALLOC-600
ICB00000340,6000,2026-03-18,REF-2023-136,JPY,6269.63,211000,IC Recharge,ALLOC-500
ICB00000342,8000,2026-04-05,REF-2025-137,JPY,20619.61,131000,IC Inventory Transfer,ALLOC-200
ICB00000344,2000,2026-02-02,REF-2025-138,USD,428.53,131000,IC Royalty,ALLOC-300
ICB00000345,2000,2026-02-02,REF-2025-138,USD,850.09,211000,IC Royalty,ALLOC-300
ICB00000346,2000,2026-02-02,REF-2025-138,USD,1207.59,211200,IC Royalty,ALLOC-300
ICB00000347,2000,2026-02-02,REF-2025-138,USD,3381.69,131000,IC Royalty,ALLOC-300
ICB00000349,7000,2026-05-05,REF-2023-139,JPY,76920.31,131200,IC Service Charge,ALLOC-200
ICB00000351,1000,2026-03-13,REF-2024-140,GBP,11951.45,131100,IC Inventory Transfer,ALLOC-100
ICB00000353,2000,2025-10-15,REF-2024-141,GBP,82353.71,211100,IC Management Fee,ALLOC-200
ICB00000356,6000,2025-09-30,REF-2024-142,JPY,23510.49,211100,IC Loan Interest,ALLOC-300
ICB00000358,3000,2026-05-15,REF-2024-143,GBP,87638.21,211000,IC Recharge,ALLOC-400
ICB00000360,7000,2026-05-20,REF-2024-144,USD,94164.48,131000,IC Dividend,ALLOC-500
ICB00000362,3000,2026-02-08,REF-2023-145,GBP,75466.17,131100,IC Management Fee,ALLOC-500
ICB00000364,2000,2025-12-17,IC-REF-2023-381502,JPY,365046.51,131200,IC Management Fee,ALLOC-100
ICB00000366,1000,2026-04-07,REF-2023-146,USD,80484.6,131200,IC Royalty,ALLOC-600
ICB00000369,2000,2025-11-15,REF-2025-147,GBP,64907.26,211100,IC Loan Interest,ALLOC-300
ICB00000371,7000,2025-07-04,REF-2024-148,USD,30668.06,211200,IC Cost Allocation,ALLOC-300
ICB00000373,3000,2026-05-12,REF-2023-149,EUR,49980.22,211100,IC Service Charge,ALLOC-300
ICB00000376,8000,2026-04-29,REF-2024-150,USD,13835.4,131200,IC Recharge,ALLOC-200
ICB00000378,5000,2026-03-10,REF-2024-151,JPY,1671.6,211100,IC Inventory Transfer,ALLOC-300
ICB00000380,5000,2026-03-06,REF-2023-152,GBP,91813.08,211200,IC Royalty,ALLOC-300
ICB00000382,7000,2025-10-13,REF-2024-153,GBP,44270.67,211000,IC Recharge,ALLOC-500
ICB00000384,4000,2026-01-19,REF-2023-154,JPY,50035.85,211200,IC Recharge,ALLOC-500
ICB00000386,6000,2026-05-27,REF-2023-155,USD,92423.51,131200,IC Service Charge,ALLOC-600
ICB00000388,6000,2025-11-11,REF-2024-156,USD,92894.61,131100,IC Royalty,ALLOC-200
ICB00000391,7000,2026-01-27,REF-2024-157,JPY,77695.23,211100,IC Dividend,ALLOC-300
ICB00000393,1000,2026-05-01,2023-158,GBP,38062.0,211200,IC Loan Interest,ALLOC-300
ICB00000396,7000,2026-04-12,REF-2024-159,USD,55466.56,131100,IC Cost Allocation,ALLOC-500
ICB00000398,5000,2025-12-22,REF-2025-160,EUR,2486.92,211000,IC Recharge,ALLOC-400
ICB00000399,5000,2025-12-22,REF-2025-160,EUR,362.51,211200,IC Recharge,ALLOC-400
ICB00000400,5000,2025-12-22,REF-2025-160,EUR,14191.9,211200,IC Recharge,ALLOC-400
ICB00000401,8000,2025-10-15,IC-INV-2023-242071,GBP,312167.71,211000,IC Inventory Transfer,ALLOC-300
ICB00000403,6000,2025-11-26,REF-2025-161,USD,36209.12,211200,IC Recharge,ALLOC-500
ICB00000405,3000,2026-06-01,REF-2024-162,JPY,5837.29,131200,IC Management Fee,ALLOC-500
ICB00000406,3000,2026-06-01,REF-2024-162,JPY,4826.88,131000,IC Management Fee,ALLOC-500
ICB00000407,3000,2026-06-01,REF-2024-162,JPY,16566.79,131200,IC Management Fee,ALLOC-500
ICB00000408,3000,2026-06-01,REF-2024-162,JPY,1904.8,211100,IC Management Fee,ALLOC-500
ICB00000409,3000,2026-06-01,REF-2024-162,JPY,79.91,131000,IC Management Fee,ALLOC-500
ICB00000411,5000,2025-07-16,REF-2024-163,EUR,83145.05,131200,IC Service Charge,ALLOC-600
ICB00000413,7000,2025-07-18,REF-2024-164,USD,78928.77,131200,IC Loan Interest,ALLOC-100
ICB00000415,1000,2025-07-24,REF-2025-165,GBP,59422.61,131000,IC Loan Interest,ALLOC-300
ICB00000417,6000,2025-10-21,REF-2023-166,GBP,1153.72,211200,IC Service Charge,ALLOC-200
ICB00000419,5000,2025-11-09,REF-2023-167,GBP,48328.83,131100,IC Cost Allocation,ALLOC-300
ICB00000421,5000,2025-07-30,REF-2024-168,USD,34895.2,211200,IC Management Fee,ALLOC-500
ICB00000423,7000,2025-09-03,REF-2025-169,USD,10877.73,131200,IC Inventory Transfer,ALLOC-100
ICB00000425,1000,2025-06-25,REF-2025-170,USD,43270.23,211200,IC Cost Allocation,ALLOC-500
ICB00000427,8000,2025-07-13,REF-2025-171,EUR,9218.06,131100,IC Inventory Transfer,ALLOC-600
ICB00000428,8000,2025-07-13,REF-2025-171,EUR,71674.05,131000,IC Inventory Transfer,ALLOC-600
ICB00000429,2000,2026-04-07,IC-INV-2025-280908,GBP,182472.61,131100,IC Royalty,ALLOC-600
ICB00000431,3000,2025-10-11,2023172,GBP,31387.26,211100,IC Inventory Transfer,ALLOC-500
ICB00000433,3000,2026-05-07,REF-2025-173,EUR,53784.19,131100,IC Recharge,ALLOC-200
ICB00000436,5000,2026-02-16,REF-2025-174,EUR,84005.19,131100,IC Cost Allocation,ALLOC-300
ICB00000438,2000,2026-01-31,REF-2024-175,JPY,16904.08,131100,IC Loan Interest,ALLOC-300
ICB00000440,1000,2026-01-22,REF-2023-176,EUR,76024.41,211000,IC Loan Interest,ALLOC-300
ICB00000442,7000,2025-08-10,REF-2024-177,JPY,86542.52,211100,IC Service Charge,ALLOC-500
ICB00000445,3000,2026-03-01,REF-2025-178,USD,26807.57,211100,IC Cost Allocation,ALLOC-100
ICB00000447,7000,2025-10-15,REF-2025-179,GBP,32277.46,131200,IC Royalty,ALLOC-200
ICB00000449,1000,2025-10-31,REF-2023-180,USD,42089.9,131200,IC Recharge,ALLOC-400
