TaxType,Jurisdiction,FilingPeriod,TransactionCount,TaxableBase,CalculatedTax,Adjustments,EntityID
GST,US-CA,REF-2023-51,4166,950966.47,57744.41,125.68,ENT221
INCOME,US-FL,REF-2025-52,9416,348036.37,38099.76,0,ENT735
VAT,US-FED,REF-2025-53,6793,216196.42,21181.42,0,ENT561
PROPERTY,CA-FED,REF-2025-54,9763,458588.08,85974.71,0,ENT777
SALES,US-FED,2025-Q3,2818,2111510.83,454663.67,0,ENT709
INCOME,CA-ON,REF-2024-55,5380,364205.92,50097.17,0,ENT718
GST,AU,REF-2025-56,759,235094.74,58753.58,0,ENT881
SALES,FR,REF-2024-57,5800,132899.61,18230.77,0,ENT518
PROPERTY,JP,REF-2024-58,701,380228.2,69398.0,0,ENT565
INCOME,US-FED,REF-2024-59,3173,476524.98,86504.57,0,ENT630
EXCISE,FR,REF-2023-60,2089,268172.71,20435.47,0,ENT129
INCOME,US-CA,REF-2025-61,2622,5900.87,1466.08,0,ENT610
PAYROLL,CA-ON,REF-2024-62,2336,192939.23,24448.72,0,ENT984
GST,JP,REF-2025-63,9003,351843.04,49015.07,0,ENT486
EXCISE,DE,REF-2025-64,6425,653143.93,38358.79,0,ENT779
INCOME,US-FED,REF-2025-65,2461,240953.0,33266.27,0,ENT519
GST,CA-FED,2026-Q2,8842,3053964.46,201754.25,0,ENT424
EXCISE,CA-FED,REF-2025-66,4808,320300.06,71899.87,-863.16,ENT332
SALES,US-FED,REF-2025-67,5414,1048007.33,87270.67,0,ENT915
PAYROLL,CA-FED,REF-2025-68,4045,812077.57,68211.86,741.68,ENT609
GST,AU,REF-2024-69,5001,359619.49,66717.39,-116.54,ENT754
EXCISE,US-FL,REF-2023-70,459,195389.54,23796.85,0,ENT949
GST,US-TX,REF-2025-71,5872,489176.27,97362.92,0,ENT324
EXCISE,US-FED,REF-2025-72,5161,387802.83,68117.42,0,ENT907
GST,JP,REF-2024-73,8321,829350.08,74773.34,0,ENT379
SALES,US-NY,REF-2024-74,3796,354197.38,74681.28,0,ENT980
INCOME,UK,REF-2025-75,4395,694170.9,36640.93,0,ENT698
EXCISE,US-CA,REF-2023-76,7706,536263.46,61992.73,0,ENT817
