TaxReturnID,TaxType,Jurisdiction,FilingPeriod,ReportedTax,PaymentsMade,Refunds,EntityID
TR00000024,VAT,CA-ON,REF-2024-22,97386.32,93147.8,0,ENT440
TR00000025,INCOME,US-TX,REF-2025-23,86420.0,83249.88,0,ENT304
TR00000026,EXCISE,JP,REF202424,82071.58,76811.09,0,ENT509
TR00000027,INCOME,UK,REF-2023-25,11622.64,11126.19,0,ENT846
TR00000028,INCOME,US-CA,REF-2025-26,11653.01,11468.36,0,ENT780
TR00000029,VAT,US-TX,REF-2025-27,84816.73,79132.81,0,ENT530
TR00000030,VAT,DE,REF-2025-28,90290.27,82705.61,0,ENT904
TR00000031,SALES,US-FL,REF-2024-29,44234.42,41260.57,0,ENT627
TR00000032,VAT,FR,REF-2023-30,81860.5,79400.39,3392.63,ENT725
TR00000033,PROPERTY,US-CA,REF-2025-31,57609.52,50986.11,0,ENT897
TR00000034,INCOME,CA-FED,REF-2025-32,51843.98,51718.44,0,ENT643
TR00000035,GST,US-TX,REF-2024-33,63339.49,56861.41,0,ENT960
TR00000036,VAT,US-TX,REF-2024-34,44043.27,41347.38,0,ENT492
TR00000037,PAYROLL,CA-ON,REF-2023-35,41545.3,40354.88,0,ENT120
TR00000038,EXCISE,JP,REF-2024-36,47750.28,43961.32,0,ENT919
TR00000039,INCOME,US-NY,REF-2023-37,27366.24,24816.38,0,ENT737
TR00000040,GST,DE,REF-2025-38,56482.76,47577.24,0,ENT435
TR00000041,EXCISE,US-CA,REF-2024-39,27897.84,27659.51,86.57,ENT899
TR00000042,VAT,FR,REF-2023-40,20016.13,17038.71,0,ENT816
TR00000043,EXCISE,DE,REF-2025-41,60764.02,60052.72,0,ENT506
TR00000044,SALES,AU,REF-2025-42,69092.38,55841.42,0,ENT901
TR00000045,EXCISE,FR,REF-2025-43,38334.45,30831.83,0,ENT824
TR00000046,SALES,US-FL,REF-2025-44,77486.68,65768.58,0,ENT561
TR00000047,PAYROLL,CA-ON,REF-2025,66852.03,60912.78,0,ENT382
TR00000048,PROPERTY,US-FED,REF-2023-46,24211.47,20793.95,0,ENT195
TR00000049,EXCISE,FR,REF-2023,30689.98,26434.03,0,ENT377
TR00000050,EXCISE,AU,REF-2024-48,12043.52,10898.51,0,ENT878
TR00000051,SALES,JP,REF-2023-49,83279.57,78239.78,7232.51,ENT399
TR00000052,GST,FR,REF-2024-50,10348.51,9980.34,0,ENT216
TR00000053,PAYROLL,DE,REF-2023-51,57744.41,53080.13,0,ENT720
TR00000054,SALES,AU,REF-2025-52,38099.76,31235.96,0,ENT857
TR00000055,EXCISE,AU,REF202553,21181.42,18178.99,0,ENT581
TR00000056,PROPERTY,US-TX,REF-2025-54,85974.71,70753.34,0,ENT535
TR00000057,INCOME,US-CA,2026-Q1,460990.3,412005.28,0,ENT512
TR00000058,GST,US-FED,REF-2024-55,50097.17,42371.43,0,ENT193
TR00000059,PROPERTY,US-NY,REF-2025-56,58753.58,53101.06,0,ENT581
TR00000060,GST,UK,REF-2024-57,18230.77,14966.0,0,ENT786
TR00000061,SALES,UK,REF-2024-58,69398.0,60005.31,0,ENT358
TR00000062,GST,AU,REF-2024-59,86504.57,77828.04,0,ENT874
TR00000063,EXCISE,AU,REF-2023-60,20435.47,17326.41,0,ENT918
TR00000064,EXCISE,US-FL,202561,1466.08,1379.7,0,ENT621
TR00000065,PROPERTY,DE,REF-2024-62,1706.77,1684.33,0,ENT448
TR00000066,PROPERTY,DE,REF-2024-62,17184.15,16567.41,0,ENT448
TR00000067,PROPERTY,DE,REF-2024-62,5557.8,4778.1,0,ENT448
TR00000068,INCOME,UK,REF-2025-63,49015.07,41061.42,0,ENT990
TR00000069,PROPERTY,CA-FED,REF-2025-64,38358.79,34487.07,1926.73,ENT255
TR00000070,PROPERTY,CA-FED,REF-2025-65,33939.42,27110.87,0,ENT258
TR00000071,EXCISE,US-CA,REF-2025-66,71899.87,71588.37,0,ENT544
TR00000072,SALES,US-FL,REF-2025-67,87270.67,76359.06,4635.52,ENT467
TR00000073,PAYROLL,US-NY,REF-2025-68,68211.86,60860.67,0,ENT337
TR00000074,INCOME,CA-ON,REF-2024-69,69612.93,59469.69,0,ENT356
TR00000075,EXCISE,DE,REF-2023-70,23796.85,19076.02,0,ENT381
TR00000076,EXCISE,US-TX,REF-2025-71,97362.92,82770.69,0,ENT735
TR00000077,INCOME,US-FED,REF-2025-72,68117.42,59464.62,6196.15,ENT693
TR00000078,PROPERTY,US-NY,REF-2024-73,74773.34,73487.97,0,ENT363
TR00000079,EXCISE,CA-ON,REF-2024-74,74681.28,74381.69,0,ENT790
TR00000080,INCOME,CA-FED,REF-2025-75,36640.93,30106.72,0,ENT480
TR00000081,GST,CA-FED,REF-2023-76,61992.73,51040.8,230.69,ENT518
TR00000082,VAT,JP,2026-Q1,62479.64,51678.96,0,ENT786
