AssetID,AssetTag,AssetName,DepreciationPeriod,AcquisitionDate,Cost,AccumulatedDepreciation,NetBookValue
REF-2025-24,TAG-77000,Press - Lake Shane,2026-02,2021-05-27,223684.08,128157.35,65505.09
REF-2023-25,TAG-16057,Table - Bellville,2025-10,2021-05-02,404248.63,82122.21,67312.29
FA-PAY-2025-105814,TAG-23970,Press - Christinatown,2025-12,2023-12-30,249716.7,67620.56,182096.14
REF-2025-26,TAG-25906,Press - Martinfurt,2025-07,2021-11-28,280915.87,208503.91,51843.98
REF-2024-27,TAG-68446,Table - East Amanda,2026-02,2022-08-18,216236.67,158890.34,61303.97
REF-2024-28,TAG-54020,Trailer - New Johntown,2025-10,2024-05-17,358204.71,94618.16,62712.17
REF-2025-29,TAG-86556,Printer - New Saraberg,2025-07,2022-05-25,107383.02,42319.7,46645.84
REF-2024-30,TAG-73993,Cabinet - South Edward,2026-03,2022-10-07,400934.74,292068.11,53868.23
REF-2023-31,TAG-96900,Laptop - West Mauricebury,2025-08,2021-01-07,453929.79,233467.41,84066.52
REF-2024-32,TAG-16826,Van - East Amberport,2025-07,2020-11-29,237801.88,148463.75,25301.93
REF-2023-33,TAG-97747,Printer - Quinnshire,2026-04,2024-02-04,80429.26,15149.23,83938.96
REF-2025-34,TAG-13365,Trailer - Lake Alexandermouth,2025-09,2020-11-15,482536.78,84766.81,71863.89
REF-2023-35,TAG-25866,Office Building - Thompsonshire,2025-11,2022-12-02,425895.15,221588.19,69749.58
REF-2024-36,TAG-70258,Table - Thomasburgh,2025-08,2023-08-10,219594.08,77633.45,82250.86
REF-2024-37,TAG-21359,Car - Cohenborough,2026-04,2023-11-28,137855.79,95975.09,46540.89
REF-2024-38,TAG-46655,Factory - Katherineside,2025-09,2021-08-16,180638.36,50731.68,18265.8
FA-INV-2024-931450,TAG-12260,Server - West Kimberlyview,2025-10,2023-07-17,346851.62,191507.89,155343.73
REF-2024-39,TAG-82544,Factory - Vangville,2025-11,2022-06-27,333660.21,119555.23,69209.54
REF-2023-40,TAG-34267,Chair - Jasonland,2025-09,2021-12-31,372726.13,285364.45,12153.52
REF-2023-41,TAG-45954,Laptop - Stephaniechester,2025-12,2021-11-05,12003.44,5688.36,29695.02
REF-2024-42,TAG-72616,Laptop - Katherineview,2025-12,2022-09-04,96260.02,13087.87,47923.55
REF-2024-43,TAG-89471,Warehouse - Farmerhaven,2025-10,2021-11-11,63633.52,40414.31,8609.57
REF-2024-44,TAG-37235,Cabinet - Warnermouth,2025-07,2020-10-28,306767.3,189601.37,56906.08
REF-2024-45,TAG-69510,Desktop - South Ashleyburgh,2025-11,2023-05-14,354943.14,210158.74,3360.72
REF-2023-46,TAG-31747,Trailer - West Jamesland,2025-10,2021-08-17,414182.42,62121.93,64798.71
REF-2024-47,TAG-66626,Trailer - West Kristenborough,2026-02,2023-09-25,221690.64,114974.46,50097.17
REF-2023-48,TAG-32962,Generator - New Shannonburgh,2026-05,2021-09-25,411603.52,207190.05,99957.28
REF-2023-49,TAG-53228,Pump - Batesland,2026-01,2023-05-27,336716.09,235840.38,47054.04
REF-2024-50,TAG-10150,Storage Unit - Isaacville,2026-01,2022-09-10,433130.74,293424.0,32395.05
REF-2023-51,TAG-73532,Laptop - East Tyler,2026-03,2021-09-06,147574.43,105750.75,20435.47
FA-TXN-2024-223172,TAG-94896,Table - Lake Bonnie,2025-07,2022-12-09,116226.83,80078.42,36148.41
REF-2025-52,TAG-41946,Generator - Woodtown,2026-01,2024-03-19,418188.35,328767.65,70570.62
REF-2023-53,TAG-45018,Server - Mitchellton,2026-01,2023-05-09,173238.25,112847.77,27697.12
REF-2024-54,TAG-52176,Chair - Lake Edwardchester,2026-03,2022-01-04,382621.98,139292.4,34577.88
REF-2025-55,TAG-78937,CNC Machine - West Elizabeth,2025-08,2023-10-11,437724.24,178685.31,33266.27
REF-2025-56,TAG-98389,Storage Unit - Melissachester,2026-05,2023-07-31,44756.08,14769.32,69301.19
REF-2023-57,TAG-66881,Laptop - New Traciburgh,2026-05,2022-12-01,498725.83,310574.76,23553.55
REF-2023-58,TAG-89887,Generator - East Alex,2026-03,2021-05-28,94128.16,20948.09,53163.52
REF-2023-59,TAG-67898,Trailer - South Douglasmouth,2026-02,2023-06-03,340417.39,71686.09,89900.96
REF-2024-60,TAG-93442,Shelving - Aliciamouth,2025-10,2023-05-12,305497.17,105892.86,77596.52
REF-2023-61,TAG-14373,Factory - New Thomas,2026-05,2024-08-11,24514.17,15983.91,90350.03
REF-2025-62,TAG-31567,Car - Port Amandaland,2025-12,2023-04-21,267771.92,198001.5,87658.41
REF-2023-63,TAG-83048,Truck - Kellychester,2026-05,2023-03-06,490071.41,380829.02,86028.05
REF-2024-64,TAG-13280,Factory - Lake Sharontown,2025-12,2021-07-18,58631.32,15459.63,82259.49
REF-2025-65,TAG-74569,Laptop - New Jessica,2025-08,2023-04-29,27446.67,3459.61,40888.76
REF-2025-66,TAG-74139,Storage Unit - Wilsonfurt,2025-08,2023-02-04,443279.82,247547.54,41970.76
REF-2024-67,TAG-94518,Truck - Davidhaven,2026-05,2023-03-05,186830.8,136608.32,10025.53
REF-2025-68,TAG-26505,Warehouse - Guerreromouth,2025-06,2024-02-02,30036.36,10015.82,63985.34
REF-2023-69,TAG-28964,Shelving - East Michaelshire,2026-04,2023-11-16,6403.6,4488.18,78885.51
REF-2023-70,TAG-65176,Office Building - Walshfurt,2025-06,2024-02-10,91251.87,12472.24,58926.41
REF-2023-71,TAG-96363,Factory - Lake Colleenshire,2025-07,2021-12-08,364985.28,268675.22,94547.02
REF-2024-72,TAG-89730,Desk - Duranville,2026-01,2024-05-11,41377.9,6477.85,71268.89
REF-2025-73,TAG-24996,Warehouse - Gordonshire,2026-01,2022-09-02,255247.78,102389.97,53102.63
REF-2025-74,TAG-30006,CNC Machine - Hopkinston,2026-01,2024-07-13,159699.17,44463.9,9599.08
REF-2025-75,TAG-97207,CNC Machine - Batesmouth,2026-03,2023-08-14,65504.49,22764.03,95666.8
FA-DOC-2025-337144,TAG-66244,Office Building - North Donald,2025-12,2021-07-09,423459.84,151299.12,272160.72
REF-2025-76,TAG-50499,Forklift - Fisherview,2025-10,2024-10-13,19331.82,5631.15,82963.13
REF-2025-77,TAG-54681,Cabinet - Lake Greg,2025-07,2022-10-28,111490.78,43914.29,97183.85
REF-2025-78,TAG-73656,Storage Unit - New Leah,2025-07,2022-03-27,139690.91,78695.86,5071.27
REF-2025-79,TAG-88554,Laptop - South Samuel,2026-02,2023-12-25,157667.6,40104.79,67880.78
REF-2025-80,TAG-75570,Factory - Anthonystad,2025-08,2024-03-22,193202.69,114486.1,43122.44
FA-PAY-2024-403578,TAG-25096,CNC Machine - Lake Alisha,2026-04,2023-06-06,217495.72,83321.74,134173.98
REF-2023-81,TAG-57428,Monitor - West Nancyfurt,2026-04,2024-09-19,232747.97,135628.53,80152.08
REF-2023-82,TAG-79547,Warehouse - Brianport,2025-09,2022-09-21,42807.79,23255.64,33373.56
FA-PO-2024-814220,TAG-83989,Factory - Garciaberg,2026-04,2021-10-22,249587.93,156769.19,92818.74
REF-2024-83,TAG-46002,Office Building - West Davidbury,2025-07,2022-07-26,237115.94,128509.63,15180.64
FA-PO-2025-631699,TAG-60394,Generator - Ramirezland,2026-05,2022-03-29,432803.77,302402.31,130401.46
REF-2025-84,TAG-34672,Trailer - Dorseyborough,2026-01,2022-05-29,454979.73,227562.52,89598.09
FA-TXN-2023-841995,TAG-67377,Generator - Lake Darrylchester,2026-06,2022-07-07,46742.92,25815.6,20927.32
REF-2025-85,TAG-54350,Office Building - Scottton,2025-12,2021-06-05,459378.71,170517.51,15958.75
REF-2024-86,TAG-29709,Truck - New Carl,2026-05,2022-02-05,482382.96,251751.12,72400.99
REF-2024-87,TAG-53054,Shelving - Lake Jenniferberg,2026-06,2024-11-29,158243.03,57549.12,12982.27
REF-2023-88,TAG-14947,Trailer - Martinbury,2026-03,2024-06-19,418384.31,300641.56,50818.2
REF-2023-89,TAG-41133,Generator - Perezmouth,2025-07,2022-11-28,208375.01,119493.49,72146.18
FA-PAY-2025-561999,TAG-70513,Car - Escobarville,2026-02,2022-04-14,452467.3,106696.91,345770.39
REF-2025-90,TAG-28140,Truck - East Sharonshire,2025-09,2021-01-27,409361.16,270539.2,41924.22
REF-2023-91,TAG-29313,CNC Machine - Lake Clinton,2025-09,2023-06-05,140031.69,102743.26,28577.8
REF-2024-92,TAG-22987,Van - New Mauriceborough,2025-07,2023-10-15,190581.77,22818.6,23654.23
REF-2025-93,TAG-43544,Chair - Nicoleberg,2026-04,2022-03-26,7599.34,1181.38,46964.1
FA-PO-2024-165858,TAG-24530,Generator - New Ryantown,2025-08,2021-08-11,28635.98,11279.08,17356.9
REF-2024-94,TAG-78614,Truck - Courtneymouth,2026-01,2022-01-29,97720.39,55480.79,24132.37
REF-2024-95,TAG-12128,Truck - New Katherine,2025-12,2023-01-20,490614.51,136172.6,4449.09
REF-2024-96,TAG-32949,Pump - East Laura,2025-12,2021-05-25,275276.8,184285.76,13427.62
REF-2023-97,TAG-62196,Storage Unit - Richardsonchester,2025-07,2023-01-31,161219.93,51115.28,79131.81
REF-2024-98,TAG-67637,Conveyor - Garciastad,2025-12,2023-11-30,221290.93,84093.93,27394.34
FA-PO-2023-671971,TAG-48504,Truck - Patriciatown,2025-07,2024-02-11,364905.26,56651.14,308254.12
REF-2024-99,TAG-31842,Conveyor - Port Phillip,2025-11,2022-05-14,225728.3,135970.61,66125.83
REF-2025-100,TAG-57619,Warehouse - Geraldfurt,2025-07,2024-05-08,42145.38,23022.28,98004.73
REF-2024-101,TAG-28047,Factory - New Amyfurt,2025-12,2022-09-25,224749.95,34570.99,94887.47
REF-2024-102,TAG-68493,Shelving - Kingberg,2026-03,2023-08-19,63291.69,40663.34,51822.75
REF-2024-103,TAG-99381,Forklift - New Josephside,2026-06,2021-06-19,225330.04,36380.33,17348.37
REF-2025-104,TAG-39391,Desktop - Penahaven,2026-05,2024-07-23,91175.05,32188.85,92739.71
REF-2025-105,TAG-72739,Storage Unit - Mcdonaldburgh,2025-07,2022-04-09,202089.19,121628.09,13064.15
REF-2023-106,TAG-26912,Generator - Hughesberg,2026-03,2024-11-27,321698.0,73145.82,87808.22
REF-2023-107,TAG-42847,Shelving - Lake Victor,2026-03,2023-08-19,447988.33,310076.73,34667.71
REF-2025-108,TAG-54252,Office Building - New Matthew,2026-05,2025-03-17,314117.2,229745.52,15504.01
