Period,GLAccount,FAAssetID,OpeningCost,Additions,Disposals,DepreciationExpense,EndingNBV
2026-03,151000,REF-2023-58,251345.29,0,0,3225.73,53864.84
2026-02,152000,REF-2023-59,103612.41,0,0,1262.31,22484.07
2026-02,152000,REF-2023-59,288101.73,0,0,1546.63,15661.71
2026-02,152000,REF-2023-59,489082.52,0,0,2873.05,19295.42
2026-02,152000,REF-2023-59,344470.75,0,10444.46,2533.96,32459.76
2025-10,155000,REF-2024-60,379010.78,0,0,770.22,77596.52
2026-05,150000,REF-2023-61,455265.77,0,0,1083.89,90350.03
2025-12,155000,REF-2025-62,435846.49,0,0,468.97,87658.41
2026-05,150000,REF-2023-63,135907.0,5009.34,0,1384.59,86028.05
2025-12,151000,REF-2024-64,325587.93,0,0,3535.28,82259.49
2025-08,154000,REF-2025-65,72153.7,0,0,3741.39,40888.76
2025-08,150000,REF-2025-66,346688.93,0,0,1256.95,41970.76
2026-05,152000,REF-2024-67,98955.24,8391.73,0,3347.57,10025.53
2025-06,154000,REF-2025-68,107542.9,0,0,1709.94,63985.34
2026-04,151000,REF-2023-69,59413.54,0,0,1855.39,78885.51
2025-06,153000,REF-2023-70,226896.23,0,0,2314.83,58926.41
2025-07,155000,REF-2023-71,482192.96,23096.17,0,3461.88,94547.02
2026-01,152000,REF-2024-72,314037.16,0,0,1966.43,71268.89
2026-01,153000,REF-2025-73,444605.06,0,0,2053.78,53102.63
2026-01,150000,REF-2025-74,51148.9,3778.86,0,2826.22,9599.08
2026-03,154000,2025-75,159662.21,8101.46,0,2462.73,95666.8
2025-10,151000,REF-2025-76,435582.04,0,0,795.19,82963.13
2025-07,155000,REF-2025-77,165569.53,0,0,4428.38,96244.4
2025-07,152000,REF-2025-78,111706.64,0,0,643.36,5071.27
2026-02,152000,REF-2025-79,472935.42,0,0,1518.29,67590.37
2025-08,153000,REF-2025-80,431573.36,808.83,0,4324.34,43122.44
2026-04,151000,REF-2023-81,220659.88,0,9604.49,3754.44,80152.08
2025-09,152000,REF-2023-82,365052.66,0,0,1257.72,33373.56
2025-08,151000,FA-PO-2023-897143,131704.27,0,0,3819.85,33287.9
2025-07,154000,REF-2024-83,41724.37,0,769.27,1506.68,15180.64
2026-01,154000,REF-2025-84,79676.23,824.66,0,1782.85,89598.09
2025-12,155000,REF-2025-85,170651.43,0,0,1994.16,15958.75
2026-05,155000,REF-2024-86,75007.05,0,0,3522.55,72400.99
2026-06,153000,REF-2024-87,256701.8,7928.65,0,1774.49,8386.87
2026-06,153000,REF-2024-87,384247.32,38423.83,0,1549.38,4595.4
2026-03,154000,REF-2023-88,191476.34,15918.29,0,4064.31,50818.2
2025-07,155000,REF-2023-89,392981.18,0,0,4831.42,72146.18
2025-09,153000,REF-2025-90,437687.89,0,0,4244.87,41924.22
2025-09,153000,REF-2023-91,442891.74,0,0,2042.62,28577.8
2025-07,150000,REF-2024-92,147005.3,0,0,780.08,23654.23
2026-04,155000,REF-2025-93,306395.65,0,0,1264.44,46964.1
2025-06,154000,FA-REF-2025-250551,317817.7,0,0,1527.23,63911.56
2026-01,154000,REF-2024-94,256127.21,0,0,2013.22,24132.37
2025-12,151000,REF-2024-95,367805.81,0,0,3702.42,4449.09
2025-12,151000,REF-2024-96,406691.35,31566.99,0,1537.87,13427.62
2025-07,150000,REF-2023-97,377879.0,13489.3,0,4342.41,79131.81
2025-12,153000,REF-2024-98,347573.9,0,0,1406.93,27394.34
2025-11,150000,REF-2024-99,364773.13,0,0,2231.21,66125.83
2025-07,151000,REF-2025-100,425091.31,0,0,718.53,98004.73
2025-10,152000,FA-DOC-2024-694799,390365.11,0,0,258.69,120000.86
2025-12,152000,REF-2024-101,326532.56,0,0,3704.81,94887.47
2026-03,155000,REF-2024-102,458657.06,0,0,4278.85,51822.75
2026-06,150000,REF-2024-103,277248.59,0,0,871.78,17348.37
2026-05,151000,REF-2025-104,396234.67,21952.25,0,4037.94,92739.71
2025-07,154000,REF2025105,41506.6,0,0,2304.88,13064.15
2026-03,150000,REF-2023-106,261460.56,0,0,4680.22,87808.22
2026-03,151000,REF-2023-107,314386.07,0,10075.88,2999.86,34667.71
2026-05,150000,REF-2025-108,27503.59,0,0,3290.54,15504.01
