BankTransactionID,TransactionDate,ClearingDate,BankReference,Counterparty,Narrative,Currency,BankAmount
BNK00000052,2026-03-22,2026-03-22,REF-2025-25,Conner-Huff,CHK REF-2025-25 Conner-Huff,USD,99542.73
BNK00000055,2026-02-23,2026-02-23,REF-2023-26,Brown PLC,TRF REF-2023-26 Brown PLC,USD,58459.34
BNK00000057,2025-07-16,2025-07-16,REF-2023-27,Rivas-Edwards,TRF REF-2023-27 Rivas-Edwards,USD,85149.12
BNK00000059,2025-07-01,2025-07-01,REF-2023-28,"Koch, Scott and Watkins","ACH REF-2023-28 Koch, Scott and Watk",USD,57934.01
BNK00000061,2025-10-11,2025-10-11,REF-2025-29,Stewart-Park,CHK REF-2025-29 Stewart-Park,EUR,71647.56
BNK00000062,2025-07-18,2025-07-19,BNK-TXN-2024-751332,Hancock-Newman,WIRE BNK-TXN-2024-751332 Hancock-Newman,GBP,14976.89
BNK00000064,2025-08-17,2025-08-17,REF-2023-30,Flores-Long,CHK REF-2023-30 Flores-Long,USD,50637.88
BNK00000067,2026-05-16,2026-05-16,REF-2025-31,Perkins Group,WIRE REF-2025-31 Perkins Group,USD,30007.94
BNK00000069,2025-10-28,2025-10-28,202532,Mcdonald-Wiley,TRF REF-2025-32 Mcdonald-Wiley,USD,55367.04
BNK00000072,2025-10-23,2025-10-23,REF-2023-33,Brooks-Nixon,WIRE REF-2023-33 Brooks-Nixon,GBP,63747.63
BNK00000074,2026-05-30,2026-05-30,REF-2023-34,"Gonzalez, Reeves and Evans","TRF REF-2023-34 Gonzalez, Reeves and",USD,7616.86
BNK00000076,2025-08-15,2025-08-15,REF-2025-35,Taylor-Foster,ACH REF-2025-35 Taylor-Foster,USD,14894.57
BNK00000078,2025-08-02,2025-08-02,REF-2025-36,Gonzalez-Mcpherson,ACH REF-2025-36 Gonzalez-Mcpherson,GBP,25028.02
BNK00000080,2025-09-09,2025-09-09,REF-2023-37,Lambert-Lee,DEP REF-2023-37 Lambert-Lee,USD,86474.11
BNK00000082,2025-10-16,2025-10-16,REF-2025-38,Stokes PLC,DEP REF-2025-38 Stokes PLC,USD,86420.0
BNK00000084,2026-02-01,2026-02-01,REF-2023-39,Garrison Inc,ACH REF-2023-39 Garrison Inc,USD,20037.33
BNK00000086,2025-07-16,2025-07-16,REF-2024-40,"Johnson, Stewart and Wagner","DEP REF-2024-40 Johnson, Stewart and",GBP,32893.37
BNK00000088,2026-03-12,2026-03-12,REF-2025-41,Park Ltd,ACH REF-2025-41 Park Ltd,USD,98116.85
BNK00000090,2025-10-24,2025-10-24,REF-2025-42,"Lyons, Joseph and Powell","CHK REF-2025-42 Lyons, Joseph and Po",USD,96257.18
BNK00000093,2026-03-13,2026-03-13,REF-2024-43,Bailey-Welch,WIRE REF-2024-43 Bailey-Welch,EUR,268.96
BNK00000095,2026-04-26,2026-04-26,REF-2025-44,Lee-Skinner,CHK REF-2025-44 Lee-Skinner,GBP,92085.01
BNK00000097,2026-01-03,2026-01-03,REF-2025-45,Martin-Cole,TRF REF-2025-45 Martin-Cole,USD,15506.45
BNK00000098,2026-01-03,2026-01-03,REF-2025-45,Martin-Cole,TRF REF-2025-45 Martin-Cole,USD,11688.13
BNK00000099,2026-01-03,2026-01-03,REF-2025-45,Martin-Cole,CHK REF-2025-45 Martin-Cole,USD,3402.96
BNK00000100,2026-01-03,2026-01-03,REF-2025-45,Martin-Cole,DEP REF-2025-45 Martin-Cole,USD,10300.91
