APInvoiceID,VendorID,VendorName,InvoiceNumber,InvoiceDate,DueDate,Currency,InvoiceAmount
AP00000121,V60205,Maynard-Garrett,REF-2023-57,2025-10-07,2025-11-21,CAD,13923.57
AP00000124,V12560,Kennedy Group,REF-2024-58,2026-04-06,2026-07-05,EUR,39008.73
AP00000126,V80545,"Smith, Mejia and Frye",REF-2024-59,2026-01-11,2026-02-25,EUR,75372.16
AP00000128,V54057,Henry PLC,REF-2024-60,2025-12-27,2026-03-27,CAD,48615.64
AP00000130,V61645,Wyatt PLC,REF-2023-61,2026-03-11,2026-04-10,USD,98074.13
AP00000132,V33819,Watson-Morgan,443254,2026-02-02,2026-03-04,CAD,4246.21
AP00000133,V65255,Evans Inc,REF-2024-62,2025-12-22,2026-02-20,USD,33816.3
AP00000138,V18993,Robertson Inc,INV-890870,2026-05-09,2026-06-08,EUR,58701.86
AP00000139,V29973,Anderson-Alvarez,REF-2023-63,2026-04-25,2026-06-09,USD,83938.96
AP00000141,V43586,"Ortega, Bailey and Leon",REF-2023-64,2025-09-30,2025-11-29,USD,56440.56
AP00000147,V85470,Christian-Morales,REF-2023-65,2025-11-17,2026-02-15,EUR,57910.6
AP00000149,V92213,"Barker, Rubio and Byrd",BILL-991597,2026-04-10,2026-06-09,USD,18592.28
AP00000150,V79827,Sanders-Conway,REF-2025-66,2025-12-05,2026-03-05,CAD,78285.27
AP00000152,V65057,Hicks Ltd,REF-2025-67,2025-06-17,2025-09-15,USD,64789.57
AP00000155,V80539,Choi-Roberts,556732,2026-04-22,2026-06-21,GBP,58210.79
AP00000156,V46559,Dominguez-Mccarthy,REF-2024-68,2025-07-25,2025-10-23,USD,85186.14
AP00000158,V97580,"Martinez, Williams and White",INV-618317,2026-04-19,2026-06-03,EUR,28734.7
AP00000159,V54608,"Bennett, Hayden and Elliott",REF-2024-69,2025-10-21,2025-12-20,GBP,21290.77
AP00000161,V77715,White LLC,INV-353080,2025-06-16,2025-08-15,CAD,71130.66
AP00000162,V72402,Griffin and Sons,REF-2024-70,2025-10-12,2026-01-10,EUR,55562.1
AP00000164,V50135,Smith Inc,REF-2024-71,2026-05-31,2026-07-30,EUR,22237.48
AP00000168,V40217,Luna-Mueller,REF-2024-72,2025-10-27,2025-11-26,CAD,70315.21
AP00000170,V38361,Mckinney LLC,REF-2025-73,2026-05-30,2026-08-28,USD,53632.81
AP00000172,V39816,Holden PLC,REF-2023-74,2025-11-09,2026-01-08,USD,83279.57
AP00000174,V15965,Pineda Group,REF-2025-75,2025-10-29,2025-11-28,GBP,53460.1
AP00000176,V23446,Ross Inc,REF-2023-76,2026-02-17,2026-03-19,GBP,63823.18
AP00000178,V67733,Wolfe-Byrd,INV-364742,2026-02-11,2026-03-28,USD,25882.59
AP00000180,V42530,Moore-Griffin,REF-2025-77,2025-07-24,2025-08-23,GBP,94917.65
AP00000182,V78494,Prince-Evans,REF-2025-78,2025-10-04,2026-01-02,EUR,79095.01
AP00000184,V89905,"Shaw, Lopez and Reeves",REF-2025-79,2025-11-14,2025-12-14,USD,99004.12
AP00000187,V82350,"Charles, Mendoza and Thornton",REF-2023-80,2025-09-07,2025-10-07,USD,15790.0
AP00000189,V48175,Jones-Burch,REF-2024-81,2026-02-06,2026-03-08,USD,68968.18
AP00000191,V40595,"Davis, Williams and Marsh",REF-2024-82,2026-01-29,2026-03-30,CAD,70328.46
AP00000193,V94886,Cook-Doyle,REF-2024-83,2025-10-04,2025-11-18,USD,11566.15
AP00000196,V62757,Johnson Ltd,REF-2024-84,2026-06-04,2026-08-03,GBP,68898.93
AP00000198,V66626,Mccall Inc,REF-2024-85,2025-07-01,2025-08-30,GBP,8136.14
AP00000200,V85392,"Pope, Doyle and Barrett",REF-2023-86,2026-05-22,2026-06-21,CAD,22969.55
AP00000202,V71669,"Scott, Green and Ibarra",REF-2023-87,2025-09-08,2025-12-07,USD,76334.59
AP00000204,V93202,Hudson LLC,INV-592841,2026-01-20,2026-03-06,CAD,61161.25
AP00000205,V31079,Ross PLC,REF-2024-88,2025-08-03,2025-10-02,EUR,32173.72
AP00000207,V14809,Walsh-Velasquez,REF-2025-89,2026-03-19,2026-06-17,USD,94524.83
AP00000209,V10150,Brown-Santiago,REF-2024-90,2026-01-03,2026-04-03,EUR,11680.57
