StatementLineID,SupplierAccountNumber,VendorName,StatementDate,InvoiceNumber,InvoiceDate,Currency,StatementAmount
SL00000153,V66822,,2025-06-17,REF-2025-67,2025-06-17,USD,64789.57
SL00000154,V70258,,2026-05-16,SI-869440,2026-05-02,GBP,35511.78
SL00000157,V70910,,2025-07-25,REF-2024-68,2025-07-25,GBP,85186.14
SL00000160,V46211,,2025-10-21,REF-2024-69,2025-10-21,GBP,21290.77
SL00000163,V12260,,2025-10-12,REF-2024-70,2025-10-12,USD,55562.1
SL00000165,V82140,,2026-05-31,REF-2024-71,2026-05-31,USD,7644.3
SL00000166,V82140,,2026-05-31,REF-2024-71,2026-05-31,USD,4663.55
SL00000167,V82140,,2026-05-31,REF-2024-71,2026-05-31,USD,9929.63
SL00000169,V35242,,2025-10-27,2024-72,2025-10-27,USD,70315.21
SL00000171,V87278,,2026-05-30,REF202573,2026-05-30,GBP,53632.81
SL00000173,V49618,,2025-11-09,REF-2023-74,2025-11-09,USD,83279.57
SL00000175,V48290,,2025-10-29,REF-2025-75,2025-10-29,CAD,53460.1
SL00000177,V47268,,2026-02-17,REF-2023-76,2026-02-17,EUR,63823.18
SL00000179,V62521,,2025-08-02,INV-259097,2025-07-14,EUR,24841.45
SL00000181,V64548,,2025-07-24,REF-2025-77,2025-07-24,GBP,94917.65
SL00000183,V68028,,2025-10-04,REF-2025-78,2025-10-04,USD,79095.01
SL00000185,V44687,,2025-11-14,REF-2025-79,2025-11-14,CAD,61928.57
SL00000186,V44687,,2025-11-14,REF-2025-79,2025-11-14,CAD,37075.55
SL00000188,V10350,,2025-09-07,REF-2023-80,2025-09-07,EUR,15790.0
SL00000190,V47762,,2026-02-06,REF-2024-81,2026-02-06,CAD,68968.18
SL00000192,V87304,,2026-01-29,REF-2024,2026-01-29,CAD,70328.46
SL00000194,V28643,,2025-10-04,REF-2024-83,2025-10-04,USD,11566.15
SL00000195,V31747,,2025-07-31,BILL-560485,2025-07-11,USD,39735.11
SL00000197,V80776,,2026-06-04,REF-2024-84,2026-06-04,EUR,68898.93
SL00000199,V42816,,2025-07-01,REF-2024-85,2025-07-01,USD,8136.14
SL00000201,V45325,,2026-05-22,REF-2023-86,2026-05-22,GBP,22969.55
SL00000203,V33788,,2025-09-08,REF-2023-87,2025-09-08,GBP,76334.59
SL00000206,V74942,,2025-08-03,REF-2024-88,2025-08-03,USD,32173.72
SL00000208,V51224,,2026-03-19,REF-2025-89,2026-03-19,USD,94524.83
SL00000210,V17104,,2026-01-03,REF-2024-90,2026-01-03,USD,11911.98
